date,AAL stock
2013-11-06,0
2013-11-07,0
2013-11-08,0
2013-11-09,0
2013-11-10,0
2013-11-11,2
2013-11-12,0
2013-11-13,0
2013-11-14,0
2013-11-15,5
2013-11-16,2
2013-11-17,2
2013-11-18,2
2013-11-19,1
2013-11-20,3
2013-11-21,5
2013-11-22,0
2013-11-23,0
2013-11-24,0
2013-11-25,0
2013-11-26,0
2013-11-27,3
2013-11-28,0
2013-11-29,2
2013-11-30,0
2013-12-01,0
2013-12-02,1
2013-12-03,1
2013-12-04,6
2013-12-05,4
2013-12-06,6
2013-12-07,6
2013-12-08,4
2013-12-09,100
2013-12-10,95
2013-12-11,79
2013-12-12,71
2013-12-13,41
2013-12-14,22
2013-12-15,11
2013-12-16,38
2013-12-17,45
2013-12-18,29
2013-12-19,24
2013-12-20,20
2013-12-21,8
2013-12-22,5
2013-12-23,17
2013-12-24,19
2013-12-25,7
2013-12-26,14
2013-12-27,26
2013-12-28,7
2013-12-29,8
2013-12-30,11
2013-12-31,22
2014-01-01,7
2014-01-02,20
2014-01-03,20
2014-01-04,3
2014-01-05,6
2014-01-06,18
2014-01-07,12
2014-01-08,16
2014-01-09,33
2014-01-10,20
2014-01-11,7
2014-01-12,8
2014-01-13,13
2014-01-14,21
2014-01-15,22
2014-01-16,19
2014-01-17,21
2014-01-18,9
2014-01-19,6
2014-01-20,6
2014-01-21,24
2014-01-22,21
2014-01-23,20
2014-01-24,21
2014-01-25,9
2014-01-26,5
2014-01-27,16
2014-01-28,26
2014-01-29,35
2014-01-30,33
2014-01-31,32
2014-02-01,14
2014-02-02,3
2014-02-03,20
2014-02-04,32
2014-02-05,26
2014-02-06,34
2014-02-07,32
2014-02-08,10
2014-02-09,10
2014-02-10,25
2014-02-11,32
2014-02-12,23
2014-02-13,19
2014-02-14,20
2014-02-15,8
2014-02-16,2
2014-02-17,9
2014-02-18,24
2014-02-19,23
2014-02-20,27
2014-02-21,18
2014-02-22,10
2014-02-23,7
2014-02-24,18
2014-02-25,23
2014-02-26,20
2014-02-27,17
2014-02-28,21
2014-03-01,9
2014-03-02,4
2014-03-03,18
2014-03-04,23
2014-03-05,24
2014-03-06,26
2014-03-07,28
2014-03-08,14
2014-03-09,12
2014-03-10,33
2014-03-11,26
2014-03-12,28
2014-03-13,24
2014-03-14,27
2014-03-15,8
2014-03-16,4
2014-03-17,23
2014-03-18,22
2014-03-19,23
2014-03-20,15
2014-03-21,18
2014-03-22,6
2014-03-23,6
2014-03-24,11
2014-03-25,22
2014-03-26,24
2014-03-27,17
2014-03-28,19
2014-03-29,10
2014-03-30,7
2014-03-31,21
2014-04-01,21
2014-04-02,16
2014-04-03,18
2014-04-04,25
2014-04-05,5
2014-04-06,8
2014-04-07,20
2014-04-08,26
2014-04-09,19
2014-04-10,26
2014-04-11,27
2014-04-12,14
2014-04-13,6
2014-04-14,24
2014-04-15,31
2014-04-16,31
2014-04-17,30
2014-04-18,22
2014-04-19,11
2014-04-20,6
2014-04-21,19
2014-04-22,26
2014-04-23,21
2014-04-24,45
2014-04-25,27
2014-04-26,5
2014-04-27,6
2014-04-28,23
2014-04-29,24
2014-04-30,22
2014-05-01,24
2014-05-02,15
2014-05-03,9
2014-05-04,4
2014-05-05,12
2014-05-06,23
2014-05-07,25
2014-05-08,19
2014-05-09,30
2014-05-10,9
2014-05-11,5
2014-05-12,23
2014-05-13,31
2014-05-14,23
2014-05-15,16
2014-05-16,13
2014-05-17,7
2014-05-18,7
2014-05-19,22
2014-05-20,25
2014-05-21,16
2014-05-22,19
2014-05-23,18
2014-05-24,11
2014-05-25,4
2014-05-26,5
2014-05-27,21
2014-05-28,23
2014-05-29,24
2014-05-30,23
2014-05-31,5
2014-06-01,8
2014-06-02,24
2014-06-03,16
2014-06-04,28
2014-06-05,25
2014-06-06,31
2014-06-07,8
2014-06-08,5
2014-06-09,20
2014-06-10,22
2014-06-11,17
2014-06-12,27
2014-06-13,18
2014-06-14,7
2014-06-15,5
2014-06-16,16
2014-06-17,18
2014-06-18,25
2014-06-19,19
2014-06-20,16
2014-06-21,8
2014-06-22,6
2014-06-23,15
2014-06-24,20
2014-06-25,23
2014-06-26,11
2014-06-27,17
2014-06-28,9
2014-06-29,4
2014-06-30,18
2014-07-01,14
2014-07-02,20
2014-07-03,21
2014-07-04,3
2014-07-05,4
2014-07-06,2
2014-07-07,18
2014-07-08,18
2014-07-09,20
2014-07-10,19
2014-07-11,21
2014-07-12,8
2014-07-13,2
2014-07-14,22
2014-07-15,16
2014-07-16,24
2014-07-17,13
2014-07-18,24
2014-07-19,17
2014-07-20,4
2014-07-21,11
2014-07-22,15
2014-07-23,16
2014-07-24,21
