date,AAPL stock
2011-01-01,5
2011-01-02,3
2011-01-03,16
2011-01-04,17
2011-01-05,16
2011-01-06,22
2011-01-07,17
2011-01-08,8
2011-01-09,6
2011-01-10,22
2011-01-11,25
2011-01-12,22
2011-01-13,22
2011-01-14,26
2011-01-15,8
2011-01-16,5
2011-01-17,57
2011-01-18,74
2011-01-19,42
2011-01-20,25
2011-01-21,25
2011-01-22,10
2011-01-23,5
2011-01-24,19
2011-01-25,26
2011-01-26,14
2011-01-27,17
2011-01-28,15
2011-01-29,8
2011-01-30,7
2011-01-31,10
2011-02-01,14
2011-02-02,20
2011-02-03,13
2011-02-04,17
2011-02-05,6
2011-02-06,3
2011-02-07,16
2011-02-08,18
2011-02-09,18
2011-02-10,24
2011-02-11,25
2011-02-12,7
2011-02-13,5
2011-02-14,15
2011-02-15,14
2011-02-16,15
2011-02-17,24
2011-02-18,26
2011-02-19,6
2011-02-20,6
2011-02-21,17
2011-02-22,28
2011-02-23,26
2011-02-24,22
2011-02-25,16
2011-02-26,8
2011-02-27,3
2011-02-28,20
2011-03-01,21
2011-03-02,19
2011-03-03,29
2011-03-04,14
2011-03-05,6
2011-03-06,3
2011-03-07,14
2011-03-08,17
2011-03-09,19
2011-03-10,18
2011-03-11,23
2011-03-12,3
2011-03-13,6
2011-03-14,15
2011-03-15,27
2011-03-16,25
2011-03-17,16
2011-03-18,20
2011-03-19,9
2011-03-20,10
2011-03-21,25
2011-03-22,12
2011-03-23,19
2011-03-24,23
2011-03-25,16
2011-03-26,3
2011-03-27,4
2011-03-28,11
2011-03-29,11
2011-03-30,15
2011-03-31,15
2011-04-01,10
2011-04-02,10
2011-04-03,4
2011-04-04,19
2011-04-05,17
2011-04-06,18
2011-04-07,23
2011-04-08,20
2011-04-09,4
2011-04-10,8
2011-04-11,14
2011-04-12,15
2011-04-13,10
2011-04-14,13
2011-04-15,11
2011-04-16,5
2011-04-17,2
2011-04-18,12
2011-04-19,12
2011-04-20,33
2011-04-21,36
2011-04-22,18
2011-04-23,6
2011-04-24,6
2011-04-25,24
2011-04-26,17
2011-04-27,16
2011-04-28,11
2011-04-29,15
2011-04-30,5
2011-05-01,6
2011-05-02,18
2011-05-03,11
2011-05-04,8
2011-05-05,13
2011-05-06,11
2011-05-07,6
2011-05-08,2
2011-05-09,14
2011-05-10,14
2011-05-11,12
2011-05-12,12
2011-05-13,15
2011-05-14,4
2011-05-15,6
2011-05-16,9
2011-05-17,14
2011-05-18,11
2011-05-19,12
2011-05-20,12
2011-05-21,6
2011-05-22,5
2011-05-23,12
2011-05-24,14
2011-05-25,20
2011-05-26,12
2011-05-27,9
2011-05-28,4
2011-05-29,6
2011-05-30,2
2011-05-31,11
2011-06-01,14
2011-06-02,13
2011-06-03,12
2011-06-04,4
2011-06-05,7
2011-06-06,14
2011-06-07,13
2011-06-08,18
2011-06-09,12
2011-06-10,13
2011-06-11,3
2011-06-12,3
2011-06-13,11
2011-06-14,11
2011-06-15,12
2011-06-16,14
2011-06-17,18
2011-06-18,6
2011-06-19,5
2011-06-20,18
2011-06-21,13
2011-06-22,11
2011-06-23,17
2011-06-24,12
2011-06-25,5
2011-06-26,3
2011-06-27,11
2011-06-28,11
2011-06-29,12
2011-06-30,8
2011-07-01,11
2011-07-02,3
2011-07-03,2
2011-07-04,5
2011-07-05,12
2011-07-06,16
2011-07-07,19
2011-07-08,19
2011-07-09,9
2011-07-10,4
2011-07-11,18
2011-07-12,14
2011-07-13,15
2011-07-14,19
2011-07-15,18
2011-07-16,6
2011-07-17,5
2011-07-18,21
2011-07-19,37
2011-07-20,52
2011-07-21,31
2011-07-22,23
2011-07-23,14
2011-07-24,6
2011-07-25,31
2011-07-26,23
2011-07-27,33
2011-07-28,28
2011-07-29,25
2011-07-30,9
2011-07-31,5
2011-08-01,25
2011-08-02,23
2011-08-03,18
2011-08-04,31
2011-08-05,42
2011-08-06,7
2011-08-07,4
2011-08-08,52
2011-08-09,41
2011-08-10,33
2011-08-11,26
2011-08-12,25
2011-08-13,4
2011-08-14,2
2011-08-15,22
2011-08-16,19
2011-08-17,21
2011-08-18,20
2011-08-19,24
2011-08-20,8
2011-08-21,5
2011-08-22,18
2011-08-23,19
2011-08-24,42
2011-08-25,100
2011-08-26,35
2011-08-27,13
2011-08-28,5
2011-08-29,28
2011-08-30,14
2011-08-31,15
2011-09-01,12
2011-09-02,14
2011-09-03,6
2011-09-04,4
2011-09-05,1
2011-09-06,15
2011-09-07,10
2011-09-08,16
2011-09-09,16
2011-09-10,10
2011-09-11,4
2011-09-12,15
2011-09-13,13
2011-09-14,10
2011-09-15,11
2011-09-16,16
2011-09-17,9
2011-09-18,5
