date,ALGN stock
2018-02-13,25
2018-02-14,33
2018-02-15,100
2018-02-16,52
2018-02-17,9
2018-02-18,9
2018-02-19,0
2018-02-20,24
2018-02-21,24
2018-02-22,49
2018-02-23,26
2018-02-24,19
2018-02-25,0
2018-02-26,32
2018-02-27,40
2018-02-28,8
2018-03-01,64
2018-03-02,67
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,0
2018-03-07,57
2018-03-08,24
2018-03-09,25
2018-03-10,28
2018-03-11,0
2018-03-12,39
2018-03-13,24
2018-03-14,24
2018-03-15,24
2018-03-16,17
2018-03-17,0
2018-03-18,0
2018-03-19,66
2018-03-20,8
2018-03-21,32
2018-03-22,33
2018-03-23,8
2018-03-24,0
2018-03-25,0
2018-03-26,8
2018-03-27,58
2018-03-28,0
2018-03-29,26
2018-03-30,0
2018-03-31,10
2018-04-01,0
2018-04-02,35
2018-04-03,16
2018-04-04,16
2018-04-05,33
2018-04-06,26
2018-04-07,0
2018-04-08,19
