date,AMAT stock
2014-12-01,0
2014-12-02,59
2014-12-03,0
2014-12-04,92
2014-12-05,16
2014-12-06,0
2014-12-07,0
2014-12-08,62
2014-12-09,30
2014-12-10,46
2014-12-11,15
2014-12-12,16
2014-12-13,0
2014-12-14,0
2014-12-15,31
2014-12-16,15
2014-12-17,32
2014-12-18,48
2014-12-19,51
2014-12-20,19
2014-12-21,0
2014-12-22,16
2014-12-23,17
2014-12-24,19
2014-12-25,0
2014-12-26,0
2014-12-27,0
2014-12-28,0
2014-12-29,33
2014-12-30,17
2014-12-31,0
2015-01-01,20
2015-01-02,17
2015-01-03,0
2015-01-04,0
2015-01-05,46
2015-01-06,15
2015-01-07,30
2015-01-08,0
2015-01-09,31
2015-01-10,0
2015-01-11,0
2015-01-12,15
2015-01-13,29
2015-01-14,44
2015-01-15,30
2015-01-16,0
2015-01-17,0
2015-01-18,0
2015-01-19,15
2015-01-20,15
2015-01-21,0
2015-01-22,44
2015-01-23,0
2015-01-24,0
2015-01-25,0
2015-01-26,0
2015-01-27,43
2015-01-28,15
2015-01-29,29
2015-01-30,15
2015-01-31,0
2015-02-01,0
2015-02-02,0
2015-02-03,43
2015-02-04,14
2015-02-05,29
2015-02-06,15
2015-02-07,0
2015-02-08,0
2015-02-09,29
2015-02-10,14
2015-02-11,29
2015-02-12,0
2015-02-13,0
2015-02-14,17
2015-02-15,0
2015-02-16,0
2015-02-17,0
2015-02-18,0
2015-02-19,30
2015-02-20,31
2015-02-21,34
2015-02-22,0
2015-02-23,43
2015-02-24,57
2015-02-25,14
2015-02-26,29
2015-02-27,30
2015-02-28,0
2015-03-01,0
2015-03-02,0
2015-03-03,28
2015-03-04,44
2015-03-05,58
2015-03-06,15
2015-03-07,0
2015-03-08,17
2015-03-09,14
2015-03-10,0
2015-03-11,14
2015-03-12,0
2015-03-13,60
2015-03-14,17
2015-03-15,0
2015-03-16,29
2015-03-17,29
2015-03-18,15
2015-03-19,14
2015-03-20,15
2015-03-21,17
2015-03-22,17
2015-03-23,43
2015-03-24,28
2015-03-25,0
2015-03-26,17
2015-03-27,31
2015-03-28,0
2015-03-29,0
2015-03-30,14
2015-03-31,0
2015-04-01,15
2015-04-02,16
2015-04-03,49
2015-04-04,0
2015-04-05,0
2015-04-06,31
2015-04-07,0
2015-04-08,0
2015-04-09,0
2015-04-10,0
2015-04-11,0
2015-04-12,0
2015-04-13,14
2015-04-14,14
2015-04-15,14
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,29
2015-04-22,14
2015-04-23,15
2015-04-24,61
2015-04-25,34
2015-04-26,0
2015-04-27,100
2015-04-28,56
2015-04-29,73
2015-04-30,45
2015-05-01,16
2015-05-02,34
2015-05-03,0
2015-05-04,15
2015-05-05,43
2015-05-06,14
2015-05-07,29
2015-05-08,30
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,29
2015-05-13,29
2015-05-14,74
2015-05-15,61
2015-05-16,0
2015-05-17,17
2015-05-18,28
2015-05-19,72
2015-05-20,14
2015-05-21,29
2015-05-22,61
2015-05-23,0
2015-05-24,0
2015-05-25,15
2015-05-26,29
2015-05-27,28
2015-05-28,14
2015-05-29,15
2015-05-30,0
2015-05-31,17
2015-06-01,43
2015-06-02,29
2015-06-03,14
2015-06-04,30
2015-06-05,15
2015-06-06,0
2015-06-07,0
2015-06-08,14
2015-06-09,0
2015-06-10,14
2015-06-11,0
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,43
2015-06-16,14
2015-06-17,14
2015-06-18,29
2015-06-19,15
2015-06-20,0
2015-06-21,0
2015-06-22,29
2015-06-23,14
2015-06-24,0
2015-06-25,29
2015-06-26,0
2015-06-27,17
2015-06-28,0
2015-06-29,14
2015-06-30,14
2015-07-01,15
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,43
2015-07-07,29
2015-07-08,0
2015-07-09,0
2015-07-10,15
2015-07-11,0
2015-07-12,17
2015-07-13,0
2015-07-14,29
2015-07-15,15
2015-07-16,30
2015-07-17,16
2015-07-18,19
2015-07-19,19
2015-07-20,30
2015-07-21,0
2015-07-22,44
2015-07-23,0
2015-07-24,0
2015-07-25,17
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,14
2015-07-30,15
2015-07-31,15
2015-08-01,52
2015-08-02,0
2015-08-03,14
2015-08-04,0
2015-08-05,29
2015-08-06,59
2015-08-07,30
2015-08-08,0
2015-08-09,17
2015-08-10,14
2015-08-11,43
2015-08-12,15
2015-08-13,44
2015-08-14,15
2015-08-15,34
2015-08-16,17
2015-08-17,29
2015-08-18,28
