date,AMGN stock
2018-02-13,89
2018-02-14,25
2018-02-15,25
2018-02-16,92
2018-02-17,29
2018-02-18,14
2018-02-19,0
2018-02-20,50
2018-02-21,100
2018-02-22,37
2018-02-23,39
2018-02-24,29
2018-02-25,14
2018-02-26,87
2018-02-27,49
2018-02-28,49
2018-03-01,24
2018-03-02,52
2018-03-03,14
2018-03-04,28
2018-03-05,48
2018-03-06,49
2018-03-07,49
2018-03-08,25
2018-03-09,39
2018-03-10,0
2018-03-11,14
2018-03-12,37
2018-03-13,74
2018-03-14,12
2018-03-15,51
2018-03-16,51
2018-03-17,0
2018-03-18,14
2018-03-19,25
2018-03-20,62
2018-03-21,25
2018-03-22,38
2018-03-23,52
2018-03-24,15
2018-03-25,0
2018-03-26,87
2018-03-27,51
2018-03-28,26
2018-03-29,13
2018-03-30,29
2018-03-31,0
2018-04-01,15
2018-04-02,40
2018-04-03,63
2018-04-04,88
2018-04-05,51
2018-04-06,39
2018-04-07,15
2018-04-08,0
