date,ASML stock
2018-02-13,100
2018-02-14,66
2018-02-15,84
2018-02-16,69
2018-02-17,38
2018-02-18,38
2018-02-19,33
2018-02-20,49
2018-02-21,49
2018-02-22,49
2018-02-23,52
2018-02-24,19
2018-02-25,0
2018-02-26,81
2018-02-27,65
2018-02-28,80
2018-03-01,80
2018-03-02,51
2018-03-03,0
2018-03-04,18
2018-03-05,32
2018-03-06,80
2018-03-07,65
2018-03-08,0
2018-03-09,52
2018-03-10,38
2018-03-11,19
2018-03-12,64
2018-03-13,97
2018-03-14,16
2018-03-15,50
2018-03-16,84
2018-03-17,0
2018-03-18,18
2018-03-19,65
2018-03-20,65
2018-03-21,16
2018-03-22,66
2018-03-23,51
2018-03-24,38
2018-03-25,0
2018-03-26,99
2018-03-27,33
2018-03-28,85
2018-03-29,53
2018-03-30,38
2018-03-31,19
2018-04-01,0
2018-04-02,88
2018-04-03,50
2018-04-04,99
2018-04-05,50
2018-04-06,69
2018-04-07,19
2018-04-08,0
