date,ATVI stock
2016-09-11,0
2016-09-12,5
2016-09-13,8
2016-09-14,3
2016-09-15,3
2016-09-16,14
2016-09-17,3
2016-09-18,0
2016-09-19,5
2016-09-20,8
2016-09-21,10
2016-09-22,8
2016-09-23,14
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,5
2016-09-28,0
2016-09-29,3
2016-09-30,5
2016-10-01,3
2016-10-02,0
2016-10-03,5
2016-10-04,15
2016-10-05,8
2016-10-06,5
2016-10-07,10
2016-10-08,0
2016-10-09,3
2016-10-10,5
2016-10-11,5
2016-10-12,15
2016-10-13,0
2016-10-14,8
2016-10-15,0
2016-10-16,0
2016-10-17,2
2016-10-18,7
2016-10-19,5
2016-10-20,8
2016-10-21,5
2016-10-22,3
2016-10-23,3
2016-10-24,5
2016-10-25,8
2016-10-26,13
2016-10-27,5
2016-10-28,8
2016-10-29,9
2016-10-30,0
2016-10-31,5
2016-11-01,16
2016-11-02,8
2016-11-03,50
2016-11-04,13
2016-11-05,0
2016-11-06,3
2016-11-07,12
2016-11-08,20
2016-11-09,29
2016-11-10,13
2016-11-11,23
2016-11-12,12
2016-11-13,9
2016-11-14,5
2016-11-15,15
2016-11-16,10
2016-11-17,10
2016-11-18,16
2016-11-19,0
2016-11-20,0
2016-11-21,20
2016-11-22,12
2016-11-23,7
2016-11-24,3
2016-11-25,10
2016-11-26,3
2016-11-27,0
2016-11-28,14
2016-11-29,19
2016-11-30,19
2016-12-01,17
2016-12-02,23
2016-12-03,0
2016-12-04,0
2016-12-05,15
2016-12-06,12
2016-12-07,24
2016-12-08,2
2016-12-09,7
2016-12-10,11
2016-12-11,5
2016-12-12,12
2016-12-13,19
2016-12-14,17
2016-12-15,17
2016-12-16,0
2016-12-17,9
2016-12-18,6
2016-12-19,10
2016-12-20,13
2016-12-21,8
2016-12-22,11
2016-12-23,3
2016-12-24,3
2016-12-25,0
2016-12-26,0
2016-12-27,8
2016-12-28,13
2016-12-29,3
2016-12-30,19
2016-12-31,3
2017-01-01,0
2017-01-02,3
2017-01-03,15
2017-01-04,10
2017-01-05,12
2017-01-06,10
2017-01-07,3
2017-01-08,5
2017-01-09,10
2017-01-10,23
2017-01-11,7
2017-01-12,14
2017-01-13,2
2017-01-14,11
2017-01-15,0
2017-01-16,7
2017-01-17,5
2017-01-18,7
2017-01-19,7
2017-01-20,7
2017-01-21,0
2017-01-22,0
2017-01-23,7
2017-01-24,9
2017-01-25,9
2017-01-26,7
2017-01-27,15
2017-01-28,0
2017-01-29,3
2017-01-30,11
2017-01-31,7
2017-02-01,11
2017-02-02,7
2017-02-03,22
2017-02-04,5
2017-02-05,3
2017-02-06,7
2017-02-07,11
2017-02-08,16
2017-02-09,59
2017-02-10,100
2017-02-11,19
2017-02-12,8
2017-02-13,23
2017-02-14,39
2017-02-15,12
2017-02-16,9
2017-02-17,12
2017-02-18,3
2017-02-19,0
2017-02-20,2
2017-02-21,30
2017-02-22,2
2017-02-23,5
2017-02-24,7
2017-02-25,3
2017-02-26,0
2017-02-27,16
2017-02-28,16
2017-03-01,18
2017-03-02,9
2017-03-03,7
2017-03-04,5
2017-03-05,5
2017-03-06,24
2017-03-07,20
2017-03-08,14
2017-03-09,9
2017-03-10,19
2017-03-11,8
2017-03-12,5
2017-03-13,15
2017-03-14,7
2017-03-15,9
2017-03-16,16
2017-03-17,12
2017-03-18,5
2017-03-19,5
2017-03-20,5
2017-03-21,11
2017-03-22,2
2017-03-23,14
2017-03-24,5
2017-03-25,3
2017-03-26,3
2017-03-27,12
2017-03-28,5
2017-03-29,16
2017-03-30,0
2017-03-31,5
2017-04-01,0
2017-04-02,8
2017-04-03,5
2017-04-04,7
2017-04-05,11
2017-04-06,14
2017-04-07,21
2017-04-08,3
2017-04-09,3
2017-04-10,9
2017-04-11,2
2017-04-12,12
2017-04-13,7
2017-04-14,5
2017-04-15,0
2017-04-16,5
2017-04-17,0
2017-04-18,5
2017-04-19,16
2017-04-20,7
2017-04-21,2
2017-04-22,3
2017-04-23,3
2017-04-24,21
2017-04-25,7
2017-04-26,16
2017-04-27,12
2017-04-28,14
2017-04-29,5
2017-04-30,0
2017-05-01,7
2017-05-02,9
2017-05-03,9
2017-05-04,33
2017-05-05,53
2017-05-06,3
2017-05-07,5
2017-05-08,18
2017-05-09,14
2017-05-10,21
2017-05-11,16
2017-05-12,17
2017-05-13,5
2017-05-14,3
2017-05-15,15
2017-05-16,17
2017-05-17,32
2017-05-18,12
2017-05-19,16
2017-05-20,12
2017-05-21,6
2017-05-22,7
2017-05-23,27
2017-05-24,27
2017-05-25,33
2017-05-26,27
2017-05-27,12
2017-05-28,3
2017-05-29,8
