date,Alexion,isPartial
2012-01-26,34,False
2012-01-27,21,False
2012-01-28,16,False
2012-01-29,8,False
2012-01-30,26,False
2012-01-31,26,False
2012-02-01,0,False
2012-02-02,7,False
2012-02-03,27,False
2012-02-04,16,False
2012-02-05,23,False
2012-02-06,46,False
2012-02-07,6,False
2012-02-08,19,False
2012-02-09,26,False
2012-02-10,41,False
2012-02-11,16,False
2012-02-12,7,False
2012-02-13,19,False
2012-02-14,39,False
2012-02-15,33,False
2012-02-16,40,False
2012-02-17,21,False
2012-02-18,40,False
2012-02-19,23,False
2012-02-20,20,False
2012-02-21,20,False
2012-02-22,26,False
2012-02-23,46,False
2012-02-24,34,False
2012-02-25,0,False
2012-02-26,8,False
2012-02-27,6,False
2012-02-28,32,False
2012-02-29,26,False
2012-03-01,27,False
2012-03-02,21,False
2012-03-03,8,False
2012-03-04,24,False
2012-03-05,7,False
2012-03-06,45,False
2012-03-07,58,False
2012-03-08,39,False
2012-03-09,20,False
2012-03-10,8,False
2012-03-11,16,False
2012-03-12,19,False
2012-03-13,65,False
2012-03-14,13,False
2012-03-15,26,False
2012-03-16,7,False
2012-03-17,8,False
2012-03-18,23,False
2012-03-19,26,False
2012-03-20,26,False
2012-03-21,26,False
2012-03-22,13,False
2012-03-23,21,False
2012-03-24,16,False
2012-03-25,16,False
2012-03-26,32,False
2012-03-27,32,False
2012-03-28,26,False
2012-03-29,27,False
2012-03-30,28,False
2012-03-31,0,False
2012-04-01,16,False
2012-04-02,26,False
2012-04-03,20,False
2012-04-04,33,False
2012-04-05,14,False
2012-04-06,8,False
2012-04-07,17,False
2012-04-08,8,False
2012-04-09,16,False
2012-04-10,20,False
2012-04-11,32,False
2012-04-12,46,False
2012-04-13,14,False
2012-04-14,8,False
2012-04-15,8,False
2012-04-16,32,False
2012-04-17,45,False
2012-04-18,64,False
2012-04-19,19,False
2012-04-20,61,False
2012-04-21,8,False
2012-04-22,0,False
2012-04-23,44,False
2012-04-24,31,False
2012-04-25,25,False
