date,Align Technology,isPartial
2016-05-04,50,False
2016-05-05,39,False
2016-05-06,0,False
2016-05-07,15,False
2016-05-08,44,False
2016-05-09,50,False
2016-05-10,49,False
2016-05-11,25,False
2016-05-12,13,False
2016-05-13,52,False
2016-05-14,14,False
2016-05-15,14,False
2016-05-16,24,False
2016-05-17,12,False
2016-05-18,37,False
2016-05-19,12,False
2016-05-20,13,False
2016-05-21,29,False
2016-05-22,14,False
2016-05-23,24,False
2016-05-24,25,False
2016-05-25,50,False
2016-05-26,26,False
2016-05-27,27,False
2016-05-28,0,False
2016-05-29,15,False
2016-05-30,13,False
2016-05-31,12,False
2016-06-01,37,False
2016-06-02,64,False
2016-06-03,26,False
2016-06-04,15,False
2016-06-05,0,False
2016-06-06,38,False
2016-06-07,50,False
2016-06-08,25,False
2016-06-09,25,False
2016-06-10,13,False
2016-06-11,15,False
2016-06-12,0,False
2016-06-13,0,False
2016-06-14,12,False
2016-06-15,49,False
2016-06-16,37,False
2016-06-17,13,False
2016-06-18,0,False
2016-06-19,15,False
2016-06-20,50,False
2016-06-21,25,False
2016-06-22,12,False
2016-06-23,52,False
2016-06-24,66,False
2016-06-25,0,False
2016-06-26,15,False
2016-06-27,50,False
2016-06-28,38,False
2016-06-29,63,False
2016-06-30,13,False
2016-07-01,13,False
2016-07-02,0,False
2016-07-03,0,False
2016-07-04,0,False
2016-07-05,53,False
2016-07-06,27,False
2016-07-07,14,False
2016-07-08,42,False
2016-07-09,16,False
2016-07-10,0,False
2016-07-11,13,False
2016-07-12,39,False
2016-07-13,0,False
2016-07-14,0,False
2016-07-15,0,False
2016-07-16,31,False
2016-07-17,0,False
2016-07-18,26,False
2016-07-19,27,False
2016-07-20,27,False
2016-07-21,13,False
2016-07-22,14,False
2016-07-23,0,False
2016-07-24,31,False
2016-07-25,13,False
2016-07-26,13,False
2016-07-27,39,False
2016-07-28,54,False
2016-07-29,41,False
2016-07-30,16,False
2016-07-31,0,False
2016-08-01,26,False
2016-08-02,65,False
2016-08-03,13,False
2016-08-04,13,False
2016-08-05,14,False
2016-08-06,0,False
2016-08-07,16,False
2016-08-08,27,False
2016-08-09,27,False
2016-08-10,0,False
2016-08-11,42,False
2016-08-12,43,False
2016-08-13,0,False
2016-08-14,16,False
2016-08-15,0,False
2016-08-16,42,False
2016-08-17,14,False
2016-08-18,28,False
2016-08-19,0,False
2016-08-20,0,False
2016-08-21,16,False
2016-08-22,27,False
2016-08-23,0,False
2016-08-24,14,False
2016-08-25,93,False
2016-08-26,0,False
2016-08-27,0,False
2016-08-28,0,False
2016-08-29,13,False
2016-08-30,26,False
2016-08-31,13,False
2016-09-01,65,False
2016-09-02,27,False
2016-09-03,15,False
2016-09-04,15,False
2016-09-05,26,False
2016-09-06,13,False
2016-09-07,26,False
2016-09-08,39,False
2016-09-09,41,False
2016-09-10,0,False
2016-09-11,15,False
2016-09-12,13,False
2016-09-13,13,False
2016-09-14,78,False
2016-09-15,26,False
2016-09-16,67,False
2016-09-17,0,False
2016-09-18,43,False
2016-09-19,0,False
2016-09-20,13,False
2016-09-21,13,False
2016-09-22,0,False
2016-09-23,53,False
2016-09-24,0,False
2016-09-25,29,False
2016-09-26,50,False
2016-09-27,38,False
2016-09-28,25,False
2016-09-29,51,False
2016-09-30,40,False
2016-10-01,14,False
2016-10-02,0,False
2016-10-03,13,False
2016-10-04,50,False
2016-10-05,13,False
2016-10-06,13,False
2016-10-07,90,False
2016-10-08,0,False
2016-10-09,0,False
2016-10-10,50,False
2016-10-11,50,False
2016-10-12,25,False
2016-10-13,0,False
2016-10-14,27,False
2016-10-15,0,False
2016-10-16,14,False
2016-10-17,12,False
2016-10-18,12,False
2016-10-19,25,False
2016-10-20,37,False
2016-10-21,0,False
2016-10-22,15,False
2016-10-23,15,False
2016-10-24,49,False
2016-10-25,88,False
2016-10-26,38,False
2016-10-27,64,False
2016-10-28,13,False
2016-10-29,0,False
2016-10-30,14,False
2016-10-31,51,False
2016-11-01,64,False
2016-11-02,38,False
2016-11-03,25,False
2016-11-04,26,False
2016-11-05,0,False
2016-11-06,0,False
2016-11-07,12,False
2016-11-08,61,False
2016-11-09,0,False
2016-11-10,38,False
2016-11-11,13,False
2016-11-12,14,False
2016-11-13,0,False
2016-11-14,49,False
2016-11-15,100,False
2016-11-16,37,False
2016-11-17,13,False
2016-11-18,38,False
2016-11-19,14,False
2016-11-20,42,False
2016-11-21,97,False
2016-11-22,49,False
2016-11-23,25,False
2016-11-24,38,False
2016-11-25,38,False
2016-11-26,28,False
2016-11-27,27,False
2016-11-28,35,False
2016-11-29,59,False
