date,American Airlines,isPartial
2010-08-24,65,False
2010-08-25,64,False
2010-08-26,61,False
2010-08-27,61,False
2010-08-28,60,False
2010-08-29,59,False
2010-08-30,58,False
2010-08-31,63,False
2010-09-01,70,False
2010-09-02,68,False
2010-09-03,66,False
2010-09-04,53,False
2010-09-05,51,False
2010-09-06,57,False
2010-09-07,65,False
2010-09-08,65,False
2010-09-09,71,False
2010-09-10,73,False
2010-09-11,67,False
2010-09-12,65,False
2010-09-13,68,False
2010-09-14,64,False
2010-09-15,77,False
2010-09-16,68,False
2010-09-17,73,False
2010-09-18,62,False
2010-09-19,68,False
2010-09-20,74,False
2010-09-21,69,False
2010-09-22,69,False
2010-09-23,72,False
2010-09-24,64,False
2010-09-25,63,False
2010-09-26,63,False
2010-09-27,73,False
2010-09-28,72,False
2010-09-29,66,False
2010-09-30,72,False
2010-10-01,73,False
2010-10-02,63,False
2010-10-03,63,False
2010-10-04,69,False
2010-10-05,70,False
2010-10-06,72,False
2010-10-07,72,False
2010-10-08,65,False
2010-10-09,53,False
2010-10-10,58,False
2010-10-11,65,False
2010-10-12,60,False
2010-10-13,61,False
2010-10-14,69,False
2010-10-15,71,False
2010-10-16,59,False
2010-10-17,57,False
2010-10-18,66,False
2010-10-19,68,False
2010-10-20,67,False
2010-10-21,70,False
2010-10-22,68,False
2010-10-23,61,False
2010-10-24,66,False
2010-10-25,71,False
2010-10-26,73,False
2010-10-27,76,False
2010-10-28,70,False
2010-10-29,66,False
2010-10-30,56,False
2010-10-31,61,False
2010-11-01,69,False
2010-11-02,69,False
2010-11-03,66,False
2010-11-04,68,False
2010-11-05,62,False
2010-11-06,59,False
2010-11-07,65,False
2010-11-08,65,False
2010-11-09,65,False
2010-11-10,66,False
2010-11-11,62,False
2010-11-12,63,False
2010-11-13,60,False
2010-11-14,67,False
2010-11-15,67,False
2010-11-16,67,False
2010-11-17,63,False
2010-11-18,69,False
2010-11-19,65,False
2010-11-20,59,False
2010-11-21,58,False
2010-11-22,64,False
2010-11-23,67,False
2010-11-24,67,False
2010-11-25,49,False
2010-11-26,48,False
2010-11-27,58,False
2010-11-28,63,False
2010-11-29,64,False
2010-11-30,68,False
2010-12-01,66,False
2010-12-02,60,False
2010-12-03,62,False
2010-12-04,58,False
2010-12-05,51,False
2010-12-06,62,False
2010-12-07,60,False
2010-12-08,65,False
2010-12-09,61,False
