date,Analog Devices,isPartial
2017-10-06,47,False
2017-10-07,31,False
2017-10-08,31,False
2017-10-09,46,False
2017-10-10,71,False
2017-10-11,68,False
2017-10-12,58,False
2017-10-13,36,False
2017-10-14,35,False
2017-10-15,40,False
2017-10-16,61,False
2017-10-17,68,False
2017-10-18,80,False
2017-10-19,58,False
2017-10-20,56,False
2017-10-21,27,False
2017-10-22,25,False
2017-10-23,100,False
2017-10-24,48,False
2017-10-25,41,False
2017-10-26,61,False
2017-10-27,71,False
2017-10-28,26,False
2017-10-29,4,False
2017-10-30,57,False
2017-10-31,42,False
2017-11-01,75,False
2017-11-02,69,False
2017-11-03,39,False
2017-11-04,26,False
2017-11-05,21,False
2017-11-06,85,False
2017-11-07,74,False
2017-11-08,63,False
2017-11-09,59,False
2017-11-10,70,False
2017-11-11,21,False
2017-11-12,25,False
2017-11-13,77,False
2017-11-14,55,False
2017-11-15,95,False
2017-11-16,77,False
2017-11-17,66,False
2017-11-18,25,False
2017-11-19,29,False
2017-11-20,44,False
2017-11-21,89,False
2017-11-22,59,False
2017-11-23,57,False
2017-11-24,58,False
2017-11-25,17,False
2017-11-26,29,False
2017-11-27,58,False
2017-11-28,77,False
2017-11-29,60,False
2017-11-30,84,False
2017-12-01,54,False
2017-12-02,21,False
2017-12-03,4,False
2017-12-04,62,False
2017-12-05,63,False
2017-12-06,73,False
2017-12-07,71,False
2017-12-08,82,False
2017-12-09,26,False
2017-12-10,21,False
2017-12-11,79,False
2017-12-12,85,False
2017-12-13,74,False
2017-12-14,83,False
2017-12-15,39,False
2017-12-16,48,False
2017-12-17,30,False
2017-12-18,60,False
2017-12-19,50,False
2017-12-20,51,False
2017-12-21,48,False
2017-12-22,55,False
2017-12-23,18,False
2017-12-24,38,False
2017-12-25,33,False
2017-12-26,29,False
2017-12-27,40,False
2017-12-28,36,False
2017-12-29,21,False
2017-12-30,9,False
2017-12-31,23,False
2018-01-01,18,False
2018-01-02,42,False
2018-01-03,59,False
2018-01-04,45,False
2018-01-05,30,False
2018-01-06,54,False
2018-01-07,16,False
2018-01-08,47,False
2018-01-09,61,False
2018-01-10,69,False
2018-01-11,84,False
2018-01-12,88,False
2018-01-13,33,False
2018-01-14,25,False
2018-01-15,58,False
2018-01-16,61,False
2018-01-17,60,False
2018-01-18,65,False
2018-01-19,71,False
2018-01-20,25,False
2018-01-21,4,False
2018-01-22,78,False
2018-01-23,75,False
2018-01-24,71,False
2018-01-25,36,False
2018-01-26,56,False
2018-01-27,29,False
2018-01-28,16,False
2018-01-29,75,False
2018-01-30,100,False
2018-01-31,53,False
2018-02-01,61,False
2018-02-02,48,False
2018-02-03,20,False
2018-02-04,8,False
2018-02-05,76,False
2018-02-06,49,False
2018-02-07,43,False
2018-02-08,83,False
2018-02-09,63,False
2018-02-10,37,False
2018-02-11,33,False
2018-02-12,69,False
2018-02-13,47,False
2018-02-14,72,False
2018-02-15,37,False
2018-02-16,49,False
2018-02-17,33,False
2018-02-18,33,False
2018-02-19,65,False
2018-02-20,75,False
2018-02-21,71,False
2018-02-22,72,False
2018-02-23,33,False
2018-02-24,57,False
2018-02-25,36,False
2018-02-26,71,False
2018-02-27,99,False
2018-02-28,95,False
2018-03-01,66,False
2018-03-02,41,False
2018-03-03,41,False
2018-03-04,28,False
2018-03-05,45,False
2018-03-06,70,False
2018-03-07,35,False
2018-03-08,47,False
2018-03-09,63,False
2018-03-10,37,False
2018-03-11,20,False
2018-03-12,66,False
2018-03-13,56,False
2018-03-14,64,False
2018-03-15,68,False
2018-03-16,55,False
2018-03-17,24,False
2018-03-18,16,False
2018-03-19,58,False
2018-03-20,56,False
2018-03-21,67,False
2018-03-22,43,False
2018-03-23,67,False
2018-03-24,21,False
2018-03-25,24,False
2018-03-26,50,False
2018-03-27,58,False
2018-03-28,70,False
2018-03-29,53,False
2018-03-30,61,False
2018-03-31,17,False
2018-04-01,21,False
2018-04-02,54,False
2018-04-03,53,False
2018-04-04,53,False
2018-04-05,51,False
2018-04-06,64,False
2018-04-07,62,False
2018-04-08,29,False
2018-04-09,72,False
2018-04-10,98,False
2018-04-11,53,False
2018-04-12,68,False
2018-04-13,71,False
2018-04-14,29,False
2018-04-15,37,False
2018-04-16,60,False
2018-04-17,35,False
2018-04-18,98,False
2018-04-19,65,False
2018-04-20,60,False
2018-04-21,8,False
2018-04-22,41,False
2018-04-23,73,False
2018-04-24,98,False
2018-04-25,57,False
2018-04-26,68,False
2018-04-27,61,False
2018-04-28,17,False
2018-04-29,46,False
2018-04-30,63,False
2018-05-01,46,False
2018-05-02,57,False
2018-05-03,50,False
2018-05-04,45,False
2018-05-05,8,False
2018-05-06,33,False
2018-05-07,43,False
2018-05-08,43,False
2018-05-09,51,False
2018-05-10,77,False
2018-05-11,68,False
2018-05-12,17,False
2018-05-13,38,False
2018-05-14,61,False
2018-05-15,75,False
2018-05-16,79,False
2018-05-17,76,False
2018-05-18,45,False
2018-05-19,25,False
2018-05-20,17,False
2018-05-21,73,False
2018-05-22,60,False
2018-05-23,69,False
2018-05-24,44,False
2018-05-25,68,False
2018-05-26,4,False
2018-05-27,17,False
2018-05-28,51,False
2018-05-29,58,False
2018-05-30,69,False
2018-05-31,47,False
2018-06-01,61,False
2018-06-02,30,False
2018-06-03,17,False
2018-06-04,64,False
2018-06-05,68,False
2018-06-06,62,False
2018-06-07,76,False
2018-06-08,75,False
2018-06-09,17,False
2018-06-10,21,False
2018-06-11,66,False
2018-06-12,86,False
2018-06-13,78,False
2018-06-14,60,False
2018-06-15,49,False
2018-06-16,21,False
2018-06-17,25,False
2018-06-18,47,False
2018-06-19,53,False
2018-06-20,92,False
2018-06-21,50,False
2018-06-22,64,False
2018-06-23,17,False
