date,Autodesk,isPartial
2010-08-24,77,False
2010-08-25,71,False
2010-08-26,82,False
2010-08-27,71,False
2010-08-28,56,False
2010-08-29,49,False
2010-08-30,65,False
2010-08-31,84,False
2010-09-01,80,False
2010-09-02,72,False
2010-09-03,67,False
2010-09-04,49,False
2010-09-05,62,False
2010-09-06,62,False
2010-09-07,81,False
2010-09-08,88,False
2010-09-09,94,False
2010-09-10,74,False
2010-09-11,57,False
2010-09-12,46,False
2010-09-13,90,False
2010-09-14,81,False
2010-09-15,68,False
2010-09-16,76,False
2010-09-17,93,False
2010-09-18,54,False
2010-09-19,56,False
2010-09-20,75,False
2010-09-21,82,False
2010-09-22,83,False
2010-09-23,79,False
2010-09-24,83,False
2010-09-25,56,False
2010-09-26,48,False
2010-09-27,87,False
2010-09-28,86,False
2010-09-29,84,False
2010-09-30,90,False
2010-10-01,80,False
2010-10-02,66,False
2010-10-03,50,False
2010-10-04,89,False
2010-10-05,99,False
2010-10-06,83,False
2010-10-07,95,False
2010-10-08,86,False
2010-10-09,50,False
2010-10-10,58,False
2010-10-11,81,False
2010-10-12,80,False
2010-10-13,88,False
2010-10-14,91,False
2010-10-15,90,False
2010-10-16,66,False
2010-10-17,75,False
2010-10-18,82,False
2010-10-19,97,False
2010-10-20,83,False
2010-10-21,83,False
2010-10-22,85,False
2010-10-23,69,False
2010-10-24,65,False
2010-10-25,87,False
2010-10-26,83,False
2010-10-27,79,False
2010-10-28,82,False
2010-10-29,68,False
2010-10-30,68,False
2010-10-31,54,False
2010-11-01,79,False
2010-11-02,96,False
2010-11-03,84,False
2010-11-04,82,False
2010-11-05,84,False
2010-11-06,56,False
2010-11-07,51,False
2010-11-08,85,False
2010-11-09,92,False
2010-11-10,89,False
2010-11-11,86,False
2010-11-12,87,False
2010-11-13,65,False
2010-11-14,51,False
2010-11-15,95,False
2010-11-16,84,False
2010-11-17,79,False
2010-11-18,77,False
2010-11-19,81,False
2010-11-20,57,False
2010-11-21,52,False
2010-11-22,71,False
2010-11-23,75,False
2010-11-24,87,False
2010-11-25,72,False
2010-11-26,67,False
2010-11-27,58,False
2010-11-28,49,False
2010-11-29,77,False
2010-11-30,83,False
2010-12-01,84,False
2010-12-02,74,False
2010-12-03,79,False
2010-12-04,58,False
2010-12-05,58,False
2010-12-06,71,False
2010-12-07,79,False
2010-12-08,70,False
2010-12-09,77,False
2010-12-10,71,False
2010-12-11,63,False
2010-12-12,54,False
2010-12-13,74,False
2010-12-14,71,False
2010-12-15,67,False
2010-12-16,75,False
2010-12-17,77,False
2010-12-18,42,False
2010-12-19,52,False
2010-12-20,70,False
2010-12-21,64,False
2010-12-22,73,False
