date,Automatic Data Processing,isPartial
2011-09-18,39,False
2011-09-19,32,False
2011-09-20,31,False
2011-09-21,64,False
2011-09-22,43,False
2011-09-23,89,False
2011-09-24,53,False
2011-09-25,0,False
2011-09-26,42,False
2011-09-27,32,False
2011-09-28,21,False
2011-09-29,21,False
2011-09-30,45,False
2011-10-01,0,False
2011-10-02,26,False
2011-10-03,64,False
2011-10-04,31,False
2011-10-05,31,False
2011-10-06,21,False
2011-10-07,22,False
2011-10-08,0,False
2011-10-09,25,False
2011-10-10,42,False
2011-10-11,49,False
2011-10-12,20,False
2011-10-13,52,False
2011-10-14,22,False
2011-10-15,25,False
2011-10-16,0,False
2011-10-17,0,False
2011-10-18,20,False
2011-10-19,21,False
2011-10-20,0,False
2011-10-21,22,False
2011-10-22,26,False
2011-10-23,25,False
2011-10-24,0,False
2011-10-25,0,False
2011-10-26,31,False
2011-10-27,31,False
2011-10-28,33,False
2011-10-29,26,False
2011-10-30,25,False
2011-10-31,32,False
2011-11-01,43,False
2011-11-02,94,False
2011-11-03,62,False
2011-11-04,21,False
2011-11-05,50,False
2011-11-06,0,False
2011-11-07,41,False
2011-11-08,20,False
2011-11-09,41,False
2011-11-10,31,False
2011-11-11,22,False
2011-11-12,38,False
2011-11-13,0,False
2011-11-14,20,False
2011-11-15,30,False
2011-11-16,30,False
2011-11-17,20,False
2011-11-18,21,False
2011-11-19,0,False
2011-11-20,0,False
2011-11-21,20,False
2011-11-22,20,False
2011-11-23,20,False
2011-11-24,43,False
2011-11-25,66,False
2011-11-26,0,False
2011-11-27,48,False
2011-11-28,20,False
2011-11-29,20,False
2011-11-30,60,False
2011-12-01,41,False
2011-12-02,0,False
2011-12-03,25,False
2011-12-04,24,False
2011-12-05,40,False
2011-12-06,59,False
2011-12-07,81,False
2011-12-08,31,False
2011-12-09,0,False
2011-12-10,24,False
2011-12-11,0,False
2011-12-12,40,False
2011-12-13,30,False
2011-12-14,20,False
2011-12-15,20,False
2011-12-16,53,False
2011-12-17,0,False
2011-12-18,25,False
2011-12-19,31,False
2011-12-20,41,False
2011-12-21,42,False
2011-12-22,21,False
2011-12-23,46,False
2011-12-24,0,False
2011-12-25,0,False
2011-12-26,24,False
2011-12-27,32,False
2011-12-28,43,False
2011-12-29,33,False
2011-12-30,23,False
2011-12-31,0,False
2012-01-01,28,False
2012-01-02,21,False
2012-01-03,100,False
2012-01-04,40,False
2012-01-05,50,False
2012-01-06,52,False
2012-01-07,23,False
2012-01-08,23,False
2012-01-09,97,False
2012-01-10,48,False
2012-01-11,19,False
2012-01-12,49,False
2012-01-13,30,False
2012-01-14,0,False
2012-01-15,23,False
2012-01-16,19,False
2012-01-17,19,False
2012-01-18,19,False
2012-01-19,38,False
2012-01-20,40,False
2012-01-21,0,False
2012-01-22,34,False
2012-01-23,19,False
2012-01-24,56,False
2012-01-25,57,False
2012-01-26,39,False
2012-01-27,20,False
2012-01-28,0,False
2012-01-29,0,False
2012-01-30,19,False
2012-01-31,37,False
2012-02-01,37,False
2012-02-02,19,False
2012-02-03,0,False
2012-02-04,22,False
2012-02-05,33,False
2012-02-06,19,False
2012-02-07,74,False
2012-02-08,65,False
2012-02-09,19,False
2012-02-10,39,False
2012-02-11,22,False
2012-02-12,22,False
2012-02-13,18,False
2012-02-14,19,False
2012-02-15,37,False
2012-02-16,28,False
2012-02-17,39,False
2012-02-18,23,False
2012-02-19,23,False
2012-02-20,19,False
2012-02-21,19,False
2012-02-22,18,False
2012-02-23,56,False
2012-02-24,49,False
2012-02-25,22,False
2012-02-26,22,False
2012-02-27,18,False
2012-02-28,18,False
2012-02-29,74,False
2012-03-01,20,False
2012-03-02,20,False
2012-03-03,23,False
2012-03-04,0,False
2012-03-05,29,False
2012-03-06,37,False
2012-03-07,18,False
2012-03-08,19,False
2012-03-09,29,False
2012-03-10,23,False
2012-03-11,0,False
2012-03-12,46,False
2012-03-13,37,False
2012-03-14,18,False
2012-03-15,28,False
2012-03-16,30,False
2012-03-17,23,False
2012-03-18,0,False
2012-03-19,0,False
2012-03-20,18,False
2012-03-21,65,False
2012-03-22,28,False
2012-03-23,20,False
2012-03-24,0,False
2012-03-25,0,False
2012-03-26,37,False
2012-03-27,56,False
2012-03-28,37,False
2012-03-29,28,False
2012-03-30,59,False
2012-03-31,22,False
2012-04-01,23,False
2012-04-02,19,False
2012-04-03,19,False
2012-04-04,19,False
2012-04-05,19,False
2012-04-06,43,False
2012-04-07,24,False
2012-04-08,0,False
2012-04-09,33,False
2012-04-10,19,False
2012-04-11,46,False
2012-04-12,28,False
2012-04-13,20,False
2012-04-14,0,False
2012-04-15,22,False
2012-04-16,18,False
2012-04-17,27,False
2012-04-18,28,False
2012-04-19,19,False
2012-04-20,19,False
2012-04-21,0,False
2012-04-22,43,False
2012-04-23,45,False
2012-04-24,54,False
2012-04-25,37,False
2012-04-26,46,False
2012-04-27,39,False
2012-04-28,0,False
2012-04-29,23,False
2012-04-30,19,False
2012-05-01,20,False
2012-05-02,37,False
2012-05-03,28,False
2012-05-04,39,False
2012-05-05,23,False
2012-05-06,22,False
2012-05-07,63,False
2012-05-08,54,False
2012-05-09,54,False
2012-05-10,56,False
2012-05-11,58,False
2012-05-12,0,False
2012-05-13,0,False
2012-05-14,27,False
2012-05-15,54,False
2012-05-16,18,False
2012-05-17,19,False
2012-05-18,29,False
2012-05-19,0,False
2012-05-20,34,False
2012-05-21,54,False
2012-05-22,36,False
2012-05-23,18,False
2012-05-24,56,False
2012-05-25,78,False
2012-05-26,0,False
2012-05-27,0,False
2012-05-28,29,False
2012-05-29,18,False
2012-05-30,27,False
2012-05-31,0,False
2012-06-01,19,False
2012-06-02,0,False
2012-06-03,0,False
2012-06-04,27,False
