date,BIDU stock
2015-12-26,17
2015-12-27,7
2015-12-28,18
2015-12-29,12
2015-12-30,21
2015-12-31,20
2016-01-01,22
2016-01-02,14
2016-01-03,7
2016-01-04,29
2016-01-05,38
2016-01-06,30
2016-01-07,41
2016-01-08,39
2016-01-09,10
2016-01-10,6
2016-01-11,20
2016-01-12,31
2016-01-13,17
2016-01-14,14
2016-01-15,18
2016-01-16,7
2016-01-17,13
2016-01-18,0
2016-01-19,20
2016-01-20,17
2016-01-21,38
2016-01-22,18
2016-01-23,6
2016-01-24,6
2016-01-25,11
2016-01-26,23
2016-01-27,20
2016-01-28,37
2016-01-29,33
2016-01-30,13
2016-01-31,0
2016-02-01,23
2016-02-02,20
2016-02-03,20
2016-02-04,20
2016-02-05,15
2016-02-06,17
2016-02-07,16
2016-02-08,20
2016-02-09,59
2016-02-10,71
2016-02-11,38
2016-02-12,51
2016-02-13,13
2016-02-14,6
2016-02-15,0
2016-02-16,20
2016-02-17,34
2016-02-18,42
2016-02-19,26
2016-02-20,7
2016-02-21,0
2016-02-22,28
2016-02-23,28
2016-02-24,20
2016-02-25,86
2016-02-26,100
2016-02-27,26
2016-02-28,6
2016-02-29,41
2016-03-01,42
2016-03-02,17
2016-03-03,42
2016-03-04,32
2016-03-05,0
2016-03-06,13
2016-03-07,28
2016-03-08,20
2016-03-09,23
2016-03-10,17
2016-03-11,27
2016-03-12,13
2016-03-13,13
2016-03-14,37
2016-03-15,20
2016-03-16,25
2016-03-17,32
2016-03-18,39
2016-03-19,13
2016-03-20,19
2016-03-21,17
2016-03-22,23
2016-03-23,35
2016-03-24,37
2016-03-25,13
2016-03-26,7
2016-03-27,0
2016-03-28,21
2016-03-29,20
2016-03-30,29
2016-03-31,37
2016-04-01,36
2016-04-02,13
2016-04-03,0
2016-04-04,28
2016-04-05,25
2016-04-06,28
2016-04-07,17
2016-04-08,30
2016-04-09,7
2016-04-10,6
2016-04-11,28
2016-04-12,31
2016-04-13,37
2016-04-14,63
2016-04-15,12
2016-04-16,13
2016-04-17,7
2016-04-18,11
2016-04-19,45
2016-04-20,20
2016-04-21,26
2016-04-22,6
2016-04-23,16
2016-04-24,0
2016-04-25,11
2016-04-26,31
2016-04-27,22
2016-04-28,61
2016-04-29,69
2016-04-30,20
2016-05-01,7
2016-05-02,55
2016-05-03,43
2016-05-04,38
2016-05-05,42
2016-05-06,52
2016-05-07,7
2016-05-08,7
2016-05-09,32
2016-05-10,48
2016-05-11,59
2016-05-12,46
2016-05-13,36
2016-05-14,7
2016-05-15,7
2016-05-16,17
2016-05-17,25
2016-05-18,11
2016-05-19,17
2016-05-20,42
2016-05-21,7
2016-05-22,7
2016-05-23,25
2016-05-24,34
2016-05-25,38
2016-05-26,30
2016-05-27,34
2016-05-28,13
2016-05-29,7
2016-05-30,6
2016-05-31,34
2016-06-01,29
2016-06-02,32
2016-06-03,27
2016-06-04,0
2016-06-05,0
2016-06-06,26
2016-06-07,9
2016-06-08,20
2016-06-09,32
2016-06-10,9
2016-06-11,0
2016-06-12,7
2016-06-13,20
2016-06-14,39
2016-06-15,43
2016-06-16,26
2016-06-17,12
2016-06-18,7
2016-06-19,7
2016-06-20,26
2016-06-21,26
2016-06-22,14
2016-06-23,24
2016-06-24,34
2016-06-25,7
2016-06-26,7
2016-06-27,20
2016-06-28,20
2016-06-29,47
2016-06-30,30
2016-07-01,37
2016-07-02,0
2016-07-03,7
2016-07-04,6
2016-07-05,12
2016-07-06,19
2016-07-07,25
2016-07-08,52
2016-07-09,7
2016-07-10,11
2016-07-11,21
2016-07-12,18
2016-07-13,37
2016-07-14,44
2016-07-15,25
2016-07-16,0
2016-07-17,14
2016-07-18,21
2016-07-19,24
2016-07-20,34
2016-07-21,22
2016-07-22,13
2016-07-23,7
2016-07-24,7
2016-07-25,21
2016-07-26,39
2016-07-27,18
2016-07-28,52
2016-07-29,44
2016-07-30,7
2016-07-31,7
2016-08-01,18
2016-08-02,21
2016-08-03,34
2016-08-04,25
2016-08-05,17
2016-08-06,7
2016-08-07,7
2016-08-08,19
2016-08-09,22
2016-08-10,13
2016-08-11,22
2016-08-12,23
2016-08-13,7
2016-08-14,7
2016-08-15,13
2016-08-16,19
2016-08-17,23
2016-08-18,13
2016-08-19,20
2016-08-20,8
2016-08-21,0
2016-08-22,25
2016-08-23,10
2016-08-24,37
2016-08-25,21
2016-08-26,16
2016-08-27,7
2016-08-28,0
2016-08-29,6
2016-08-30,12
2016-08-31,12
2016-09-01,36
2016-09-02,13
2016-09-03,0
2016-09-04,14
2016-09-05,0
2016-09-06,53
2016-09-07,54
2016-09-08,24
2016-09-09,34
2016-09-10,0
2016-09-11,7
