date,value
2018-04-10,62.0
2018-04-11,0.0
2018-04-12,96.0
2018-04-13,0.0
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,62.0
2018-04-17,0.0
2018-04-18,32.0
2018-04-19,0.0
2018-04-20,0.0
2018-04-21,0.0
2018-04-22,0.0
2018-04-23,62.0
2018-04-24,31.0
2018-04-25,31.0
2018-04-26,32.0
2018-04-27,0.0
2018-04-28,0.0
2018-04-29,0.0
2018-04-30,32.0
2018-05-01,67.0
2018-05-02,0.0
2018-05-03,95.0
2018-05-04,66.0
2018-05-05,0.0
2018-05-06,37.0
2018-05-07,96.0
2018-05-08,0.0
2018-05-09,32.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,0.0
2018-05-13,37.0
2018-05-14,0.0
2018-05-15,31.0
2018-05-16,31.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,64.0
2018-05-22,63.0
2018-05-23,96.0
2018-05-24,65.0
2018-05-25,34.0
2018-05-26,38.0
2018-05-27,37.0
2018-05-28,0.0
2018-05-29,63.0
2018-05-30,32.0
2018-05-31,98.0
2018-06-01,100.0
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,0.0
2018-06-05,31.0
2018-06-06,64.0
2018-06-07,32.0
2018-06-08,67.0
2018-06-09,38.0
2018-06-10,37.0
2018-06-11,31.0
2018-06-12,29.0
2018-06-13,0.0
2018-06-14,32.0
2018-06-14,31.433090909090907
2018-06-15,71.02036363636364
2018-06-16,28.33309090909091
2018-06-17,9.23170909090909
