date,BioMarin,isPartial
2012-06-04,47,False
2012-06-05,24,False
2012-06-06,32,False
2012-06-07,25,False
2012-06-08,8,False
2012-06-09,0,False
2012-06-10,0,False
2012-06-11,39,False
2012-06-12,39,False
2012-06-13,40,False
2012-06-14,32,False
2012-06-15,25,False
2012-06-16,10,False
2012-06-17,0,False
2012-06-18,24,False
2012-06-19,16,False
2012-06-20,48,False
2012-06-21,16,False
2012-06-22,8,False
2012-06-23,20,False
2012-06-24,10,False
2012-06-25,32,False
2012-06-26,16,False
2012-06-27,57,False
2012-06-28,57,False
2012-06-29,26,False
2012-06-30,10,False
2012-07-01,10,False
2012-07-02,16,False
2012-07-03,8,False
2012-07-04,8,False
2012-07-05,17,False
2012-07-06,9,False
2012-07-07,10,False
2012-07-08,10,False
2012-07-09,24,False
2012-07-10,24,False
2012-07-11,24,False
2012-07-12,25,False
2012-07-13,17,False
2012-07-14,0,False
2012-07-15,50,False
2012-07-16,24,False
2012-07-17,32,False
2012-07-18,40,False
2012-07-19,17,False
2012-07-20,17,False
2012-07-21,21,False
2012-07-22,21,False
2012-07-23,16,False
2012-07-24,8,False
2012-07-25,41,False
2012-07-26,25,False
2012-07-27,9,False
2012-07-28,10,False
2012-07-29,20,False
2012-07-30,8,False
2012-07-31,24,False
2012-08-01,8,False
2012-08-02,58,False
2012-08-03,0,False
2012-08-04,20,False
2012-08-05,0,False
2012-08-06,8,False
2012-08-07,24,False
2012-08-08,16,False
2012-08-09,0,False
2012-08-10,9,False
2012-08-11,20,False
2012-08-12,10,False
2012-08-13,16,False
2012-08-14,33,False
2012-08-15,34,False
2012-08-16,8,False
2012-08-17,9,False
2012-08-18,0,False
2012-08-19,10,False
2012-08-20,25,False
2012-08-21,25,False
2012-08-22,32,False
2012-08-23,16,False
2012-08-24,17,False
2012-08-25,10,False
2012-08-26,19,False
2012-08-27,32,False
2012-08-28,8,False
2012-08-29,8,False
2012-08-30,65,False
2012-08-31,8,False
2012-09-01,20,False
2012-09-02,0,False
2012-09-03,16,False
2012-09-04,8,False
2012-09-05,39,False
2012-09-06,16,False
2012-09-07,42,False
2012-09-08,10,False
2012-09-09,9,False
2012-09-10,38,False
2012-09-11,54,False
2012-09-12,54,False
2012-09-13,8,False
2012-09-14,33,False
2012-09-15,0,False
2012-09-16,19,False
2012-09-17,0,False
2012-09-18,38,False
2012-09-19,31,False
2012-09-20,31,False
2012-09-21,16,False
2012-09-22,0,False
2012-09-23,27,False
2012-09-24,23,False
2012-09-25,8,False
2012-09-26,15,False
2012-09-27,16,False
2012-09-28,16,False
2012-09-29,0,False
2012-09-30,0,False
2012-10-01,8,False
2012-10-02,8,False
2012-10-03,39,False
2012-10-04,23,False
2012-10-05,32,False
2012-10-06,0,False
2012-10-07,0,False
2012-10-08,0,False
2012-10-09,15,False
2012-10-10,22,False
2012-10-11,15,False
2012-10-12,24,False
2012-10-13,9,False
2012-10-14,26,False
2012-10-15,15,False
2012-10-16,37,False
2012-10-17,15,False
2012-10-18,60,False
2012-10-19,23,False
2012-10-20,18,False
2012-10-21,0,False
2012-10-22,29,False
2012-10-23,37,False
2012-10-24,22,False
2012-10-25,15,False
2012-10-26,8,False
2012-10-27,0,False
2012-10-28,17,False
2012-10-29,21,False
2012-10-30,29,False
2012-10-31,15,False
2012-11-01,23,False
2012-11-02,8,False
2012-11-03,9,False
2012-11-04,0,False
2012-11-05,100,False
2012-11-06,72,False
2012-11-07,14,False
2012-11-08,15,False
2012-11-09,46,False
2012-11-10,9,False
2012-11-11,0,False
2012-11-12,36,False
2012-11-13,30,False
2012-11-14,29,False
2012-11-15,37,False
2012-11-16,31,False
2012-11-17,26,False
2012-11-18,0,False
2012-11-19,43,False
2012-11-20,14,False
2012-11-21,22,False
2012-11-22,15,False
2012-11-23,23,False
2012-11-24,26,False
2012-11-25,0,False
2012-11-26,21,False
2012-11-27,14,False
2012-11-28,0,False
2012-11-29,28,False
2012-11-30,30,False
2012-12-01,17,False
2012-12-02,0,False
2012-12-03,21,False
2012-12-04,28,False
2012-12-05,14,False
2012-12-06,14,False
2012-12-07,23,False
2012-12-08,17,False
2012-12-09,0,False
2012-12-10,21,False
2012-12-11,7,False
2012-12-12,29,False
2012-12-13,15,False
2012-12-14,7,False
2012-12-15,0,False
2012-12-16,0,False
2012-12-17,14,False
2012-12-18,0,False
2012-12-19,22,False
2012-12-20,15,False
2012-12-21,8,False
2012-12-22,9,False
2012-12-23,0,False
2012-12-24,0,False
2012-12-25,19,False
2012-12-26,0,False
2012-12-27,0,False
2012-12-28,0,False
2012-12-29,0,False
2012-12-30,9,False
2012-12-31,9,False
2013-01-01,0,False
2013-01-02,15,False
2013-01-03,7,False
2013-01-04,30,False
2013-01-05,16,False
2013-01-06,8,False
2013-01-07,28,False
2013-01-08,41,False
2013-01-09,28,False
2013-01-10,48,False
2013-01-11,22,False
2013-01-12,0,False
