date,value
2017-10-20,7.0
2017-10-21,9.0
2017-10-22,6.0
2017-10-23,10.0
2017-10-24,11.0
2017-10-25,9.0
2017-10-26,11.0
2017-10-27,9.0
2017-10-28,7.0
2017-10-29,6.0
2017-10-30,7.0
2017-10-31,11.0
2017-11-01,9.0
2017-11-02,54.0
2017-11-03,63.0
2017-11-04,46.0
2017-11-05,28.0
2017-11-06,90.0
2017-11-07,50.0
2017-11-08,23.0
2017-11-09,19.0
2017-11-10,16.0
2017-11-11,11.0
2017-11-12,11.0
2017-11-13,22.0
2017-11-14,20.0
2017-11-15,12.0
2017-11-16,14.0
2017-11-17,15.0
2017-11-18,9.0
2017-11-19,9.0
2017-11-20,14.0
2017-11-21,15.0
2017-11-22,13.0
2017-11-23,11.0
2017-11-24,10.0
2017-11-25,7.0
2017-11-26,7.0
2017-11-27,11.0
2017-11-28,15.0
2017-11-29,13.0
2017-11-30,12.0
2017-12-01,12.0
2017-12-02,7.0
2017-12-03,9.0
2017-12-04,14.0
2017-12-05,13.0
2017-12-06,14.0
2017-12-07,15.0
2017-12-08,11.0
2017-12-09,9.0
2017-12-10,8.0
2017-12-11,12.0
2017-12-12,11.0
2017-12-13,10.0
2017-12-14,14.0
2017-12-15,11.0
2017-12-16,9.0
2017-12-17,7.0
2017-12-18,9.0
2017-12-19,10.0
2017-12-20,10.0
2017-12-21,11.0
2017-12-22,9.0
2017-12-23,7.0
2017-12-24,6.0
2017-12-25,5.0
2017-12-26,10.0
2017-12-27,9.0
2017-12-28,6.0
2017-12-29,8.0
2017-12-30,7.0
2017-12-31,7.0
2018-01-01,8.0
2018-01-02,10.0
2018-01-03,11.0
2018-01-04,11.0
2018-01-05,10.0
2018-01-06,11.0
2018-01-07,8.0
2018-01-08,13.0
2018-01-09,11.0
2018-01-10,11.0
2018-01-11,11.0
2018-01-12,10.0
2018-01-13,9.0
2018-01-14,5.0
2018-01-15,10.0
2018-01-16,11.0
2018-01-17,11.0
2018-01-18,12.0
2018-01-19,12.0
2018-01-20,8.0
2018-01-21,7.0
2018-01-22,11.0
2018-01-23,13.0
2018-01-24,13.0
2018-01-25,11.0
2018-01-26,11.0
2018-01-27,8.0
2018-01-28,7.0
2018-01-29,13.0
2018-01-30,14.0
2018-01-31,13.0
2018-02-01,13.0
2018-02-02,11.0
2018-02-03,8.0
2018-02-04,8.0
2018-02-05,27.0
2018-02-06,21.0
2018-02-07,15.0
2018-02-08,14.0
2018-02-09,20.0
2018-02-10,12.0
2018-02-11,7.0
2018-02-12,16.0
2018-02-13,17.0
2018-02-14,16.0
2018-02-15,15.0
2018-02-16,14.0
2018-02-17,10.0
2018-02-18,8.0
2018-02-19,14.0
2018-02-20,12.0
2018-02-21,15.0
2018-02-22,13.0
2018-02-23,13.0
2018-02-24,10.0
2018-02-25,9.0
2018-02-26,15.0
2018-02-27,16.0
2018-02-28,16.0
2018-03-01,11.0
2018-03-02,14.0
2018-03-03,10.0
2018-03-04,9.0
2018-03-05,16.0
2018-03-06,26.0
2018-03-07,22.0
2018-03-08,16.0
2018-03-09,18.0
2018-03-10,20.0
2018-03-11,13.0
2018-03-12,40.0
2018-03-13,100.0
2018-03-14,37.0
