date,CA stock
2011-01-01,20
2011-01-02,35
2011-01-03,56
2011-01-04,67
2011-01-05,34
2011-01-06,41
2011-01-07,63
2011-01-08,8
2011-01-09,32
2011-01-10,58
2011-01-11,32
2011-01-12,26
2011-01-13,32
2011-01-14,27
2011-01-15,8
2011-01-16,24
2011-01-17,32
2011-01-18,63
2011-01-19,13
2011-01-20,32
2011-01-21,33
2011-01-22,8
2011-01-23,0
2011-01-24,25
2011-01-25,38
2011-01-26,38
2011-01-27,45
2011-01-28,33
2011-01-29,0
2011-01-30,7
2011-01-31,24
2011-02-01,42
2011-02-02,25
2011-02-03,25
2011-02-04,39
2011-02-05,30
2011-02-06,22
2011-02-07,37
2011-02-08,31
2011-02-09,31
2011-02-10,51
2011-02-11,20
2011-02-12,55
2011-02-13,46
2011-02-14,44
2011-02-15,67
2011-02-16,37
2011-02-17,38
2011-02-18,26
2011-02-19,31
2011-02-20,30
2011-02-21,31
2011-02-22,61
2011-02-23,25
2011-02-24,57
2011-02-25,39
2011-02-26,8
2011-02-27,45
2011-02-28,30
2011-03-01,12
2011-03-02,43
2011-03-03,25
2011-03-04,33
2011-03-05,23
2011-03-06,23
2011-03-07,57
2011-03-08,13
2011-03-09,55
2011-03-10,68
2011-03-11,44
2011-03-12,24
2011-03-13,0
2011-03-14,13
2011-03-15,18
2011-03-16,31
2011-03-17,50
2011-03-18,26
2011-03-19,15
2011-03-20,15
2011-03-21,31
2011-03-22,43
2011-03-23,43
2011-03-24,51
2011-03-25,59
2011-03-26,30
2011-03-27,8
2011-03-28,36
2011-03-29,31
2011-03-30,25
2011-03-31,62
2011-04-01,26
2011-04-02,24
2011-04-03,31
2011-04-04,36
2011-04-05,42
2011-04-06,31
2011-04-07,37
2011-04-08,46
2011-04-09,39
2011-04-10,24
2011-04-11,12
2011-04-12,49
2011-04-13,49
2011-04-14,38
2011-04-15,66
2011-04-16,24
2011-04-17,16
2011-04-18,56
2011-04-19,32
2011-04-20,78
2011-04-21,54
2011-04-22,53
2011-04-23,34
2011-04-24,35
2011-04-25,27
2011-04-26,31
2011-04-27,37
2011-04-28,37
2011-04-29,59
2011-04-30,24
2011-05-01,31
2011-05-02,37
2011-05-03,42
2011-05-04,25
2011-05-05,31
2011-05-06,39
2011-05-07,32
2011-05-08,8
2011-05-09,36
2011-05-10,49
2011-05-11,49
2011-05-12,43
2011-05-13,52
2011-05-14,46
2011-05-15,23
2011-05-16,35
2011-05-17,42
2011-05-18,12
2011-05-19,19
2011-05-20,32
2011-05-21,16
2011-05-22,8
2011-05-23,42
2011-05-24,37
2011-05-25,37
2011-05-26,37
2011-05-27,52
2011-05-28,16
2011-05-29,32
2011-05-30,19
2011-05-31,24
2011-06-01,61
2011-06-02,58
2011-06-03,20
2011-06-04,8
2011-06-05,23
2011-06-06,49
2011-06-07,54
2011-06-08,30
2011-06-09,24
2011-06-10,6
2011-06-11,31
2011-06-12,16
2011-06-13,37
2011-06-14,36
2011-06-15,12
2011-06-16,25
2011-06-17,26
2011-06-18,16
2011-06-19,31
2011-06-20,6
2011-06-21,18
2011-06-22,18
2011-06-23,44
2011-06-24,45
2011-06-25,8
2011-06-26,0
2011-06-27,12
2011-06-28,42
2011-06-29,42
2011-06-30,31
2011-07-01,26
2011-07-02,24
2011-07-03,24
2011-07-04,38
2011-07-05,18
2011-07-06,31
2011-07-07,18
2011-07-08,45
2011-07-09,8
2011-07-10,16
2011-07-11,43
2011-07-12,12
2011-07-13,31
2011-07-14,31
2011-07-15,52
2011-07-16,24
2011-07-17,32
2011-07-18,6
2011-07-19,30
2011-07-20,31
2011-07-21,37
2011-07-22,39
2011-07-23,15
2011-07-24,15
2011-07-25,48
2011-07-26,42
2011-07-27,37
2011-07-28,31
2011-07-29,46
2011-07-30,47
2011-07-31,16
2011-08-01,37
2011-08-02,25
2011-08-03,62
2011-08-04,50
2011-08-05,45
2011-08-06,30
2011-08-07,8
2011-08-08,100
2011-08-09,42
2011-08-10,42
2011-08-11,49
2011-08-12,39
2011-08-13,23
2011-08-14,15
2011-08-15,51
2011-08-16,30
2011-08-17,61
2011-08-18,66
2011-08-19,31
2011-08-20,8
2011-08-21,15
2011-08-22,24
2011-08-23,58
2011-08-24,41
2011-08-25,35
2011-08-26,24
2011-08-27,15
2011-08-28,14
2011-08-29,18
2011-08-30,29
2011-08-31,35
2011-09-01,36
2011-09-02,12
2011-09-03,29
2011-09-04,7
2011-09-05,12
2011-09-06,17
2011-09-07,6
2011-09-08,46
2011-09-09,47
2011-09-10,21
2011-09-11,20
2011-09-12,44
2011-09-13,50
2011-09-14,45
2011-09-15,34
2011-09-16,24
2011-09-17,35
2011-09-18,20
