date,value
2018-04-08,0.0
2018-04-09,21.0
2018-04-10,10.0
2018-04-11,21.0
2018-04-12,31.0
2018-04-13,16.0
2018-04-14,12.0
2018-04-15,12.0
2018-04-16,10.0
2018-04-17,0.0
2018-04-18,21.0
2018-04-19,21.0
2018-04-20,11.0
2018-04-21,49.0
2018-04-22,0.0
2018-04-23,16.0
2018-04-24,77.0
2018-04-25,47.0
2018-04-26,26.0
2018-04-27,100.0
2018-04-28,12.0
2018-04-29,12.0
2018-04-30,21.0
2018-05-01,11.0
2018-05-02,36.0
2018-05-03,21.0
2018-05-04,11.0
2018-05-05,12.0
2018-05-06,0.0
2018-05-07,16.0
2018-05-08,11.0
2018-05-09,16.0
2018-05-10,43.0
2018-05-11,49.0
2018-05-12,0.0
2018-05-13,12.0
2018-05-14,32.0
2018-05-15,21.0
2018-05-16,42.0
2018-05-17,16.0
2018-05-18,11.0
2018-05-19,12.0
2018-05-20,0.0
2018-05-21,21.0
2018-05-22,26.0
2018-05-23,26.0
2018-05-24,32.0
2018-05-25,28.0
2018-05-26,12.0
2018-05-27,12.0
2018-05-28,11.0
2018-05-29,21.0
2018-05-30,16.0
2018-05-31,16.0
2018-06-01,33.0
2018-06-02,0.0
2018-06-03,12.0
2018-06-04,11.0
2018-06-05,21.0
2018-06-06,32.0
2018-06-07,31.0
2018-06-08,28.0
2018-06-09,25.0
2018-06-10,0.0
2018-06-11,20.0
2018-06-12,15.0
2018-06-13,49.0
2018-06-14,10.0
2018-06-14,17.329302325581395
2018-06-15,27.07782945736434
2018-06-16,13.37860465116279
2018-06-17,6.0509767441860465
