date,CELG stock
2013-02-19,24
2013-02-20,24
2013-02-21,0
2013-02-22,25
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,72
2013-02-27,24
2013-02-28,0
2013-03-01,63
2013-03-02,0
2013-03-03,0
2013-03-04,24
2013-03-05,24
2013-03-06,36
2013-03-07,61
2013-03-08,37
2013-03-09,28
2013-03-10,0
2013-03-11,35
2013-03-12,23
2013-03-13,0
2013-03-14,24
2013-03-15,0
2013-03-16,28
2013-03-17,28
2013-03-18,0
2013-03-19,0
2013-03-20,24
2013-03-21,36
2013-03-22,37
2013-03-23,0
2013-03-24,0
2013-03-25,0
2013-03-26,24
2013-03-27,25
2013-03-28,25
2013-03-29,27
2013-03-30,0
2013-03-31,0
2013-04-01,100
2013-04-02,24
2013-04-03,47
2013-04-04,0
2013-04-05,25
2013-04-06,0
2013-04-07,0
2013-04-08,24
2013-04-09,35
2013-04-10,47
2013-04-11,24
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,0
2013-04-16,47
2013-04-17,36
2013-04-18,0
2013-04-19,0
2013-04-20,0
2013-04-21,28
2013-04-22,23
2013-04-23,47
2013-04-24,59
2013-04-25,25
2013-04-26,25
2013-04-27,29
2013-04-28,0
2013-04-29,23
2013-04-30,48
2013-05-01,0
2013-05-02,24
2013-05-03,25
2013-05-04,58
2013-05-05,29
2013-05-06,24
2013-05-07,36
2013-05-08,48
2013-05-09,24
2013-05-10,50
2013-05-11,0
2013-05-12,0
2013-05-13,24
2013-05-14,24
2013-05-15,23
2013-05-16,47
2013-05-17,25
2013-05-18,28
2013-05-19,0
2013-05-20,24
2013-05-21,23
2013-05-22,0
2013-05-23,24
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,23
2013-05-29,35
2013-05-30,24
2013-05-31,49
2013-06-01,0
2013-06-02,0
2013-06-03,23
2013-06-04,23
2013-06-05,24
2013-06-06,48
2013-06-07,73
2013-06-08,0
2013-06-09,0
2013-06-10,0
2013-06-11,69
2013-06-12,35
2013-06-13,35
2013-06-14,25
2013-06-15,0
2013-06-16,0
2013-06-17,47
2013-06-18,23
2013-06-19,0
2013-06-20,24
2013-06-21,0
2013-06-22,0
2013-06-23,0
2013-06-24,47
2013-06-25,0
2013-06-26,24
2013-06-27,48
2013-06-28,0
2013-06-29,29
2013-06-30,29
2013-07-01,23
2013-07-02,24
2013-07-03,48
2013-07-04,0
2013-07-05,0
2013-07-06,0
2013-07-07,30
2013-07-08,36
2013-07-09,24
2013-07-10,36
2013-07-11,0
2013-07-12,51
2013-07-13,0
2013-07-14,0
2013-07-15,24
2013-07-16,0
2013-07-17,36
2013-07-18,74
2013-07-19,51
2013-07-20,30
2013-07-21,0
2013-07-22,24
2013-07-23,0
2013-07-24,0
2013-07-25,25
2013-07-26,50
2013-07-27,0
2013-07-28,0
2013-07-29,47
2013-07-30,35
2013-07-31,0
2013-08-01,37
2013-08-02,51
2013-08-03,30
2013-08-04,29
2013-08-05,24
2013-08-06,48
2013-08-07,37
2013-08-08,37
2013-08-09,51
2013-08-10,0
2013-08-11,0
2013-08-12,47
2013-08-13,24
2013-08-14,49
2013-08-15,0
2013-08-16,25
2013-08-17,29
2013-08-18,29
2013-08-19,47
2013-08-20,24
2013-08-21,24
2013-08-22,24
2013-08-23,25
2013-08-24,57
2013-08-25,0
2013-08-26,46
2013-08-27,46
2013-08-28,46
2013-08-29,35
2013-08-30,25
2013-08-31,28
2013-09-01,0
2013-09-02,0
2013-09-03,23
2013-09-04,23
2013-09-05,35
2013-09-06,48
2013-09-07,42
2013-09-08,0
2013-09-09,23
2013-09-10,0
2013-09-11,45
2013-09-12,23
2013-09-13,24
2013-09-14,27
2013-09-15,0
2013-09-16,0
2013-09-17,22
2013-09-18,45
2013-09-19,0
2013-09-20,24
2013-09-21,27
2013-09-22,26
2013-09-23,0
2013-09-24,22
2013-09-25,23
2013-09-26,23
2013-09-27,24
2013-09-28,27
2013-09-29,26
2013-09-30,22
2013-10-01,22
2013-10-02,23
2013-10-03,34
2013-10-04,35
2013-10-05,0
2013-10-06,0
2013-10-07,34
2013-10-08,0
2013-10-09,0
2013-10-10,45
2013-10-11,35
2013-10-12,0
2013-10-13,0
2013-10-14,23
2013-10-15,0
2013-10-16,23
2013-10-17,45
2013-10-18,47
2013-10-19,0
2013-10-20,26
2013-10-21,22
2013-10-22,22
2013-10-23,45
2013-10-24,56
2013-10-25,23
2013-10-26,0
2013-10-27,26
2013-10-28,44
2013-10-29,22
2013-10-30,22
2013-10-31,46
2013-11-01,24
2013-11-02,0
2013-11-03,0
2013-11-04,44
2013-11-05,44
2013-11-06,33
