date,CSCO stock
2017-05-29,6
2017-05-30,9
2017-05-31,17
2017-06-01,12
2017-06-02,26
2017-06-03,2
2017-06-04,2
2017-06-05,21
2017-06-06,15
2017-06-07,28
2017-06-08,13
2017-06-09,24
2017-06-10,0
2017-06-11,9
2017-06-12,13
2017-06-13,17
2017-06-14,11
2017-06-15,16
2017-06-16,22
2017-06-17,7
2017-06-18,2
2017-06-19,19
2017-06-20,24
2017-06-21,20
2017-06-22,15
2017-06-23,13
2017-06-24,4
2017-06-25,0
2017-06-26,21
2017-06-27,29
2017-06-28,20
2017-06-29,4
2017-06-30,22
2017-07-01,2
2017-07-02,0
2017-07-03,22
2017-07-04,30
2017-07-05,28
2017-07-06,20
2017-07-07,18
2017-07-08,14
2017-07-09,7
2017-07-10,15
2017-07-11,29
2017-07-12,23
2017-07-13,22
2017-07-14,30
2017-07-15,9
2017-07-16,4
2017-07-17,12
2017-07-18,12
2017-07-19,29
2017-07-20,31
2017-07-21,24
2017-07-22,14
2017-07-23,4
2017-07-24,19
2017-07-25,15
2017-07-26,30
2017-07-27,15
2017-07-28,20
2017-07-29,13
2017-07-30,2
2017-07-31,13
2017-08-01,22
2017-08-02,34
2017-08-03,15
2017-08-04,20
2017-08-05,2
2017-08-06,4
2017-08-07,20
2017-08-08,14
2017-08-09,24
2017-08-10,8
2017-08-11,12
2017-08-12,11
2017-08-13,2
2017-08-14,13
2017-08-15,21
2017-08-16,52
2017-08-17,30
2017-08-18,33
2017-08-19,6
2017-08-20,6
2017-08-21,7
2017-08-22,24
2017-08-23,24
2017-08-24,28
2017-08-25,18
2017-08-26,11
2017-08-27,2
2017-08-28,24
2017-08-29,16
2017-08-30,20
2017-08-31,15
2017-09-01,14
2017-09-02,2
2017-09-03,2
2017-09-04,2
2017-09-05,7
2017-09-06,7
2017-09-07,9
2017-09-08,15
2017-09-09,0
2017-09-10,2
2017-09-11,25
2017-09-12,16
2017-09-13,13
2017-09-14,17
2017-09-15,4
2017-09-16,4
2017-09-17,0
2017-09-18,24
2017-09-19,27
2017-09-20,15
2017-09-21,11
2017-09-22,10
2017-09-23,4
2017-09-24,2
2017-09-25,14
2017-09-26,22
2017-09-27,16
2017-09-28,18
2017-09-29,10
2017-09-30,4
2017-10-01,4
2017-10-02,22
2017-10-03,18
2017-10-04,16
2017-10-05,18
2017-10-06,17
2017-10-07,6
2017-10-08,2
2017-10-09,13
2017-10-10,14
2017-10-11,13
2017-10-12,13
2017-10-13,15
2017-10-14,4
2017-10-15,4
2017-10-16,23
2017-10-17,20
2017-10-18,29
2017-10-19,22
2017-10-20,21
2017-10-21,0
2017-10-22,6
2017-10-23,11
2017-10-24,23
2017-10-25,30
2017-10-26,15
2017-10-27,24
2017-10-28,6
2017-10-29,4
2017-10-30,12
2017-10-31,29
2017-11-01,24
2017-11-02,20
2017-11-03,22
2017-11-04,6
2017-11-05,2
2017-11-06,23
2017-11-07,21
2017-11-08,12
2017-11-09,20
2017-11-10,33
2017-11-11,4
2017-11-12,4
2017-11-13,17
2017-11-14,28
2017-11-15,49
2017-11-16,100
2017-11-17,38
2017-11-18,6
2017-11-19,6
2017-11-20,26
2017-11-21,40
2017-11-22,16
2017-11-23,7
2017-11-24,7
2017-11-25,4
2017-11-26,4
2017-11-27,21
2017-11-28,31
2017-11-29,35
2017-11-30,32
2017-12-01,38
2017-12-02,6
2017-12-03,4
2017-12-04,26
2017-12-05,29
2017-12-06,26
2017-12-07,21
2017-12-08,24
2017-12-09,10
2017-12-10,8
2017-12-11,21
2017-12-12,23
2017-12-13,30
2017-12-14,18
2017-12-15,28
2017-12-16,8
2017-12-17,2
2017-12-18,37
2017-12-19,31
2017-12-20,20
2017-12-21,29
2017-12-22,16
2017-12-23,2
2017-12-24,11
2017-12-25,5
2017-12-26,10
2017-12-27,31
2017-12-28,17
2017-12-29,19
2017-12-30,4
2017-12-31,4
2018-01-01,7
2018-01-02,24
2018-01-03,32
2018-01-04,21
2018-01-05,47
2018-01-06,20
2018-01-07,2
2018-01-08,24
2018-01-09,24
2018-01-10,31
2018-01-11,35
2018-01-12,32
2018-01-13,6
2018-01-14,10
2018-01-15,24
2018-01-16,34
2018-01-17,34
2018-01-18,41
2018-01-19,30
2018-01-20,12
2018-01-21,4
2018-01-22,35
2018-01-23,34
2018-01-24,45
2018-01-25,38
2018-01-26,36
2018-01-27,10
2018-01-28,6
2018-01-29,39
2018-01-30,32
2018-01-31,27
2018-02-01,36
2018-02-02,33
2018-02-03,18
2018-02-04,4
2018-02-05,29
2018-02-06,51
2018-02-07,29
2018-02-08,55
2018-02-09,53
2018-02-10,22
2018-02-11,4
2018-02-12,29
2018-02-13,48
