date,value
2018-04-09,43.0
2018-04-10,48.0
2018-04-11,38.0
2018-04-12,48.0
2018-04-13,34.0
2018-04-14,4.0
2018-04-15,5.0
2018-04-16,35.0
2018-04-17,48.0
2018-04-18,35.0
2018-04-19,45.0
2018-04-20,29.0
2018-04-21,8.0
2018-04-22,8.0
2018-04-23,25.0
2018-04-24,34.0
2018-04-25,43.0
2018-04-26,37.0
2018-04-27,42.0
2018-04-28,5.0
2018-04-29,13.0
2018-04-30,30.0
2018-05-01,35.0
2018-05-02,34.0
2018-05-03,24.0
2018-05-04,39.0
2018-05-05,10.0
2018-05-06,5.0
2018-05-07,26.0
2018-05-08,49.0
2018-05-09,31.0
2018-05-10,51.0
2018-05-11,44.0
2018-05-12,3.0
2018-05-13,3.0
2018-05-14,46.0
2018-05-15,41.0
2018-05-16,100.0
2018-05-17,98.0
2018-05-18,49.0
2018-05-19,13.0
2018-05-20,18.0
2018-05-21,58.0
2018-05-22,46.0
2018-05-23,36.0
2018-05-24,38.0
2018-05-25,38.0
2018-05-26,9.0
2018-05-27,6.0
2018-05-28,7.0
2018-05-29,35.0
2018-05-30,40.0
2018-05-31,42.0
2018-06-01,46.0
2018-06-02,9.0
2018-06-03,5.0
2018-06-04,43.0
2018-06-05,30.0
2018-06-06,30.0
2018-06-07,43.0
2018-06-08,36.0
2018-06-09,8.0
2018-06-10,12.0
2018-06-11,26.0
2018-06-12,26.0
2018-06-13,48.0
2018-06-14,27.0
2018-06-14,30.158048904737644
2018-06-15,31.404228222109015
2018-06-16,10.196637799286805
2018-06-17,5.735608762098828
