date,CSX stock
2012-06-04,41
2012-06-05,10
2012-06-06,10
2012-06-07,32
2012-06-08,22
2012-06-09,51
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,20
2012-06-14,0
2012-06-15,44
2012-06-16,13
2012-06-17,13
2012-06-18,31
2012-06-19,51
2012-06-20,31
2012-06-21,10
2012-06-22,11
2012-06-23,26
2012-06-24,13
2012-06-25,20
2012-06-26,20
2012-06-27,31
2012-06-28,10
2012-06-29,22
2012-06-30,0
2012-07-01,13
2012-07-02,52
2012-07-03,21
2012-07-04,11
2012-07-05,0
2012-07-06,11
2012-07-07,13
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,21
2012-07-12,21
2012-07-13,11
2012-07-14,0
2012-07-15,26
2012-07-16,21
2012-07-17,10
2012-07-18,31
2012-07-19,21
2012-07-20,11
2012-07-21,13
2012-07-22,0
2012-07-23,21
2012-07-24,42
2012-07-25,21
2012-07-26,21
2012-07-27,33
2012-07-28,0
2012-07-29,0
2012-07-30,10
2012-07-31,41
2012-08-01,10
2012-08-02,64
2012-08-03,33
2012-08-04,13
2012-08-05,0
2012-08-06,10
2012-08-07,21
2012-08-08,11
2012-08-09,11
2012-08-10,22
2012-08-11,0
2012-08-12,0
2012-08-13,10
2012-08-14,10
2012-08-15,0
2012-08-16,11
2012-08-17,44
2012-08-18,13
2012-08-19,13
2012-08-20,0
2012-08-21,53
2012-08-22,31
2012-08-23,21
2012-08-24,43
2012-08-25,0
2012-08-26,12
2012-08-27,10
2012-08-28,10
2012-08-29,10
2012-08-30,31
2012-08-31,21
2012-09-01,0
2012-09-02,12
2012-09-03,0
2012-09-04,20
2012-09-05,10
2012-09-06,10
2012-09-07,22
2012-09-08,25
2012-09-09,0
2012-09-10,10
2012-09-11,30
2012-09-12,0
2012-09-13,40
2012-09-14,21
2012-09-15,0
2012-09-16,0
2012-09-17,40
2012-09-18,10
2012-09-19,20
2012-09-20,41
2012-09-21,32
2012-09-22,12
2012-09-23,0
2012-09-24,10
2012-09-25,0
2012-09-26,10
2012-09-27,40
2012-09-28,10
2012-09-29,0
2012-09-30,0
2012-10-01,30
2012-10-02,0
2012-10-03,30
2012-10-04,19
2012-10-05,20
2012-10-06,0
2012-10-07,11
2012-10-08,19
2012-10-09,29
2012-10-10,29
2012-10-11,10
2012-10-12,10
2012-10-13,12
2012-10-14,0
2012-10-15,9
2012-10-16,0
2012-10-17,48
2012-10-18,38
2012-10-19,30
2012-10-20,0
2012-10-21,0
2012-10-22,47
2012-10-23,9
2012-10-24,38
2012-10-25,58
2012-10-26,20
2012-10-27,0
2012-10-28,11
2012-10-29,9
2012-10-30,28
2012-10-31,19
2012-11-01,10
2012-11-02,50
2012-11-03,11
2012-11-04,11
2012-11-05,37
2012-11-06,18
2012-11-07,36
2012-11-08,47
2012-11-09,40
2012-11-10,11
2012-11-11,11
2012-11-12,28
2012-11-13,28
2012-11-14,37
2012-11-15,67
2012-11-16,49
2012-11-17,11
2012-11-18,11
2012-11-19,37
2012-11-20,9
2012-11-21,19
2012-11-22,0
2012-11-23,30
2012-11-24,22
2012-11-25,11
2012-11-26,27
2012-11-27,91
2012-11-28,27
2012-11-29,55
2012-11-30,10
2012-12-01,0
2012-12-02,0
2012-12-03,27
2012-12-04,9
2012-12-05,0
2012-12-06,9
2012-12-07,48
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,27
2012-12-12,9
2012-12-13,37
2012-12-14,0
2012-12-15,11
2012-12-16,0
2012-12-17,36
2012-12-18,65
2012-12-19,19
2012-12-20,19
2012-12-21,21
2012-12-22,23
2012-12-23,0
2012-12-24,12
2012-12-25,12
2012-12-26,21
2012-12-27,10
2012-12-28,20
2012-12-29,0
2012-12-30,0
2012-12-31,34
2013-01-01,12
2013-01-02,38
2013-01-03,18
2013-01-04,29
2013-01-05,32
2013-01-06,10
2013-01-07,27
2013-01-08,18
2013-01-09,44
2013-01-10,18
2013-01-11,55
2013-01-12,0
2013-01-13,0
2013-01-14,35
2013-01-15,43
2013-01-16,35
2013-01-17,70
2013-01-18,27
2013-01-19,0
2013-01-20,20
2013-01-21,9
2013-01-22,26
2013-01-23,44
2013-01-24,44
2013-01-25,63
2013-01-26,21
2013-01-27,30
2013-01-28,26
2013-01-29,51
2013-01-30,34
2013-01-31,61
2013-02-01,9
2013-02-02,41
2013-02-03,10
2013-02-04,26
2013-02-05,26
2013-02-06,26
2013-02-07,18
2013-02-08,36
2013-02-09,21
2013-02-10,10
2013-02-11,18
2013-02-12,27
2013-02-13,26
2013-02-14,27
2013-02-15,100
2013-02-16,10
2013-02-17,20
2013-02-18,9
2013-02-19,42
