date,CTAS stock
2018-02-13,0
2018-02-14,34
2018-02-15,52
2018-02-16,36
2018-02-17,0
2018-02-18,19
2018-02-19,35
2018-02-20,17
2018-02-21,100
2018-02-22,17
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,34
2018-02-27,68
2018-02-28,0
2018-03-01,16
2018-03-02,17
2018-03-03,0
2018-03-04,0
2018-03-05,33
2018-03-06,34
2018-03-07,0
2018-03-08,17
2018-03-09,53
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,17
2018-03-14,17
2018-03-15,50
2018-03-16,17
2018-03-17,19
2018-03-18,0
2018-03-19,17
2018-03-20,0
2018-03-21,0
2018-03-22,51
2018-03-23,53
2018-03-24,0
2018-03-25,0
2018-03-26,0
2018-03-27,34
2018-03-28,0
2018-03-29,18
2018-03-30,0
2018-03-31,20
2018-04-01,0
2018-04-02,18
2018-04-03,0
2018-04-04,17
2018-04-05,87
2018-04-06,18
2018-04-07,0
2018-04-08,0
2018-04-09,0
