date,value
2017-10-31,43.0
2017-11-01,42.0
2017-11-02,47.0
2017-11-03,52.0
2017-11-04,63.0
2017-11-05,70.0
2017-11-06,52.0
2017-11-07,49.0
2017-11-08,51.0
2017-11-09,51.0
2017-11-10,58.0
2017-11-11,73.0
2017-11-12,72.0
2017-11-13,60.0
2017-11-14,52.0
2017-11-15,53.0
2017-11-16,54.0
2017-11-17,62.0
2017-11-18,76.0
2017-11-19,84.0
2017-11-20,67.0
2017-11-21,67.0
2017-11-22,73.0
2017-11-23,80.0
2017-11-24,100.0
2017-11-25,84.0
2017-11-26,95.0
2017-11-27,76.0
2017-11-28,60.0
2017-11-29,51.0
2017-11-30,52.0
2017-12-01,56.0
2017-12-02,69.0
2017-12-03,72.0
2017-12-04,55.0
2017-12-05,56.0
2017-12-06,51.0
2017-12-07,55.0
2017-12-08,56.0
2017-12-09,68.0
2017-12-10,71.0
2017-12-11,58.0
2017-12-12,54.0
2017-12-13,53.0
2017-12-14,53.0
2017-12-15,60.0
2017-12-16,73.0
2017-12-17,77.0
2017-12-18,61.0
2017-12-19,61.0
2017-12-20,60.0
2017-12-21,62.0
2017-12-22,72.0
2017-12-23,92.0
2017-12-24,96.0
2017-12-25,47.0
2017-12-26,70.0
2017-12-27,63.0
2017-12-28,62.0
2017-12-29,62.0
2017-12-30,76.0
2017-12-31,89.0
2018-01-01,74.0
2018-01-02,56.0
2018-01-03,52.0
2018-01-04,51.0
2018-01-05,51.0
2018-01-06,63.0
2018-01-07,66.0
2018-01-08,47.0
2018-01-09,44.0
2018-01-10,43.0
2018-01-11,46.0
2018-01-12,48.0
2018-01-13,61.0
2018-01-14,65.0
2018-01-15,55.0
2018-01-16,42.0
2018-01-17,40.0
2018-01-18,40.0
2018-01-19,45.0
2018-01-20,57.0
2018-01-21,60.0
2018-01-22,43.0
2018-01-23,42.0
2018-01-24,40.0
2018-01-25,41.0
2018-01-26,44.0
2018-01-27,57.0
2018-01-28,60.0
2018-01-29,46.0
2018-01-30,42.0
2018-01-31,42.0
2018-02-01,42.0
2018-02-02,45.0
2018-02-03,61.0
2018-02-04,60.0
2018-02-05,42.0
2018-02-06,41.0
2018-02-07,41.0
2018-02-08,42.0
2018-02-09,44.0
2018-02-10,56.0
2018-02-11,61.0
2018-02-12,47.0
2018-02-13,43.0
2018-02-14,39.0
2018-02-15,37.0
2018-02-16,43.0
2018-02-17,54.0
2018-02-18,67.0
2018-02-19,58.0
2018-02-20,44.0
2018-02-21,41.0
2018-02-22,42.0
2018-02-23,45.0
2018-02-24,57.0
2018-02-25,58.0
2018-02-26,44.0
2018-02-27,41.0
2018-02-28,41.0
2018-03-01,42.0
2018-03-02,45.0
2018-03-03,61.0
2018-03-04,62.0
2018-03-05,44.0
2018-03-06,42.0
2018-03-07,42.0
2018-03-08,44.0
2018-03-09,47.0
2018-03-10,60.0
2018-03-11,63.0
2018-03-12,46.0
2018-03-13,43.0
2018-03-14,40.0
2018-03-15,42.0
2018-03-16,45.0
2018-03-17,60.0
2018-03-18,59.0
2018-03-19,45.0
2018-03-20,41.0
2018-03-21,42.0
2018-03-22,42.0
2018-03-23,44.0
2018-03-24,58.0
2018-03-25,64.0
2018-03-26,46.0
2018-03-27,44.0
2018-03-28,46.0
2018-03-29,49.0
2018-03-30,62.0
2018-03-31,67.0
2018-04-01,74.0
2018-04-02,55.0
2018-04-03,43.0
2018-04-04,46.0
2018-04-05,44.0
2018-04-06,46.0
2018-04-07,62.0
2018-04-08,63.0
2018-04-09,47.0
2018-04-10,43.0
2018-04-11,43.0
2018-04-12,42.0
2018-04-13,47.0
2018-04-14,58.0
2018-04-15,66.0
2018-04-16,47.0
2018-04-17,43.0
2018-04-18,43.0
2018-04-19,46.0
2018-04-20,49.0
2018-04-21,64.0
2018-04-22,66.0
2018-04-23,48.0
2018-04-24,46.0
2018-04-25,45.0
2018-04-26,44.0
2018-04-27,46.0
2018-04-28,60.0
2018-04-29,68.0
2018-04-30,49.0
2018-05-01,48.0
2018-05-02,45.0
2018-05-03,47.0
2018-05-04,49.0
2018-05-05,61.0
2018-05-06,65.0
2018-05-07,53.0
2018-05-08,46.0
2018-05-09,46.0
2018-05-10,47.0
2018-05-11,50.0
2018-05-12,63.0
2018-05-13,63.0
