date,Ctrip,isPartial
2011-09-18,48,False
2011-09-19,51,False
2011-09-20,68,False
2011-09-21,49,False
2011-09-22,68,False
2011-09-23,44,False
2011-09-24,61,False
2011-09-25,58,False
2011-09-26,68,False
2011-09-27,51,False
2011-09-28,64,False
2011-09-29,100,False
2011-09-30,41,False
2011-10-01,52,False
2011-10-02,58,False
2011-10-03,30,False
2011-10-04,61,False
2011-10-05,31,False
2011-10-06,27,False
2011-10-07,36,False
2011-10-08,57,False
2011-10-09,50,False
2011-10-10,63,False
2011-10-11,59,False
2011-10-12,49,False
2011-10-13,56,False
2011-10-14,48,False
2011-10-15,38,False
2011-10-16,55,False
2011-10-17,52,False
2011-10-18,62,False
2011-10-19,45,False
2011-10-20,59,False
2011-10-21,48,False
2011-10-22,36,False
2011-10-23,20,False
2011-10-24,68,False
2011-10-25,61,False
2011-10-26,55,False
2011-10-27,58,False
2011-10-28,39,False
2011-10-29,45,False
2011-10-30,50,False
2011-10-31,54,False
2011-11-01,45,False
2011-11-02,73,False
2011-11-03,46,False
2011-11-04,80,False
2011-11-05,43,False
2011-11-06,43,False
2011-11-07,52,False
2011-11-08,45,False
2011-11-09,41,False
2011-11-10,36,False
2011-11-11,48,False
2011-11-12,52,False
2011-11-13,39,False
2011-11-14,63,False
2011-11-15,44,False
2011-11-16,47,False
2011-11-17,52,False
2011-11-18,70,False
2011-11-19,9,False
2011-11-20,36,False
2011-11-21,44,False
2011-11-22,39,False
2011-11-23,26,False
2011-11-24,60,False
2011-11-25,44,False
2011-11-26,61,False
2011-11-27,45,False
2011-11-28,62,False
2011-11-29,58,False
2011-11-30,53,False
2011-12-01,44,False
2011-12-02,67,False
2011-12-03,17,False
2011-12-04,33,False
2011-12-05,64,False
2011-12-06,81,False
2011-12-07,49,False
2011-12-08,50,False
2011-12-09,54,False
2011-12-10,31,False
2011-12-11,28,False
2011-12-12,58,False
2011-12-13,53,False
2011-12-14,65,False
2011-12-15,43,False
2011-12-16,37,False
2011-12-17,43,False
2011-12-18,31,False
2011-12-19,59,False
2011-12-20,48,False
2011-12-21,49,False
2011-12-22,50,False
2011-12-23,46,False
2011-12-24,26,False
2011-12-25,50,False
2011-12-26,64,False
2011-12-27,35,False
2011-12-28,53,False
2011-12-29,51,False
2011-12-30,47,False
2011-12-31,31,False
2012-01-01,64,False
2012-01-02,30,False
2012-01-03,44,False
2012-01-04,66,False
2012-01-05,80,False
2012-01-06,38,False
2012-01-07,38,False
2012-01-08,66,False
2012-01-09,47,False
2012-01-10,55,False
2012-01-11,39,False
2012-01-12,54,False
2012-01-13,32,False
2012-01-14,48,False
2012-01-15,32,False
2012-01-16,54,False
2012-01-17,51,False
2012-01-18,33,False
2012-01-19,48,False
2012-01-20,46,False
2012-01-21,32,False
2012-01-22,44,False
2012-01-23,24,False
2012-01-24,28,False
2012-01-25,24,False
2012-01-26,25,False
2012-01-27,23,False
2012-01-28,37,False
2012-01-29,44,False
2012-01-30,43,False
2012-01-31,51,False
2012-02-01,37,False
2012-02-02,48,False
2012-02-03,61,False
2012-02-04,52,False
2012-02-05,46,False
2012-02-06,45,False
2012-02-07,45,False
2012-02-08,56,False
2012-02-09,54,False
2012-02-10,45,False
2012-02-11,44,False
2012-02-12,47,False
2012-02-13,51,False
2012-02-14,37,False
2012-02-15,72,False
2012-02-16,60,False
2012-02-17,55,False
2012-02-18,61,False
2012-02-19,31,False
2012-02-20,65,False
2012-02-21,62,False
2012-02-22,62,False
2012-02-23,46,False
2012-02-24,45,False
2012-02-25,31,False
2012-02-26,33,False
2012-02-27,58,False
2012-02-28,55,False
2012-02-29,43,False
2012-03-01,30,False
2012-03-02,28,False
2012-03-03,51,False
2012-03-04,32,False
2012-03-05,64,False
2012-03-06,41,False
2012-03-07,53,False
2012-03-08,55,False
2012-03-09,52,False
2012-03-10,72,False
2012-03-11,18,False
2012-03-12,68,False
2012-03-13,60,False
2012-03-14,36,False
2012-03-15,30,False
2012-03-16,66,False
2012-03-17,55,False
2012-03-18,39,False
2012-03-19,58,False
2012-03-20,66,False
2012-03-21,45,False
2012-03-22,79,False
2012-03-23,51,False
2012-03-24,48,False
2012-03-25,42,False
2012-03-26,60,False
2012-03-27,76,False
2012-03-28,65,False
2012-03-29,61,False
2012-03-30,59,False
2012-03-31,75,False
2012-04-01,58,False
2012-04-02,46,False
2012-04-03,57,False
2012-04-04,38,False
2012-04-05,66,False
2012-04-06,70,False
2012-04-07,41,False
2012-04-08,42,False
2012-04-09,88,False
2012-04-10,51,False
2012-04-11,60,False
2012-04-12,52,False
2012-04-13,78,False
2012-04-14,31,False
2012-04-15,38,False
2012-04-16,42,False
2012-04-17,60,False
2012-04-18,62,False
2012-04-19,60,False
2012-04-20,52,False
2012-04-21,39,False
2012-04-22,40,False
2012-04-23,62,False
2012-04-24,61,False
2012-04-25,79,False
2012-04-26,37,False
2012-04-27,64,False
2012-04-28,63,False
2012-04-29,40,False
2012-04-30,45,False
2012-05-01,40,False
2012-05-02,68,False
2012-05-03,72,False
2012-05-04,40,False
2012-05-05,46,False
2012-05-06,44,False
2012-05-07,40,False
2012-05-08,38,False
2012-05-09,48,False
2012-05-10,48,False
2012-05-11,41,False
2012-05-12,66,False
2012-05-13,45,False
2012-05-14,63,False
2012-05-15,60,False
2012-05-16,55,False
2012-05-17,75,False
2012-05-18,43,False
2012-05-19,51,False
2012-05-20,52,False
2012-05-21,82,False
2012-05-22,61,False
2012-05-23,36,False
2012-05-24,30,False
2012-05-25,68,False
2012-05-26,44,False
2012-05-27,60,False
2012-05-28,54,False
2012-05-29,53,False
2012-05-30,57,False
2012-05-31,66,False
2012-06-01,42,False
2012-06-02,42,False
2012-06-03,59,False
2012-06-04,39,False
