date,value
2010-08-24,53
2010-08-25,76
2010-08-26,64
2010-08-27,57
2010-08-28,57
2010-08-29,60
2010-08-30,88
2010-08-31,45
2010-09-01,59
2010-09-02,83
2010-09-03,91
2010-09-04,49
2010-09-05,57
2010-09-06,61
2010-09-07,72
2010-09-08,79
2010-09-09,65
2010-09-10,59
2010-09-11,59
2010-09-12,46
2010-09-13,65
2010-09-14,76
2010-09-15,72
2010-09-16,70
2010-09-17,80
2010-09-18,43
2010-09-19,65
2010-09-20,76
2010-09-21,86
2010-09-22,48
2010-09-23,36
2010-09-24,63
2010-09-25,97
2010-09-26,66
2010-09-27,58
2010-09-28,61
2010-09-29,92
2010-09-30,56
2010-10-01,53
2010-10-02,38
2010-10-03,58
2010-10-04,29
2010-10-05,70
2010-10-06,56
2010-10-07,35
2010-10-08,66
2010-10-09,94
2010-10-10,71
2010-10-11,75
2010-10-12,69
2010-10-13,49
2010-10-14,77
2010-10-15,101
2010-10-16,62
2010-10-17,37
2010-10-18,79
2010-10-19,71
2010-10-20,52
2010-10-21,67
2010-10-22,43
2010-10-23,66
2010-10-24,47
2010-10-25,48
2010-10-26,54
2010-10-27,52
2010-10-28,73
2010-10-29,38
2010-10-30,48
2010-10-31,59
2010-11-01,71
2010-11-02,84
2010-11-03,64
2010-11-04,56
2010-11-05,67
2010-11-06,66
2010-11-07,42
2010-11-08,53
2010-11-09,55
2010-11-10,48
2010-11-11,69
2010-11-12,57
2010-11-13,64
2010-11-14,64
2010-11-15,59
2010-11-16,51
2010-11-17,76
2010-11-18,57
2010-11-19,54
2010-11-20,36
2010-11-21,52
2010-11-22,57
2010-11-23,58
2010-11-24,43
2010-11-25,82
2010-11-26,37
2010-11-27,68
2010-11-28,69
2010-11-29,25
2010-11-30,49
2010-12-01,77
2010-12-02,53
2010-12-03,56
2010-12-04,53
2010-12-05,68
2010-12-06,86
2010-12-07,72
2010-12-08,69
2010-12-09,57
2010-12-10,63
2010-12-11,53
2010-12-12,55
2010-12-13,58
2010-12-14,56
2010-12-15,65
2010-12-16,58
2010-12-17,55
2010-12-18,36
2010-12-19,57
2010-12-20,69
2010-12-21,66
2010-12-22,66
2010-12-23,67
2010-12-24,72
2010-12-25,65
2010-12-26,86
2010-12-27,66
2010-12-28,59
2010-12-29,37
2010-12-30,96
2010-12-31,60
2011-01-01,53
2011-01-02,57
2011-01-03,46
2011-01-04,68
2011-01-05,64
2011-01-06,71
2011-01-07,72
2011-01-08,51
2011-01-09,57
2011-01-10,64
2011-01-11,60
2011-01-12,51
2011-01-13,62
2011-01-14,47
2011-01-15,50
2011-01-16,46
2011-01-17,53
2011-01-18,80
2011-01-19,68
2011-01-20,79
2011-01-21,69
2011-01-22,36
2011-01-23,71
2011-01-24,57
2011-01-25,60
2011-01-26,50
2011-01-27,74
2011-01-28,45
2011-01-29,38
2011-01-30,64
2011-01-31,74
2011-02-01,55
2011-02-02,33
2011-02-03,47
2011-02-04,25
2011-02-05,17
2011-02-06,37
2011-02-07,38
2011-02-08,41
2011-02-09,69
2011-02-10,34
2011-02-11,63
2011-02-12,58
2011-02-13,26
2011-02-14,64
2011-02-15,66
2011-02-16,76
2011-02-17,70
2011-02-18,71
2011-02-19,73
2011-02-20,59
2011-02-21,82
2011-02-22,71
2011-02-23,36
2011-02-24,69
2011-02-25,64
2011-02-26,35
2011-02-27,55
2011-02-28,48
2011-03-01,48
2011-03-02,84
2011-03-03,60
2011-03-04,94
2011-03-05,45
2011-03-06,54
2011-03-07,55
2011-03-08,60
2011-03-09,69
2011-03-10,64
2011-03-11,52
2011-03-12,51
2011-03-13,38
2011-03-14,60
2011-03-15,97
2011-03-16,68
2011-03-17,59
2011-03-18,56
2011-03-19,51
2011-03-20,41
2011-03-21,65
2011-03-22,58
2011-03-23,71
2011-03-24,70
2011-03-25,41
2011-03-26,32
2011-03-27,50
2011-03-28,72
2011-03-29,82
2011-03-30,92
2011-03-31,67
2011-04-01,69
2011-04-02,66
2011-04-03,29
2011-04-04,31
2011-04-05,43
2011-04-06,59
2011-04-07,37
2011-04-08,67
2011-04-09,55
2011-04-10,74
2011-04-11,69
2011-04-12,62
2011-04-13,60
2011-04-14,67
2011-04-15,52
2011-04-16,55
2011-04-17,75
2011-04-18,57
2011-04-19,71
2011-04-20,82
2011-04-21,67
2011-04-22,62
2011-04-23,42
2011-04-24,46
2011-04-25,67
2011-04-26,56
2011-04-27,73
2011-04-28,51
2011-04-29,52
2011-04-30,62
2011-05-01,42
2011-05-02,26
2011-05-03,50
2011-05-04,51
2011-05-05,58
2011-05-06,38
2011-05-07,39
2011-05-08,48
2011-05-09,60
2011-05-10,66
2011-05-11,72
