date,DISH stock
2014-07-24,18
2014-07-25,9
2014-07-26,0
2014-07-27,0
2014-07-28,9
2014-07-29,35
2014-07-30,26
2014-07-31,27
2014-08-01,18
2014-08-02,0
2014-08-03,0
2014-08-04,9
2014-08-05,26
2014-08-06,9
2014-08-07,25
2014-08-08,9
2014-08-09,10
2014-08-10,0
2014-08-11,34
2014-08-12,17
2014-08-13,26
2014-08-14,17
2014-08-15,9
2014-08-16,10
2014-08-17,0
2014-08-18,34
2014-08-19,34
2014-08-20,34
2014-08-21,34
2014-08-22,35
2014-08-23,20
2014-08-24,10
2014-08-25,0
2014-08-26,33
2014-08-27,8
2014-08-28,17
2014-08-29,18
2014-08-30,10
2014-08-31,0
2014-09-01,8
2014-09-02,8
2014-09-03,24
2014-09-04,8
2014-09-05,9
2014-09-06,0
2014-09-07,0
2014-09-08,0
2014-09-09,8
2014-09-10,16
2014-09-11,24
2014-09-12,17
2014-09-13,10
2014-09-14,19
2014-09-15,8
2014-09-16,8
2014-09-17,24
2014-09-18,8
2014-09-19,26
2014-09-20,10
2014-09-21,19
2014-09-22,0
2014-09-23,16
2014-09-24,24
2014-09-25,0
2014-09-26,34
2014-09-27,0
2014-09-28,0
2014-09-29,56
2014-09-30,8
2014-10-01,8
2014-10-02,17
2014-10-03,0
2014-10-04,20
2014-10-05,0
2014-10-06,0
2014-10-07,8
2014-10-08,16
2014-10-09,16
2014-10-10,25
2014-10-11,10
2014-10-12,28
2014-10-13,8
2014-10-14,16
2014-10-15,8
2014-10-16,0
2014-10-17,17
2014-10-18,19
2014-10-19,19
2014-10-20,0
2014-10-21,39
2014-10-22,24
2014-10-23,16
2014-10-24,51
2014-10-25,0
2014-10-26,18
2014-10-27,23
2014-10-28,16
2014-10-29,16
2014-10-30,8
2014-10-31,17
2014-11-01,10
2014-11-02,9
2014-11-03,55
2014-11-04,31
2014-11-05,8
2014-11-06,23
2014-11-07,41
2014-11-08,28
2014-11-09,0
2014-11-10,39
2014-11-11,8
2014-11-12,38
2014-11-13,31
2014-11-14,16
2014-11-15,9
2014-11-16,18
2014-11-17,31
2014-11-18,17
2014-11-19,32
2014-11-20,94
2014-11-21,49
2014-11-22,18
2014-11-23,0
2014-11-24,0
2014-11-25,38
2014-11-26,31
2014-11-27,8
2014-11-28,33
2014-11-29,27
2014-11-30,0
2014-12-01,45
2014-12-02,23
2014-12-03,15
2014-12-04,16
2014-12-05,48
2014-12-06,9
2014-12-07,18
2014-12-08,47
2014-12-09,23
2014-12-10,23
2014-12-11,47
2014-12-12,8
2014-12-13,9
2014-12-14,18
2014-12-15,8
2014-12-16,15
2014-12-17,16
2014-12-18,33
2014-12-19,34
2014-12-20,10
2014-12-21,28
2014-12-22,41
2014-12-23,34
2014-12-24,19
2014-12-25,10
2014-12-26,37
2014-12-27,47
2014-12-28,0
2014-12-29,25
2014-12-30,42
2014-12-31,37
2015-01-01,40
2015-01-02,34
2015-01-03,18
2015-01-04,18
2015-01-05,31
2015-01-06,100
2015-01-07,53
2015-01-08,53
2015-01-09,23
2015-01-10,26
2015-01-11,34
2015-01-12,22
2015-01-13,44
2015-01-14,15
2015-01-15,23
2015-01-16,0
2015-01-17,18
2015-01-18,0
2015-01-19,7
2015-01-20,15
2015-01-21,29
2015-01-22,30
2015-01-23,15
2015-01-24,35
2015-01-25,17
2015-01-26,22
2015-01-27,22
2015-01-28,29
2015-01-29,29
2015-01-30,23
2015-01-31,26
2015-02-01,17
2015-02-02,22
2015-02-03,43
2015-02-04,22
2015-02-05,36
2015-02-06,31
2015-02-07,9
2015-02-08,0
2015-02-09,22
2015-02-10,43
2015-02-11,22
2015-02-12,7
2015-02-13,62
2015-02-14,0
2015-02-15,9
2015-02-16,15
2015-02-17,46
2015-02-18,46
2015-02-19,30
2015-02-20,15
2015-02-21,9
2015-02-22,17
2015-02-23,73
2015-02-24,65
2015-02-25,36
2015-02-26,15
2015-02-27,23
2015-02-28,25
2015-03-01,17
2015-03-02,7
2015-03-03,22
2015-03-04,7
2015-03-05,22
2015-03-06,23
2015-03-07,17
2015-03-08,9
2015-03-09,22
2015-03-10,43
2015-03-11,15
2015-03-12,29
2015-03-13,30
2015-03-14,17
2015-03-15,25
2015-03-16,22
2015-03-17,29
2015-03-18,15
2015-03-19,29
2015-03-20,15
2015-03-21,26
2015-03-22,0
2015-03-23,7
2015-03-24,22
2015-03-25,21
2015-03-26,25
2015-03-27,23
2015-03-28,9
2015-03-29,9
2015-03-30,15
2015-03-31,22
2015-04-01,7
2015-04-02,23
2015-04-03,8
2015-04-04,18
2015-04-05,9
2015-04-06,23
2015-04-07,0
2015-04-08,22
2015-04-09,37
2015-04-10,23
