date,value
2017-10-01,34.0
2017-10-02,36.0
2017-10-03,12.0
2017-10-04,18.0
2017-10-05,31.0
2017-10-06,38.0
2017-10-07,0.0
2017-10-08,42.0
2017-10-09,6.0
2017-10-10,42.0
2017-10-11,24.0
2017-10-12,24.0
2017-10-13,50.0
2017-10-14,7.0
2017-10-15,7.0
2017-10-16,24.0
2017-10-17,24.0
2017-10-18,18.0
2017-10-19,24.0
2017-10-20,25.0
2017-10-21,14.0
2017-10-22,7.0
2017-10-23,18.0
2017-10-24,24.0
2017-10-25,18.0
2017-10-26,24.0
2017-10-27,44.0
2017-10-28,21.0
2017-10-29,34.0
2017-10-30,47.0
2017-10-31,24.0
2017-11-01,25.0
2017-11-02,31.0
2017-11-03,19.0
2017-11-04,7.0
2017-11-05,13.0
2017-11-06,29.0
2017-11-07,58.0
2017-11-08,53.0
2017-11-09,47.0
2017-11-10,31.0
2017-11-11,0.0
2017-11-12,13.0
2017-11-13,23.0
2017-11-14,6.0
2017-11-15,29.0
2017-11-16,23.0
2017-11-17,12.0
2017-11-18,0.0
2017-11-19,7.0
2017-11-20,23.0
2017-11-21,23.0
2017-11-22,47.0
2017-11-23,24.0
2017-11-24,43.0
2017-11-25,27.0
2017-11-26,13.0
2017-11-27,35.0
2017-11-28,17.0
2017-11-29,29.0
2017-11-30,29.0
2017-12-01,24.0
2017-12-02,13.0
2017-12-03,0.0
2017-12-04,29.0
2017-12-05,34.0
2017-12-06,23.0
2017-12-07,30.0
2017-12-08,43.0
2017-12-09,14.0
2017-12-10,13.0
2017-12-11,11.0
2017-12-12,41.0
2017-12-13,12.0
2017-12-14,24.0
2017-12-15,25.0
2017-12-16,7.0
2017-12-17,20.0
2017-12-18,48.0
2017-12-19,18.0
2017-12-20,24.0
2017-12-21,31.0
2017-12-22,27.0
2017-12-23,14.0
2017-12-24,8.0
2017-12-25,8.0
2017-12-26,20.0
2017-12-27,38.0
2017-12-28,25.0
2017-12-29,13.0
2017-12-30,7.0
2017-12-31,22.0
2018-01-01,22.0
2018-01-02,48.0
2018-01-03,100.0
2018-01-04,29.0
2018-01-05,36.0
2018-01-06,20.0
2018-01-07,0.0
2018-01-08,23.0
2018-01-09,23.0
2018-01-10,29.0
2018-01-11,23.0
2018-01-12,36.0
2018-01-13,26.0
2018-01-14,0.0
2018-01-15,17.0
2018-01-16,17.0
2018-01-17,62.0
2018-01-18,51.0
2018-01-19,24.0
2018-01-20,7.0
2018-01-21,13.0
2018-01-22,28.0
2018-01-23,34.0
2018-01-24,22.0
2018-01-25,11.0
2018-01-26,24.0
2018-01-27,7.0
2018-01-28,6.0
2018-01-29,17.0
2018-01-30,34.0
2018-01-31,22.0
2018-02-01,34.0
2018-02-02,6.0
2018-02-03,13.0
2018-02-04,19.0
2018-02-05,11.0
2018-02-06,28.0
2018-02-07,22.0
2018-02-08,34.0
2018-02-09,24.0
2018-02-10,7.0
2018-02-11,0.0
2018-02-12,17.0
2018-02-13,34.0
2018-02-14,12.0
2018-02-15,29.0
2018-02-16,36.0
2018-02-17,0.0
2018-02-18,13.0
2018-02-19,35.0
2018-02-20,45.0
2018-02-21,39.0
2018-02-22,6.0
2018-02-23,29.0
2018-02-24,13.0
2018-02-25,6.0
2018-02-26,17.0
2018-02-27,28.0
2018-02-28,6.0
2018-03-01,33.0
2018-03-02,12.0
2018-03-03,13.0
2018-03-04,13.0
2018-03-05,5.0
2018-03-06,28.0
2018-03-07,28.0
2018-03-08,28.0
2018-03-09,46.0
2018-03-10,26.0
2018-03-11,6.0
2018-03-12,17.0
2018-03-13,11.0
2018-03-14,28.0
2018-03-15,22.0
2018-03-16,17.0
2018-03-17,6.0
2018-03-18,25.0
2018-03-19,6.0
2018-03-20,33.0
2018-03-21,39.0
2018-03-22,46.0
2018-03-23,41.0
2018-03-24,0.0
2018-03-25,6.0
2018-03-26,40.0
2018-03-27,6.0
2018-03-28,18.0
2018-03-29,18.0
2018-03-30,13.0
2018-03-31,7.0
2018-04-01,7.0
2018-04-02,30.0
2018-04-03,11.0
2018-04-04,34.0
2018-04-05,17.0
2018-04-06,12.0
2018-04-07,20.0
2018-04-08,0.0
2018-04-09,17.0
2018-04-10,33.0
2018-04-11,33.0
2018-04-12,17.0
2018-04-13,24.0
2018-04-14,13.0
2018-04-15,6.0
2018-04-16,17.0
2018-04-17,17.0
2018-04-18,40.0
2018-04-19,23.0
2018-04-20,24.0
2018-04-21,13.0
2018-04-22,0.0
2018-04-23,22.0
2018-04-24,28.0
2018-04-25,34.0
2018-04-26,28.0
2018-04-27,6.0
2018-04-28,27.0
2018-04-29,13.0
2018-04-30,35.0
2018-05-01,36.0
2018-05-02,34.0
2018-05-03,34.0
2018-05-04,18.0
2018-05-05,13.0
2018-05-06,7.0
2018-05-07,40.0
2018-05-08,63.0
2018-05-09,69.0
2018-05-10,52.0
2018-05-11,47.0
2018-05-12,20.0
2018-05-13,0.0
2018-05-14,6.0
2018-05-15,33.0
2018-05-16,6.0
2018-05-17,35.0
2018-05-18,30.0
2018-05-19,13.0
2018-05-20,0.0
2018-05-21,17.0
2018-05-22,6.0
2018-05-23,23.0
2018-05-24,52.0
2018-05-25,54.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,23.0
2018-05-29,17.0
2018-05-30,29.0
2018-05-31,23.0
2018-06-01,18.0
2018-06-02,34.0
2018-06-03,0.0
2018-06-04,28.0
2018-06-05,17.0
2018-06-06,46.0
2018-06-07,29.0
2018-06-08,24.0
2018-06-09,0.0
2018-06-10,26.0
2018-06-11,27.0
2018-06-12,42.0
2018-06-13,5.0
2018-06-14,34.0
2018-06-14,32.897662018047576
2018-06-15,23.389663658736666
2018-06-16,12.492206726825264
2018-06-17,10.133305988515175
2018-06-18,19.203445447087773
2018-06-19,35.084495488105
