date,DLTR stock
2016-05-04,0
2016-05-05,0
2016-05-06,43
2016-05-07,0
2016-05-08,0
2016-05-09,20
2016-05-10,20
2016-05-11,20
2016-05-12,20
2016-05-13,21
2016-05-14,0
2016-05-15,0
2016-05-16,20
2016-05-17,20
2016-05-18,40
2016-05-19,61
2016-05-20,21
2016-05-21,0
2016-05-22,0
2016-05-23,20
2016-05-24,0
2016-05-25,21
2016-05-26,64
2016-05-27,22
2016-05-28,24
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,41
2016-06-02,21
2016-06-03,43
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,21
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,41
2016-06-16,41
2016-06-17,21
2016-06-18,0
2016-06-19,0
2016-06-20,20
2016-06-21,0
2016-06-22,20
2016-06-23,42
2016-06-24,65
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,21
2016-06-29,42
2016-06-30,0
2016-07-01,22
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,65
2016-07-06,44
2016-07-07,0
2016-07-08,0
2016-07-09,0
2016-07-10,25
2016-07-11,22
2016-07-12,0
2016-07-13,0
2016-07-14,21
2016-07-15,0
2016-07-16,0
2016-07-17,25
2016-07-18,22
2016-07-19,0
2016-07-20,22
2016-07-21,22
2016-07-22,0
2016-07-23,25
2016-07-24,0
2016-07-25,0
2016-07-26,21
2016-07-27,0
2016-07-28,44
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,43
2016-08-02,21
2016-08-03,0
2016-08-04,22
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,45
2016-08-09,0
2016-08-10,22
2016-08-11,0
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,24
2016-08-16,68
2016-08-17,23
2016-08-18,23
2016-08-19,0
2016-08-20,26
2016-08-21,26
2016-08-22,0
2016-08-23,0
2016-08-24,90
2016-08-25,65
2016-08-26,67
2016-08-27,0
2016-08-28,0
2016-08-29,0
2016-08-30,63
2016-08-31,0
2016-09-01,21
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,42
2016-09-07,0
2016-09-08,43
2016-09-09,44
2016-09-10,25
2016-09-11,0
2016-09-12,65
2016-09-13,21
2016-09-14,42
2016-09-15,64
2016-09-16,44
2016-09-17,24
2016-09-18,0
2016-09-19,21
2016-09-20,41
2016-09-21,21
2016-09-22,0
2016-09-23,22
2016-09-24,0
2016-09-25,0
2016-09-26,21
2016-09-27,0
2016-09-28,0
2016-09-29,0
2016-09-30,22
2016-10-01,0
2016-10-02,0
2016-10-03,0
2016-10-04,41
2016-10-05,61
2016-10-06,21
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,0
2016-10-12,0
2016-10-13,0
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,0
2016-10-18,40
2016-10-19,20
2016-10-20,41
2016-10-21,21
2016-10-22,0
2016-10-23,24
2016-10-24,0
2016-10-25,0
2016-10-26,62
2016-10-27,42
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,21
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,21
2016-11-05,0
2016-11-06,0
2016-11-07,20
2016-11-08,0
2016-11-09,0
2016-11-10,21
2016-11-11,21
2016-11-12,24
2016-11-13,0
2016-11-14,60
2016-11-15,40
2016-11-16,20
2016-11-17,21
2016-11-18,21
2016-11-19,0
2016-11-20,23
2016-11-21,20
2016-11-22,20
2016-11-23,80
2016-11-24,0
2016-11-25,42
2016-11-26,0
2016-11-27,0
2016-11-28,19
2016-11-29,0
2016-11-30,0
2016-12-01,100
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,38
2016-12-07,0
2016-12-08,59
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,19
2016-12-13,39
2016-12-14,0
2016-12-15,0
2016-12-16,21
2016-12-17,0
2016-12-18,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,42
2016-12-23,22
2016-12-24,0
2016-12-25,26
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,21
2016-12-30,0
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,20
2017-01-05,20
2017-01-06,21
2017-01-07,0
2017-01-08,0
2017-01-09,38
2017-01-10,0
2017-01-11,19
2017-01-12,38
2017-01-13,39
2017-01-14,0
2017-01-15,0
2017-01-16,19
2017-01-17,38
2017-01-18,19
2017-01-19,0
