date,EBAY stock
2016-09-11,22
2016-09-12,33
2016-09-13,27
2016-09-14,28
2016-09-15,32
2016-09-16,39
2016-09-17,32
2016-09-18,20
2016-09-19,34
2016-09-20,38
2016-09-21,31
2016-09-22,34
2016-09-23,30
2016-09-24,33
2016-09-25,29
2016-09-26,35
2016-09-27,34
2016-09-28,40
2016-09-29,32
2016-09-30,39
2016-10-01,29
2016-10-02,28
2016-10-03,33
2016-10-04,41
2016-10-05,28
2016-10-06,28
2016-10-07,30
2016-10-08,30
2016-10-09,27
2016-10-10,39
2016-10-11,40
2016-10-12,35
2016-10-13,47
2016-10-14,25
2016-10-15,20
2016-10-16,14
2016-10-17,31
2016-10-18,44
2016-10-19,62
2016-10-20,100
2016-10-21,51
2016-10-22,15
2016-10-23,20
2016-10-24,42
2016-10-25,42
2016-10-26,37
2016-10-27,25
2016-10-28,19
2016-10-29,11
2016-10-30,29
2016-10-31,31
2016-11-01,34
2016-11-02,48
2016-11-03,57
2016-11-04,36
2016-11-05,26
2016-11-06,31
2016-11-07,45
2016-11-08,51
2016-11-09,50
2016-11-10,47
2016-11-11,47
2016-11-12,34
2016-11-13,34
2016-11-14,36
2016-11-15,48
2016-11-16,53
2016-11-17,48
2016-11-18,59
2016-11-19,29
2016-11-20,28
2016-11-21,33
2016-11-22,48
2016-11-23,29
2016-11-24,24
2016-11-25,44
2016-11-26,39
2016-11-27,21
2016-11-28,49
2016-11-29,38
2016-11-30,35
2016-12-01,39
2016-12-02,36
2016-12-03,29
2016-12-04,35
2016-12-05,29
2016-12-06,45
2016-12-07,43
2016-12-08,43
2016-12-09,43
2016-12-10,30
2016-12-11,21
2016-12-12,34
2016-12-13,47
2016-12-14,36
2016-12-15,40
2016-12-16,44
2016-12-17,27
2016-12-18,34
2016-12-19,38
2016-12-20,44
2016-12-21,38
2016-12-22,30
2016-12-23,21
2016-12-24,24
2016-12-25,13
2016-12-26,34
2016-12-27,33
2016-12-28,22
2016-12-29,22
2016-12-30,27
2016-12-31,25
2017-01-01,26
2017-01-02,35
2017-01-03,42
2017-01-04,35
2017-01-05,32
2017-01-06,36
2017-01-07,42
2017-01-08,25
2017-01-09,42
2017-01-10,42
2017-01-11,33
2017-01-12,30
2017-01-13,33
2017-01-14,20
2017-01-15,29
2017-01-16,28
2017-01-17,41
2017-01-18,34
2017-01-19,34
2017-01-20,39
2017-01-21,29
2017-01-22,27
2017-01-23,30
2017-01-24,35
2017-01-25,66
2017-01-26,83
2017-01-27,37
2017-01-28,29
2017-01-29,32
2017-01-30,45
2017-01-31,43
2017-02-01,44
2017-02-02,36
2017-02-03,41
2017-02-04,32
2017-02-05,26
2017-02-06,35
2017-02-07,39
2017-02-08,37
2017-02-09,38
2017-02-10,55
2017-02-11,18
2017-02-12,35
2017-02-13,40
2017-02-14,36
2017-02-15,44
2017-02-16,45
2017-02-17,40
2017-02-18,29
2017-02-19,25
2017-02-20,29
2017-02-21,41
2017-02-22,31
2017-02-23,31
2017-02-24,34
2017-02-25,33
2017-02-26,28
2017-02-27,34
2017-02-28,46
2017-03-01,54
2017-03-02,41
2017-03-03,53
2017-03-04,44
2017-03-05,36
2017-03-06,43
2017-03-07,50
2017-03-08,39
2017-03-09,32
2017-03-10,42
2017-03-11,29
2017-03-12,28
2017-03-13,26
2017-03-14,40
2017-03-15,41
2017-03-16,35
2017-03-17,33
2017-03-18,26
2017-03-19,32
2017-03-20,31
2017-03-21,43
2017-03-22,42
2017-03-23,33
2017-03-24,34
2017-03-25,21
2017-03-26,25
2017-03-27,41
2017-03-28,37
2017-03-29,34
2017-03-30,42
2017-03-31,28
2017-04-01,15
2017-04-02,30
2017-04-03,28
2017-04-04,43
2017-04-05,33
2017-04-06,44
2017-04-07,29
2017-04-08,27
2017-04-09,30
2017-04-10,34
2017-04-11,50
2017-04-12,29
2017-04-13,29
2017-04-14,40
2017-04-15,30
2017-04-16,26
2017-04-17,39
2017-04-18,35
2017-04-19,64
2017-04-20,69
2017-04-21,28
2017-04-22,43
2017-04-23,35
2017-04-24,43
2017-04-25,45
2017-04-26,31
2017-04-27,45
2017-04-28,35
2017-04-29,30
2017-04-30,21
2017-05-01,40
2017-05-02,27
2017-05-03,59
2017-05-04,38
2017-05-05,37
2017-05-06,26
2017-05-07,23
2017-05-08,35
2017-05-09,49
2017-05-10,36
2017-05-11,34
2017-05-12,40
2017-05-13,31
2017-05-14,27
2017-05-15,30
2017-05-16,42
2017-05-17,39
2017-05-18,41
2017-05-19,37
2017-05-20,23
2017-05-21,25
2017-05-22,42
2017-05-23,36
2017-05-24,45
2017-05-25,50
2017-05-26,28
2017-05-27,26
2017-05-28,25
2017-05-29,24
