date,value
2018-04-09,40.0
2018-04-10,60.0
2018-04-11,58.0
2018-04-12,41.0
2018-04-13,53.0
2018-04-14,35.0
2018-04-15,44.0
2018-04-16,58.0
2018-04-17,55.0
2018-04-18,47.0
2018-04-19,70.0
2018-04-20,62.0
2018-04-21,57.0
2018-04-22,29.0
2018-04-23,58.0
2018-04-24,58.0
2018-04-25,75.0
2018-04-26,100.0
2018-04-27,64.0
2018-04-28,16.0
2018-04-29,33.0
2018-04-30,53.0
2018-05-01,55.0
2018-05-02,50.0
2018-05-03,39.0
2018-05-04,56.0
2018-05-05,44.0
2018-05-06,35.0
2018-05-07,61.0
2018-05-08,52.0
2018-05-09,49.0
2018-05-10,53.0
2018-05-11,49.0
2018-05-12,18.0
2018-05-13,41.0
2018-05-14,52.0
2018-05-15,36.0
2018-05-16,72.0
2018-05-17,39.0
2018-05-18,42.0
2018-05-19,26.0
2018-05-20,33.0
2018-05-21,58.0
2018-05-22,48.0
2018-05-23,66.0
2018-05-24,50.0
2018-05-25,64.0
2018-05-26,28.0
2018-05-27,35.0
2018-05-28,36.0
2018-05-29,39.0
2018-05-30,50.0
2018-05-31,55.0
2018-06-01,35.0
2018-06-02,48.0
2018-06-03,26.0
2018-06-04,46.0
2018-06-05,57.0
2018-06-06,54.0
2018-06-07,30.0
2018-06-08,49.0
2018-06-09,22.0
2018-06-10,16.0
2018-06-11,36.0
2018-06-12,54.0
2018-06-13,43.0
2018-06-14,55.0
2018-06-14,49.922413793103445
2018-06-15,42.1462544589774
2018-06-16,29.108204518430437
2018-06-17,24.74197384066587
