date,ESRX stock
2016-09-11,0
2016-09-12,14
2016-09-13,0
2016-09-14,7
2016-09-15,14
2016-09-16,22
2016-09-17,0
2016-09-18,0
2016-09-19,14
2016-09-20,7
2016-09-21,7
2016-09-22,14
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,14
2016-09-28,0
2016-09-29,7
2016-09-30,0
2016-10-01,0
2016-10-02,0
2016-10-03,7
2016-10-04,7
2016-10-05,14
2016-10-06,21
2016-10-07,7
2016-10-08,0
2016-10-09,0
2016-10-10,14
2016-10-11,0
2016-10-12,7
2016-10-13,14
2016-10-14,7
2016-10-15,0
2016-10-16,0
2016-10-17,7
2016-10-18,7
2016-10-19,0
2016-10-20,14
2016-10-21,7
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,27
2016-10-26,0
2016-10-27,7
2016-10-28,22
2016-10-29,0
2016-10-30,8
2016-10-31,7
2016-11-01,7
2016-11-02,0
2016-11-03,7
2016-11-04,7
2016-11-05,0
2016-11-06,0
2016-11-07,7
2016-11-08,7
2016-11-09,31
2016-11-10,14
2016-11-11,0
2016-11-12,0
2016-11-13,8
2016-11-14,0
2016-11-15,20
2016-11-16,0
2016-11-17,0
2016-11-18,14
2016-11-19,8
2016-11-20,0
2016-11-21,0
2016-11-22,7
2016-11-23,20
2016-11-24,7
2016-11-25,0
2016-11-26,0
2016-11-27,7
2016-11-28,13
2016-11-29,6
2016-11-30,20
2016-12-01,20
2016-12-02,14
2016-12-03,7
2016-12-04,0
2016-12-05,6
2016-12-06,25
2016-12-07,7
2016-12-08,27
2016-12-09,34
2016-12-10,0
2016-12-11,7
2016-12-12,26
2016-12-13,13
2016-12-14,13
2016-12-15,7
2016-12-16,35
2016-12-17,8
2016-12-18,8
2016-12-19,0
2016-12-20,0
2016-12-21,14
2016-12-22,14
2016-12-23,0
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,35
2016-12-28,7
2016-12-29,0
2016-12-30,7
2016-12-31,8
2017-01-01,8
2017-01-02,7
2017-01-03,13
2017-01-04,7
2017-01-05,7
2017-01-06,21
2017-01-07,7
2017-01-08,0
2017-01-09,13
2017-01-10,13
2017-01-11,0
2017-01-12,6
2017-01-13,0
2017-01-14,0
2017-01-15,0
2017-01-16,19
2017-01-17,6
2017-01-18,0
2017-01-19,13
2017-01-20,7
2017-01-21,0
2017-01-22,0
2017-01-23,13
2017-01-24,13
2017-01-25,19
2017-01-26,19
2017-01-27,26
2017-01-28,7
2017-01-29,0
2017-01-30,6
2017-01-31,6
2017-02-01,12
2017-02-02,19
2017-02-03,7
2017-02-04,0
2017-02-05,7
2017-02-06,19
2017-02-07,32
2017-02-08,25
2017-02-09,13
2017-02-10,20
2017-02-11,0
2017-02-12,0
2017-02-13,6
2017-02-14,12
2017-02-15,26
2017-02-16,6
2017-02-17,13
2017-02-18,7
2017-02-19,7
2017-02-20,0
2017-02-21,0
2017-02-22,12
2017-02-23,6
2017-02-24,20
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,6
2017-03-01,18
2017-03-02,18
2017-03-03,19
2017-03-04,7
2017-03-05,0
2017-03-06,24
2017-03-07,6
2017-03-08,25
2017-03-09,18
2017-03-10,19
2017-03-11,7
2017-03-12,0
2017-03-13,0
2017-03-14,12
2017-03-15,44
2017-03-16,32
2017-03-17,7
2017-03-18,0
2017-03-19,0
2017-03-20,13
2017-03-21,6
2017-03-22,0
2017-03-23,13
2017-03-24,13
2017-03-25,7
2017-03-26,0
2017-03-27,25
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,27
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,12
2017-04-05,12
2017-04-06,0
2017-04-07,33
2017-04-08,0
2017-04-09,7
2017-04-10,6
2017-04-11,13
2017-04-12,6
2017-04-13,13
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,13
2017-04-18,6
2017-04-19,6
2017-04-20,6
2017-04-21,20
2017-04-22,15
2017-04-23,0
2017-04-24,95
2017-04-25,100
2017-04-26,12
2017-04-27,44
2017-04-28,26
2017-04-29,7
2017-04-30,7
2017-05-01,13
2017-05-02,31
2017-05-03,12
2017-05-04,13
2017-05-05,20
2017-05-06,14
2017-05-07,0
2017-05-08,6
2017-05-09,6
2017-05-10,19
2017-05-11,13
2017-05-12,0
2017-05-13,0
2017-05-14,0
2017-05-15,13
2017-05-16,20
2017-05-17,14
2017-05-18,7
2017-05-19,21
2017-05-20,0
2017-05-21,0
2017-05-22,0
2017-05-23,13
2017-05-24,27
2017-05-25,0
2017-05-26,14
2017-05-27,0
2017-05-28,0
2017-05-29,0
