date,value
2017-09-30,7.0
2017-10-01,5.0
2017-10-02,4.0
2017-10-03,8.0
2017-10-04,4.0
2017-10-05,0.0
2017-10-06,6.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,10.0
2017-10-10,8.0
2017-10-11,8.0
2017-10-12,4.0
2017-10-13,11.0
2017-10-14,0.0
2017-10-15,5.0
2017-10-16,8.0
2017-10-17,8.0
2017-10-18,17.0
2017-10-19,13.0
2017-10-20,11.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,4.0
2017-10-24,18.0
2017-10-25,21.0
2017-10-26,19.0
2017-10-27,13.0
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,10.0
2017-10-31,17.0
2017-11-01,9.0
2017-11-02,8.0
2017-11-03,9.0
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,6.0
2017-11-07,8.0
2017-11-08,6.0
2017-11-09,4.0
2017-11-10,11.0
2017-11-11,5.0
2017-11-12,0.0
2017-11-13,8.0
2017-11-14,12.0
2017-11-15,8.0
2017-11-16,8.0
2017-11-17,4.0
2017-11-18,5.0
2017-11-19,0.0
2017-11-20,4.0
2017-11-21,6.0
2017-11-22,6.0
2017-11-23,4.0
2017-11-24,8.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,8.0
2017-11-28,8.0
2017-11-29,6.0
2017-11-30,14.0
2017-12-01,17.0
2017-12-02,5.0
2017-12-03,5.0
2017-12-04,14.0
2017-12-05,8.0
2017-12-06,18.0
2017-12-07,19.0
2017-12-08,13.0
2017-12-09,5.0
2017-12-10,0.0
2017-12-11,4.0
2017-12-12,8.0
2017-12-13,8.0
2017-12-14,8.0
2017-12-15,13.0
2017-12-16,9.0
2017-12-17,0.0
2017-12-18,10.0
2017-12-19,25.0
2017-12-20,6.0
2017-12-21,9.0
2017-12-22,7.0
2017-12-23,5.0
2017-12-24,0.0
2017-12-25,5.0
2017-12-26,16.0
2017-12-27,11.0
2017-12-28,13.0
2017-12-29,9.0
2017-12-30,5.0
2017-12-31,5.0
2018-01-01,0.0
2018-01-02,11.0
2018-01-03,8.0
2018-01-04,6.0
2018-01-05,6.0
2018-01-06,9.0
2018-01-07,0.0
2018-01-08,12.0
2018-01-09,18.0
2018-01-10,24.0
2018-01-11,8.0
2018-01-12,12.0
2018-01-13,5.0
2018-01-14,0.0
2018-01-15,4.0
2018-01-16,12.0
2018-01-17,14.0
2018-01-18,18.0
2018-01-19,10.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,12.0
2018-01-23,8.0
2018-01-24,6.0
2018-01-25,8.0
2018-01-26,6.0
2018-01-27,7.0
2018-01-28,4.0
2018-01-29,16.0
2018-01-30,35.0
2018-01-31,20.0
2018-02-01,18.0
2018-02-02,8.0
2018-02-03,4.0
2018-02-04,4.0
2018-02-05,4.0
2018-02-06,19.0
2018-02-07,4.0
2018-02-08,8.0
2018-02-09,16.0
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,10.0
2018-02-13,12.0
2018-02-14,8.0
2018-02-15,6.0
2018-02-16,6.0
2018-02-17,9.0
2018-02-18,4.0
2018-02-19,4.0
2018-02-20,14.0
2018-02-21,16.0
2018-02-22,4.0
2018-02-23,10.0
2018-02-24,4.0
2018-02-25,0.0
2018-02-26,10.0
2018-02-27,23.0
