date,value
2017-09-30,0.0
2017-10-01,0.0
2017-10-02,5.0
2017-10-03,16.0
2017-10-04,11.0
2017-10-05,8.0
2017-10-06,0.0
2017-10-07,6.0
2017-10-08,0.0
2017-10-09,5.0
2017-10-10,16.0
2017-10-11,11.0
2017-10-12,0.0
2017-10-13,6.0
2017-10-14,6.0
2017-10-15,0.0
2017-10-16,5.0
2017-10-17,11.0
2017-10-18,11.0
2017-10-19,6.0
2017-10-20,0.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,11.0
2017-10-24,5.0
2017-10-25,22.0
2017-10-26,30.0
2017-10-27,43.0
2017-10-28,28.0
2017-10-29,12.0
2017-10-30,24.0
2017-10-31,11.0
2017-11-01,31.0
2017-11-02,28.0
2017-11-03,11.0
2017-11-04,0.0
2017-11-05,6.0
2017-11-06,21.0
2017-11-07,16.0
2017-11-08,24.0
2017-11-09,16.0
2017-11-10,8.0
2017-11-11,0.0
2017-11-12,6.0
2017-11-13,16.0
2017-11-14,13.0
2017-11-15,8.0
2017-11-16,13.0
2017-11-17,19.0
2017-11-18,6.0
2017-11-19,12.0
2017-11-20,13.0
2017-11-21,0.0
2017-11-22,13.0
2017-11-23,5.0
2017-11-24,11.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,13.0
2017-11-28,8.0
2017-11-29,5.0
2017-11-30,8.0
2017-12-01,6.0
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,16.0
2017-12-05,16.0
2017-12-06,5.0
2017-12-07,16.0
2017-12-08,8.0
2017-12-09,6.0
2017-12-10,6.0
2017-12-11,0.0
2017-12-12,5.0
2017-12-13,5.0
2017-12-14,5.0
2017-12-15,0.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,11.0
2017-12-19,8.0
2017-12-20,6.0
2017-12-21,6.0
2017-12-22,12.0
2017-12-23,7.0
2017-12-24,0.0
2017-12-25,0.0
2017-12-26,6.0
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,18.0
2017-12-30,13.0
2017-12-31,0.0
2018-01-01,7.0
2018-01-02,6.0
2018-01-03,5.0
2018-01-04,13.0
2018-01-05,11.0
2018-01-06,0.0
2018-01-07,6.0
2018-01-08,5.0
2018-01-09,5.0
2018-01-10,5.0
2018-01-11,29.0
2018-01-12,11.0
2018-01-13,12.0
2018-01-14,6.0
2018-01-15,5.0
2018-01-16,5.0
2018-01-17,8.0
2018-01-18,21.0
2018-01-19,11.0
2018-01-20,6.0
2018-01-21,12.0
2018-01-22,10.0
2018-01-23,10.0
2018-01-24,8.0
2018-01-25,13.0
2018-01-26,13.0
2018-01-27,0.0
2018-01-28,6.0
2018-01-29,0.0
2018-01-30,8.0
2018-01-31,8.0
2018-02-01,5.0
2018-02-02,5.0
2018-02-03,0.0
2018-02-04,6.0
2018-02-05,10.0
2018-02-06,8.0
2018-02-07,8.0
2018-02-08,34.0
2018-02-09,100.0
2018-02-10,12.0
2018-02-11,6.0
2018-02-12,21.0
2018-02-13,8.0
2018-02-14,16.0
2018-02-15,11.0
2018-02-16,5.0
2018-02-17,0.0
2018-02-18,6.0
2018-02-19,5.0
2018-02-20,23.0
2018-02-21,23.0
2018-02-22,16.0
2018-02-23,5.0
2018-02-24,6.0
2018-02-25,0.0
2018-02-26,8.0
2018-02-27,0.0
2018-02-28,5.0
2018-03-01,10.0
2018-03-02,16.0
2018-03-03,0.0
2018-03-04,6.0
2018-03-05,8.0
2018-03-06,5.0
2018-03-07,23.0
2018-03-08,18.0
2018-03-09,19.0
2018-03-10,6.0
2018-03-11,12.0
2018-03-12,15.0
2018-03-13,20.0
2018-03-14,10.0
2018-03-15,15.0
2018-03-16,11.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,5.0
2018-03-20,15.0
2018-03-21,20.0
2018-03-22,26.0
2018-03-23,13.0
2018-03-24,0.0
2018-03-25,6.0
2018-03-26,26.0
