date,Expedia,isPartial
2017-01-19,80,False
2017-01-20,74,False
2017-01-21,70,False
2017-01-22,81,False
2017-01-23,82,False
2017-01-24,89,False
2017-01-25,79,False
2017-01-26,77,False
2017-01-27,70,False
2017-01-28,72,False
2017-01-29,78,False
2017-01-30,79,False
2017-01-31,82,False
2017-02-01,80,False
2017-02-02,78,False
2017-02-03,72,False
2017-02-04,73,False
2017-02-05,79,False
2017-02-06,79,False
2017-02-07,81,False
2017-02-08,83,False
2017-02-09,79,False
2017-02-10,77,False
2017-02-11,72,False
2017-02-12,79,False
2017-02-13,83,False
2017-02-14,76,False
2017-02-15,82,False
2017-02-16,80,False
2017-02-17,74,False
2017-02-18,77,False
2017-02-19,85,False
2017-02-20,81,False
2017-02-21,86,False
2017-02-22,87,False
2017-02-23,84,False
2017-02-24,81,False
2017-02-25,78,False
2017-02-26,87,False
2017-02-27,82,False
2017-02-28,95,False
2017-03-01,87,False
2017-03-02,86,False
2017-03-03,86,False
2017-03-04,82,False
2017-03-05,90,False
2017-03-06,95,False
2017-03-07,90,False
2017-03-08,87,False
2017-03-09,87,False
2017-03-10,83,False
2017-03-11,83,False
2017-03-12,86,False
2017-03-13,91,False
2017-03-14,94,False
2017-03-15,87,False
2017-03-16,83,False
2017-03-17,79,False
2017-03-18,76,False
2017-03-19,88,False
2017-03-20,89,False
2017-03-21,90,False
2017-03-22,85,False
2017-03-23,82,False
2017-03-24,80,False
2017-03-25,74,False
2017-03-26,81,False
2017-03-27,86,False
2017-03-28,95,False
2017-03-29,88,False
2017-03-30,81,False
2017-03-31,76,False
2017-04-01,74,False
2017-04-02,85,False
2017-04-03,92,False
2017-04-04,86,False
2017-04-05,85,False
2017-04-06,84,False
2017-04-07,77,False
2017-04-08,70,False
2017-04-09,77,False
2017-04-10,85,False
2017-04-11,90,False
2017-04-12,82,False
2017-04-13,76,False
2017-04-14,74,False
2017-04-15,63,False
2017-04-16,68,False
2017-04-17,83,False
2017-04-18,82,False
2017-04-19,83,False
2017-04-20,81,False
2017-04-21,79,False
2017-04-22,70,False
2017-04-23,71,False
2017-04-24,85,False
2017-04-25,88,False
2017-04-26,84,False
2017-04-27,81,False
2017-04-28,70,False
2017-04-29,68,False
2017-04-30,73,False
2017-05-01,88,False
2017-05-02,85,False
2017-05-03,86,False
2017-05-04,79,False
2017-05-05,77,False
2017-05-06,69,False
2017-05-07,75,False
2017-05-08,84,False
2017-05-09,88,False
2017-05-10,79,False
2017-05-11,75,False
2017-05-12,77,False
2017-05-13,66,False
2017-05-14,73,False
2017-05-15,86,False
2017-05-16,86,False
2017-05-17,86,False
2017-05-18,82,False
2017-05-19,74,False
2017-05-20,74,False
2017-05-21,75,False
2017-05-22,84,False
2017-05-23,82,False
2017-05-24,80,False
2017-05-25,79,False
2017-05-26,78,False
2017-05-27,73,False
2017-05-28,75,False
2017-05-29,77,False
2017-05-30,84,False
2017-05-31,83,False
2017-06-01,84,False
2017-06-02,78,False
2017-06-03,69,False
2017-06-04,75,False
2017-06-05,87,False
2017-06-06,87,False
2017-06-07,83,False
2017-06-08,79,False
2017-06-09,75,False
2017-06-10,76,False
2017-06-11,78,False
2017-06-12,88,False
2017-06-13,87,False
2017-06-14,81,False
2017-06-15,84,False
2017-06-16,77,False
2017-06-17,78,False
2017-06-18,81,False
2017-06-19,93,False
2017-06-20,94,False
2017-06-21,83,False
2017-06-22,81,False
