date,Express Scripts,isPartial
2017-05-29,40,False
2017-05-30,67,False
2017-05-31,71,False
2017-06-01,66,False
2017-06-02,62,False
2017-06-03,38,False
2017-06-04,40,False
2017-06-05,83,False
2017-06-06,80,False
2017-06-07,67,False
2017-06-08,76,False
2017-06-09,57,False
2017-06-10,38,False
2017-06-11,36,False
2017-06-12,60,False
2017-06-13,62,False
2017-06-14,70,False
2017-06-15,72,False
2017-06-16,55,False
2017-06-17,32,False
2017-06-18,24,False
2017-06-19,61,False
2017-06-20,86,False
2017-06-21,60,False
2017-06-22,71,False
2017-06-23,57,False
2017-06-24,42,False
2017-06-25,31,False
2017-06-26,62,False
2017-06-27,81,False
2017-06-28,71,False
2017-06-29,62,False
2017-06-30,60,False
2017-07-01,34,False
2017-07-02,30,False
2017-07-03,66,False
2017-07-04,34,False
2017-07-05,69,False
2017-07-06,62,False
2017-07-07,70,False
2017-07-08,45,False
2017-07-09,32,False
2017-07-10,76,False
2017-07-11,79,False
2017-07-12,70,False
2017-07-13,72,False
2017-07-14,58,False
2017-07-15,40,False
2017-07-16,41,False
2017-07-17,79,False
2017-07-18,81,False
2017-07-19,81,False
2017-07-20,81,False
2017-07-21,74,False
2017-07-22,31,False
2017-07-23,28,False
2017-07-24,63,False
2017-07-25,64,False
2017-07-26,80,False
2017-07-27,71,False
2017-07-28,67,False
2017-07-29,42,False
2017-07-30,36,False
2017-07-31,80,False
2017-08-01,66,False
2017-08-02,78,False
2017-08-03,67,False
2017-08-04,60,False
2017-08-05,39,False
2017-08-06,34,False
2017-08-07,70,False
2017-08-08,73,False
2017-08-09,59,False
2017-08-10,74,False
2017-08-11,56,False
2017-08-12,46,False
2017-08-13,32,False
2017-08-14,77,False
2017-08-15,94,False
2017-08-16,57,False
2017-08-17,73,False
2017-08-18,69,False
2017-08-19,36,False
2017-08-20,34,False
2017-08-21,62,False
2017-08-22,69,False
2017-08-23,66,False
2017-08-24,55,False
2017-08-25,58,False
2017-08-26,47,False
2017-08-27,35,False
2017-08-28,65,False
2017-08-29,77,False
2017-08-30,71,False
2017-08-31,71,False
2017-09-01,65,False
2017-09-02,34,False
2017-09-03,32,False
2017-09-04,34,False
2017-09-05,67,False
2017-09-06,63,False
2017-09-07,75,False
2017-09-08,67,False
2017-09-09,47,False
2017-09-10,33,False
2017-09-11,77,False
2017-09-12,72,False
2017-09-13,77,False
2017-09-14,60,False
2017-09-15,68,False
2017-09-16,35,False
2017-09-17,39,False
2017-09-18,90,False
2017-09-19,82,False
2017-09-20,69,False
2017-09-21,59,False
2017-09-22,66,False
2017-09-23,37,False
2017-09-24,34,False
2017-09-25,71,False
2017-09-26,68,False
2017-09-27,71,False
2017-09-28,55,False
2017-09-29,62,False
2017-09-30,28,False
2017-10-01,39,False
2017-10-02,82,False
2017-10-03,74,False
2017-10-04,72,False
2017-10-05,65,False
2017-10-06,60,False
2017-10-07,33,False
2017-10-08,39,False
2017-10-09,76,False
2017-10-10,75,False
2017-10-11,84,False
2017-10-12,72,False
2017-10-13,82,False
2017-10-14,45,False
2017-10-15,34,False
2017-10-16,76,False
2017-10-17,79,False
2017-10-18,70,False
2017-10-19,81,False
2017-10-20,64,False
2017-10-21,38,False
2017-10-22,34,False
2017-10-23,72,False
2017-10-24,85,False
2017-10-25,70,False
2017-10-26,80,False
2017-10-27,63,False
2017-10-28,42,False
2017-10-29,39,False
2017-10-30,75,False
2017-10-31,72,False
2017-11-01,80,False
2017-11-02,74,False
2017-11-03,62,False
2017-11-04,39,False
2017-11-05,31,False
2017-11-06,72,False
2017-11-07,83,False
2017-11-08,61,False
2017-11-09,73,False
2017-11-10,60,False
2017-11-11,39,False
2017-11-12,40,False
2017-11-13,88,False
2017-11-14,83,False
2017-11-15,72,False
2017-11-16,75,False
2017-11-17,64,False
2017-11-18,45,False
2017-11-19,31,False
2017-11-20,71,False
2017-11-21,80,False
2017-11-22,56,False
2017-11-23,30,False
2017-11-24,43,False
2017-11-25,36,False
2017-11-26,38,False
2017-11-27,80,False
2017-11-28,81,False
2017-11-29,79,False
2017-11-30,78,False
2017-12-01,78,False
2017-12-02,44,False
2017-12-03,37,False
2017-12-04,76,False
2017-12-05,91,False
2017-12-06,80,False
2017-12-07,73,False
2017-12-08,66,False
2017-12-09,50,False
2017-12-10,33,False
2017-12-11,73,False
2017-12-12,80,False
2017-12-13,73,False
2017-12-14,69,False
2017-12-15,69,False
2017-12-16,35,False
2017-12-17,40,False
2017-12-18,73,False
2017-12-19,87,False
2017-12-20,68,False
2017-12-21,61,False
2017-12-22,53,False
2017-12-23,38,False
2017-12-24,28,False
2017-12-25,11,False
2017-12-26,59,False
2017-12-27,69,False
2017-12-28,84,False
2017-12-29,73,False
2017-12-30,56,False
2017-12-31,41,False
2018-01-01,40,False
2018-01-02,84,False
2018-01-03,90,False
2018-01-04,95,False
2018-01-05,77,False
2018-01-06,57,False
2018-01-07,39,False
2018-01-08,88,False
2018-01-09,83,False
2018-01-10,88,False
2018-01-11,86,False
2018-01-12,79,False
2018-01-13,59,False
2018-01-14,40,False
