date,FAST stock
2016-05-04,47
2016-05-05,62
2016-05-06,36
2016-05-07,39
2016-05-08,39
2016-05-09,94
2016-05-10,59
2016-05-11,40
2016-05-12,47
2016-05-13,49
2016-05-14,31
2016-05-15,39
2016-05-16,26
2016-05-17,46
2016-05-18,60
2016-05-19,46
2016-05-20,63
2016-05-21,24
2016-05-22,39
2016-05-23,59
2016-05-24,47
2016-05-25,20
2016-05-26,7
2016-05-27,72
2016-05-28,63
2016-05-29,40
2016-05-30,69
2016-05-31,73
2016-06-01,68
2016-06-02,89
2016-06-03,85
2016-06-04,56
2016-06-05,39
2016-06-06,54
2016-06-07,60
2016-06-08,34
2016-06-09,41
2016-06-10,36
2016-06-11,47
2016-06-12,39
2016-06-13,33
2016-06-14,47
2016-06-15,20
2016-06-16,40
2016-06-17,49
2016-06-18,56
2016-06-19,80
2016-06-20,40
2016-06-21,27
2016-06-22,81
2016-06-23,70
2016-06-24,57
2016-06-25,40
2016-06-26,48
2016-06-27,74
2016-06-28,54
2016-06-29,69
2016-06-30,28
2016-07-01,22
2016-07-02,24
2016-07-03,33
2016-07-04,21
2016-07-05,50
2016-07-06,65
2016-07-07,37
2016-07-08,45
2016-07-09,42
2016-07-10,49
2016-07-11,43
2016-07-12,56
2016-07-13,43
2016-07-14,55
2016-07-15,52
2016-07-16,25
2016-07-17,50
2016-07-18,50
2016-07-19,57
2016-07-20,51
2016-07-21,43
2016-07-22,58
2016-07-23,8
2016-07-24,42
2016-07-25,35
2016-07-26,42
2016-07-27,57
2016-07-28,51
2016-07-29,60
2016-07-30,25
2016-07-31,50
2016-08-01,42
2016-08-02,56
2016-08-03,7
2016-08-04,72
2016-08-05,38
2016-08-06,9
2016-08-07,52
2016-08-08,44
2016-08-09,73
2016-08-10,51
2016-08-11,15
2016-08-12,47
2016-08-13,52
2016-08-14,44
2016-08-15,63
2016-08-16,52
2016-08-17,60
2016-08-18,62
2016-08-19,23
2016-08-20,17
2016-08-21,35
2016-08-22,15
2016-08-23,52
2016-08-24,52
2016-08-25,29
2016-08-26,59
2016-08-27,33
2016-08-28,24
2016-08-29,69
2016-08-30,28
2016-08-31,34
2016-09-01,56
2016-09-02,44
2016-09-03,57
2016-09-04,40
2016-09-05,50
2016-09-06,34
2016-09-07,70
2016-09-08,56
2016-09-09,80
2016-09-10,33
2016-09-11,8
2016-09-12,50
2016-09-13,70
2016-09-14,35
2016-09-15,78
2016-09-16,72
2016-09-17,31
2016-09-18,31
2016-09-19,68
2016-09-20,20
2016-09-21,27
2016-09-22,56
2016-09-23,36
2016-09-24,24
2016-09-25,40
2016-09-26,54
2016-09-27,54
2016-09-28,34
2016-09-29,34
2016-09-30,71
2016-10-01,47
2016-10-02,60
2016-10-03,27
2016-10-04,27
2016-10-05,40
2016-10-06,96
2016-10-07,49
2016-10-08,23
2016-10-09,46
2016-10-10,61
2016-10-11,34
2016-10-12,55
2016-10-13,48
2016-10-14,42
2016-10-15,32
2016-10-16,39
2016-10-17,80
2016-10-18,40
2016-10-19,80
2016-10-20,27
2016-10-21,21
2016-10-22,40
2016-10-23,15
2016-10-24,53
2016-10-25,41
2016-10-26,47
2016-10-27,62
2016-10-28,71
2016-10-29,24
2016-10-30,24
2016-10-31,70
2016-11-01,42
2016-11-02,27
2016-11-03,40
2016-11-04,49
2016-11-05,23
2016-11-06,45
2016-11-07,46
2016-11-08,39
2016-11-09,67
2016-11-10,68
2016-11-11,42
2016-11-12,39
2016-11-13,38
2016-11-14,53
2016-11-15,53
2016-11-16,40
2016-11-17,68
2016-11-18,35
2016-11-19,61
2016-11-20,37
2016-11-21,53
2016-11-22,46
2016-11-23,39
2016-11-24,55
2016-11-25,21
2016-11-26,30
2016-11-27,29
2016-11-28,51
2016-11-29,63
2016-11-30,64
2016-12-01,53
2016-12-02,20
2016-12-03,52
2016-12-04,28
2016-12-05,41
2016-12-06,38
2016-12-07,77
2016-12-08,65
2016-12-09,27
2016-12-10,7
2016-12-11,29
2016-12-12,75
2016-12-13,57
2016-12-14,71
2016-12-15,46
2016-12-16,49
2016-12-17,61
2016-12-18,45
2016-12-19,47
2016-12-20,48
2016-12-21,21
2016-12-22,56
2016-12-23,22
2016-12-24,33
2016-12-25,26
2016-12-26,36
2016-12-27,55
2016-12-28,62
2016-12-29,42
2016-12-30,44
2016-12-31,16
2017-01-01,74
2017-01-02,54
2017-01-03,39
2017-01-04,52
2017-01-05,46
2017-01-06,34
2017-01-07,22
2017-01-08,51
2017-01-09,57
2017-01-10,57
2017-01-11,38
2017-01-12,44
2017-01-13,58
2017-01-14,36
2017-01-15,50
2017-01-16,57
2017-01-17,69
2017-01-18,25
2017-01-19,100
