date,value
2017-10-03,75.0
2017-10-04,80.0
2017-10-05,64.0
2017-10-06,66.0
2017-10-07,56.0
2017-10-08,36.0
2017-10-09,47.0
2017-10-10,41.0
2017-10-11,53.0
2017-10-12,27.0
2017-10-13,39.0
2017-10-14,18.0
2017-10-15,43.0
2017-10-16,53.0
2017-10-17,58.0
2017-10-18,63.0
2017-10-19,59.0
2017-10-20,22.0
2017-10-21,30.0
2017-10-22,47.0
2017-10-23,47.0
2017-10-24,68.0
2017-10-25,37.0
2017-10-26,48.0
2017-10-27,56.0
2017-10-28,24.0
2017-10-29,59.0
2017-10-30,42.0
2017-10-31,32.0
2017-11-01,38.0
2017-11-02,80.0
2017-11-03,59.0
2017-11-04,54.0
2017-11-05,63.0
2017-11-06,46.0
2017-11-07,46.0
2017-11-08,51.0
2017-11-09,16.0
2017-11-10,54.0
2017-11-11,47.0
2017-11-12,35.0
2017-11-13,31.0
2017-11-14,52.0
2017-11-15,61.0
2017-11-16,56.0
2017-11-17,59.0
2017-11-18,41.0
2017-11-19,17.0
2017-11-20,36.0
2017-11-21,57.0
2017-11-22,16.0
2017-11-23,27.0
2017-11-24,59.0
2017-11-25,52.0
2017-11-26,18.0
2017-11-27,35.0
2017-11-28,86.0
2017-11-29,62.0
2017-11-30,68.0
2017-12-01,59.0
2017-12-02,36.0
2017-12-03,71.0
2017-12-04,76.0
2017-12-05,66.0
2017-12-06,21.0
2017-12-07,42.0
2017-12-08,49.0
2017-12-09,18.0
2017-12-10,35.0
2017-12-11,30.0
2017-12-12,35.0
2017-12-13,62.0
2017-12-14,58.0
2017-12-15,60.0
2017-12-16,24.0
2017-12-17,24.0
2017-12-18,36.0
2017-12-19,69.0
2017-12-20,43.0
2017-12-21,84.0
2017-12-22,29.0
2017-12-23,25.0
2017-12-24,67.0
2017-12-25,27.0
2017-12-26,29.0
2017-12-27,50.0
2017-12-28,62.0
2017-12-29,29.0
2017-12-30,62.0
2017-12-31,13.0
2018-01-01,19.0
2018-01-02,75.0
2018-01-03,47.0
2018-01-04,42.0
2018-01-05,59.0
2018-01-06,46.0
2018-01-07,47.0
2018-01-08,51.0
2018-01-09,51.0
2018-01-10,46.0
2018-01-11,87.0
2018-01-12,58.0
2018-01-13,35.0
2018-01-14,23.0
2018-01-15,60.0
2018-01-16,60.0
2018-01-17,84.0
2018-01-18,50.0
2018-01-19,42.0
2018-01-20,46.0
2018-01-21,34.0
2018-01-22,54.0
2018-01-23,64.0
2018-01-24,60.0
2018-01-25,70.0
2018-01-26,63.0
2018-01-27,46.0
2018-01-28,51.0
2018-01-29,35.0
2018-01-30,100.0
2018-01-31,75.0
2018-02-01,56.0
2018-02-02,73.0
2018-02-03,51.0
2018-02-04,34.0
2018-02-05,75.0
2018-02-06,80.0
2018-02-07,55.0
2018-02-08,50.0
2018-02-09,42.0
2018-02-10,52.0
2018-02-11,17.0
2018-02-12,51.0
2018-02-13,40.0
2018-02-14,50.0
2018-02-15,51.0
2018-02-16,73.0
2018-02-17,47.0
2018-02-18,34.0
2018-02-19,45.0
2018-02-20,45.0
2018-02-21,90.0
2018-02-22,40.0
2018-02-23,52.0
2018-02-24,51.0
2018-02-25,50.0
2018-02-26,24.0
2018-02-27,49.0
2018-02-28,54.0
2018-03-01,34.0
2018-03-02,62.0
2018-03-03,34.0
2018-03-04,33.0
2018-03-05,58.0
2018-03-06,54.0
2018-03-07,69.0
2018-03-08,30.0
2018-03-09,73.0
2018-03-10,28.0
2018-03-11,62.0
2018-03-12,29.0
2018-03-13,10.0
2018-03-14,64.0
2018-03-15,30.0
2018-03-16,26.0
2018-03-17,34.0
2018-03-18,61.0
2018-03-19,49.0
2018-03-20,10.0
2018-03-21,55.0
2018-03-22,71.0
2018-03-23,42.0
2018-03-24,41.0
2018-03-25,46.0
2018-03-26,30.0
2018-03-27,50.0
2018-03-28,36.0
2018-03-29,53.0
2018-03-30,28.0
2018-03-31,47.0
2018-04-01,42.0
2018-04-02,31.0
2018-04-03,55.0
2018-04-04,50.0
2018-04-05,77.0
2018-04-06,63.0
2018-04-07,34.0
2018-04-08,28.0
2018-04-09,49.0
2018-04-10,44.0
2018-04-11,63.0
2018-04-12,80.0
