date,FB stock
2016-05-04,30
2016-05-05,23
2016-05-06,31
2016-05-07,6
2016-05-08,7
2016-05-09,28
2016-05-10,25
2016-05-11,27
2016-05-12,23
2016-05-13,25
2016-05-14,7
2016-05-15,5
2016-05-16,25
2016-05-17,22
2016-05-18,24
2016-05-19,20
2016-05-20,21
2016-05-21,7
2016-05-22,4
2016-05-23,16
2016-05-24,25
2016-05-25,28
2016-05-26,18
2016-05-27,23
2016-05-28,6
2016-05-29,3
2016-05-30,6
2016-05-31,19
2016-06-01,21
2016-06-02,16
2016-06-03,20
2016-06-04,8
2016-06-05,4
2016-06-06,21
2016-06-07,21
2016-06-08,16
2016-06-09,15
2016-06-10,14
2016-06-11,7
2016-06-12,4
2016-06-13,16
2016-06-14,26
2016-06-15,21
2016-06-16,18
2016-06-17,19
2016-06-18,7
2016-06-19,5
2016-06-20,20
2016-06-21,20
2016-06-22,17
2016-06-23,21
2016-06-24,41
2016-06-25,11
2016-06-26,6
2016-06-27,24
2016-06-28,28
2016-06-29,25
2016-06-30,20
2016-07-01,21
2016-07-02,7
2016-07-03,4
2016-07-04,5
2016-07-05,15
2016-07-06,19
2016-07-07,20
2016-07-08,23
2016-07-09,8
2016-07-10,4
2016-07-11,28
2016-07-12,21
2016-07-13,17
2016-07-14,19
2016-07-15,20
2016-07-16,9
2016-07-17,5
2016-07-18,20
2016-07-19,26
2016-07-20,28
2016-07-21,28
2016-07-22,24
2016-07-23,6
2016-07-24,8
2016-07-25,23
2016-07-26,30
2016-07-27,77
2016-07-28,100
2016-07-29,50
2016-07-30,16
2016-07-31,7
2016-08-01,27
2016-08-02,27
2016-08-03,22
2016-08-04,25
2016-08-05,32
2016-08-06,4
2016-08-07,4
2016-08-08,20
2016-08-09,24
2016-08-10,23
2016-08-11,22
2016-08-12,19
2016-08-13,7
2016-08-14,5
2016-08-15,25
2016-08-16,21
2016-08-17,21
2016-08-18,18
2016-08-19,17
2016-08-20,6
2016-08-21,4
2016-08-22,14
2016-08-23,19
2016-08-24,17
2016-08-25,18
2016-08-26,20
2016-08-27,6
2016-08-28,4
2016-08-29,15
2016-08-30,17
2016-08-31,17
2016-09-01,19
2016-09-02,17
2016-09-03,9
2016-09-04,3
2016-09-05,4
2016-09-06,26
2016-09-07,30
2016-09-08,23
2016-09-09,24
2016-09-10,5
2016-09-11,4
2016-09-12,23
2016-09-13,22
2016-09-14,18
2016-09-15,17
2016-09-16,17
2016-09-17,4
2016-09-18,4
2016-09-19,19
2016-09-20,15
2016-09-21,16
2016-09-22,23
2016-09-23,31
2016-09-24,7
2016-09-25,3
2016-09-26,21
2016-09-27,19
2016-09-28,18
2016-09-29,17
2016-09-30,19
2016-10-01,5
2016-10-02,5
2016-10-03,16
2016-10-04,16
2016-10-05,14
2016-10-06,14
2016-10-07,14
2016-10-08,7
2016-10-09,3
2016-10-10,17
2016-10-11,20
2016-10-12,18
2016-10-13,17
2016-10-14,13
2016-10-15,6
2016-10-16,4
2016-10-17,15
2016-10-18,25
2016-10-19,22
2016-10-20,24
2016-10-21,19
2016-10-22,9
2016-10-23,5
2016-10-24,21
2016-10-25,22
2016-10-26,23
2016-10-27,20
2016-10-28,26
2016-10-29,5
2016-10-30,6
2016-10-31,18
2016-11-01,25
2016-11-02,74
2016-11-03,76
2016-11-04,35
2016-11-05,8
2016-11-06,7
2016-11-07,26
2016-11-08,27
2016-11-09,44
2016-11-10,40
2016-11-11,30
2016-11-12,10
2016-11-13,6
2016-11-14,35
2016-11-15,34
2016-11-16,33
2016-11-17,32
2016-11-18,31
2016-11-19,13
2016-11-20,6
2016-11-21,27
2016-11-22,34
2016-11-23,22
2016-11-24,8
2016-11-25,13
2016-11-26,5
2016-11-27,5
2016-11-28,21
2016-11-29,24
2016-11-30,25
2016-12-01,33
2016-12-02,23
2016-12-03,9
2016-12-04,5
2016-12-05,22
2016-12-06,24
2016-12-07,27
2016-12-08,27
2016-12-09,23
2016-12-10,7
2016-12-11,5
2016-12-12,20
2016-12-13,24
2016-12-14,24
2016-12-15,21
2016-12-16,18
2016-12-17,6
2016-12-18,2
2016-12-19,21
2016-12-20,21
2016-12-21,20
2016-12-22,21
2016-12-23,18
2016-12-24,5
2016-12-25,6
2016-12-26,7
2016-12-27,15
2016-12-28,16
2016-12-29,14
2016-12-30,17
2016-12-31,7
2017-01-01,5
2017-01-02,10
2017-01-03,17
2017-01-04,24
2017-01-05,23
2017-01-06,30
2017-01-07,9
2017-01-08,5
2017-01-09,20
2017-01-10,28
2017-01-11,25
2017-01-12,27
2017-01-13,30
2017-01-14,10
2017-01-15,5
2017-01-16,7
2017-01-17,23
2017-01-18,28
2017-01-19,25
