date,value
2017-10-20,81.0
2017-10-21,34.0
2017-10-22,9.0
2017-10-23,82.0
2017-10-24,86.0
2017-10-25,78.0
2017-10-26,73.0
2017-10-27,76.0
2017-10-28,21.0
2017-10-29,14.0
2017-10-30,76.0
2017-10-31,77.0
2017-11-01,83.0
2017-11-02,68.0
2017-11-03,66.0
2017-11-04,26.0
2017-11-05,14.0
2017-11-06,80.0
2017-11-07,89.0
2017-11-08,86.0
2017-11-09,70.0
2017-11-10,69.0
2017-11-11,30.0
2017-11-12,16.0
2017-11-13,67.0
2017-11-14,69.0
2017-11-15,74.0
2017-11-16,71.0
2017-11-17,63.0
2017-11-18,28.0
2017-11-19,12.0
2017-11-20,72.0
2017-11-21,72.0
2017-11-22,70.0
2017-11-23,24.0
2017-11-24,37.0
2017-11-25,18.0
2017-11-26,12.0
2017-11-27,64.0
2017-11-28,83.0
2017-11-29,70.0
2017-11-30,69.0
2017-12-01,69.0
2017-12-02,24.0
2017-12-03,15.0
2017-12-04,78.0
2017-12-05,79.0
2017-12-06,87.0
2017-12-07,74.0
2017-12-08,69.0
2017-12-09,20.0
2017-12-10,16.0
2017-12-11,66.0
2017-12-12,79.0
2017-12-13,70.0
2017-12-14,79.0
2017-12-15,77.0
2017-12-16,18.0
2017-12-17,13.0
2017-12-18,72.0
2017-12-19,78.0
2017-12-20,69.0
2017-12-21,67.0
2017-12-22,55.0
2017-12-23,22.0
2017-12-24,8.0
2017-12-25,8.0
2017-12-26,37.0
2017-12-27,56.0
2017-12-28,72.0
2017-12-29,38.0
2017-12-30,18.0
2017-12-31,15.0
2018-01-01,14.0
2018-01-02,66.0
2018-01-03,62.0
2018-01-04,67.0
2018-01-05,77.0
2018-01-06,22.0
2018-01-07,14.0
2018-01-08,70.0
2018-01-09,78.0
2018-01-10,88.0
2018-01-11,83.0
2018-01-12,62.0
2018-01-13,20.0
2018-01-14,17.0
2018-01-15,64.0
2018-01-16,77.0
2018-01-17,68.0
2018-01-18,76.0
2018-01-19,62.0
2018-01-20,25.0
2018-01-21,16.0
2018-01-22,83.0
2018-01-23,71.0
2018-01-24,72.0
2018-01-25,80.0
2018-01-26,78.0
2018-01-27,27.0
2018-01-28,14.0
2018-01-29,75.0
2018-01-30,83.0
2018-01-31,78.0
2018-02-01,74.0
2018-02-02,63.0
2018-02-03,23.0
2018-02-04,14.0
2018-02-05,71.0
2018-02-06,93.0
2018-02-07,82.0
2018-02-08,81.0
2018-02-09,70.0
2018-02-10,16.0
2018-02-11,19.0
2018-02-12,81.0
2018-02-13,75.0
2018-02-14,74.0
2018-02-15,72.0
2018-02-16,79.0
2018-02-17,35.0
2018-02-18,17.0
2018-02-19,70.0
2018-02-20,73.0
2018-02-21,87.0
2018-02-22,79.0
2018-02-23,67.0
2018-02-24,21.0
2018-02-25,11.0
2018-02-26,78.0
2018-02-27,91.0
2018-02-28,91.0
2018-03-01,83.0
2018-03-02,53.0
2018-03-03,21.0
2018-03-04,18.0
2018-03-05,67.0
2018-03-06,71.0
2018-03-07,75.0
2018-03-08,67.0
2018-03-09,78.0
2018-03-10,27.0
2018-03-11,12.0
2018-03-12,70.0
2018-03-13,74.0
2018-03-14,75.0
2018-03-15,79.0
2018-03-16,72.0
2018-03-17,24.0
2018-03-18,15.0
2018-03-19,74.0
2018-03-20,75.0
2018-03-21,85.0
2018-03-22,75.0
2018-03-23,65.0
2018-03-24,29.0
2018-03-25,15.0
2018-03-26,88.0
2018-03-27,90.0
2018-03-28,90.0
2018-03-29,76.0
2018-03-30,58.0
2018-03-31,29.0
2018-04-01,9.0
2018-04-02,82.0
2018-04-03,71.0
2018-04-04,79.0
2018-04-05,82.0
2018-04-06,88.0
2018-04-07,27.0
2018-04-08,15.0
2018-04-09,83.0
2018-04-10,82.0
2018-04-11,73.0
2018-04-12,86.0
2018-04-13,92.0
2018-04-14,22.0
2018-04-15,18.0
2018-04-16,77.0
2018-04-17,80.0
2018-04-18,78.0
2018-04-19,85.0
2018-04-20,76.0
2018-04-21,32.0
2018-04-22,15.0
2018-04-23,80.0
2018-04-24,93.0
2018-04-25,89.0
2018-04-26,100.0
2018-04-27,72.0
2018-04-28,22.0
2018-04-29,22.0
2018-04-30,64.0
2018-05-01,71.0
2018-05-02,77.0
2018-05-03,77.0
2018-05-04,78.0
2018-05-05,29.0
2018-05-06,15.0
2018-05-07,69.0
2018-05-08,85.0
2018-05-09,84.0
2018-05-10,78.0
2018-05-11,68.0
2018-05-12,22.0
2018-05-13,14.0
2018-05-14,70.0
2018-05-15,75.0
2018-05-16,88.0
2018-05-17,71.0
2018-05-18,68.0
2018-05-19,33.0
2018-05-20,9.0
2018-05-21,68.0
2018-05-22,82.0
2018-05-23,74.0
2018-05-24,74.0
2018-05-25,71.0
2018-05-26,28.0
2018-05-27,11.0
2018-05-28,31.0
2018-05-29,78.0
2018-05-30,78.0
2018-05-31,80.0
2018-06-01,70.0
2018-06-02,29.0
2018-06-03,14.0
2018-06-04,70.0
2018-06-05,82.0
2018-06-06,93.0
2018-06-07,85.0
2018-06-08,73.0
2018-06-09,28.0
2018-06-10,16.0
2018-06-11,70.0
2018-06-12,76.0
2018-06-13,80.0
2018-06-14,72.0
2018-06-15,77.0
2018-06-16,24.0
2018-06-17,12.0
2018-06-18,62.0
2018-06-19,84.0
2018-06-20,84.0
2018-06-21,78.0
2018-06-22,54.0
2018-06-23,24.0
2018-06-24,20.0
2018-06-25,80.0
2018-06-26,94.0
2018-06-27,83.0
2018-06-28,80.0
2018-06-29,87.0
2018-06-30,24.0
2018-07-01,12.0
2018-07-02,67.0
2018-07-03,65.0
2018-07-04,22.0
2018-07-05,65.0
2018-07-05,62.860597439544804
2018-07-06,58.163940256045514
2018-07-07,19.84864864864865
