date,Fiserv,isPartial
2012-06-04,35,False
2012-06-05,76,False
2012-06-06,50,False
2012-06-07,42,False
2012-06-08,27,False
2012-06-09,22,False
2012-06-10,15,False
2012-06-11,53,False
2012-06-12,27,False
2012-06-13,43,False
2012-06-14,38,False
2012-06-15,30,False
2012-06-16,16,False
2012-06-17,13,False
2012-06-18,32,False
2012-06-19,30,False
2012-06-20,53,False
2012-06-21,52,False
2012-06-22,27,False
2012-06-23,19,False
2012-06-24,6,False
2012-06-25,53,False
2012-06-26,40,False
2012-06-27,20,False
2012-06-28,54,False
2012-06-29,35,False
2012-06-30,29,False
2012-07-01,16,False
2012-07-02,46,False
2012-07-03,36,False
2012-07-04,27,False
2012-07-05,53,False
2012-07-06,30,False
2012-07-07,19,False
2012-07-08,19,False
2012-07-09,38,False
2012-07-10,51,False
2012-07-11,44,False
2012-07-12,31,False
2012-07-13,32,False
2012-07-14,16,False
2012-07-15,26,False
2012-07-16,54,False
2012-07-17,28,False
2012-07-18,33,False
2012-07-19,42,False
2012-07-20,35,False
2012-07-21,16,False
2012-07-22,19,False
2012-07-23,47,False
2012-07-24,57,False
2012-07-25,65,False
2012-07-26,47,False
2012-07-27,22,False
2012-07-28,3,False
2012-07-29,19,False
2012-07-30,64,False
2012-07-31,38,False
2012-08-01,39,False
2012-08-02,70,False
2012-08-03,30,False
2012-08-04,19,False
2012-08-05,3,False
2012-08-06,46,False
2012-08-07,62,False
2012-08-08,36,False
2012-08-09,50,False
2012-08-10,57,False
2012-08-11,38,False
2012-08-12,13,False
2012-08-13,45,False
2012-08-14,49,False
2012-08-15,38,False
2012-08-16,48,False
2012-08-17,41,False
2012-08-18,16,False
2012-08-19,17,False
2012-08-20,35,False
2012-08-21,34,False
2012-08-22,57,False
2012-08-23,26,False
2012-08-24,37,False
2012-08-25,31,False
2012-08-26,9,False
2012-08-27,35,False
2012-08-28,54,False
2012-08-29,45,False
2012-08-30,36,False
2012-08-31,53,False
2012-09-01,19,False
2012-09-02,9,False
2012-09-03,23,False
2012-09-04,35,False
2012-09-05,42,False
2012-09-06,33,False
2012-09-07,40,False
2012-09-08,27,False
2012-09-09,18,False
2012-09-10,22,False
2012-09-11,56,False
2012-09-12,32,False
2012-09-13,32,False
2012-09-14,39,False
2012-09-15,15,False
2012-09-16,24,False
2012-09-17,45,False
2012-09-18,34,False
2012-09-19,41,False
2012-09-20,42,False
2012-09-21,36,False
2012-09-22,36,False
2012-09-23,14,False
2012-09-24,39,False
2012-09-25,46,False
2012-09-26,49,False
2012-09-27,35,False
2012-09-28,33,False
2012-09-29,9,False
2012-09-30,12,False
2012-10-01,22,False
2012-10-02,38,False
2012-10-03,32,False
2012-10-04,63,False
2012-10-05,37,False
2012-10-06,3,False
2012-10-07,20,False
2012-10-08,38,False
2012-10-09,23,False
2012-10-10,29,False
2012-10-11,50,False
