date,GILD stock
2015-12-26,0
2015-12-27,6
2015-12-28,11
2015-12-29,14
2015-12-30,19
2015-12-31,12
2016-01-01,10
2016-01-02,9
2016-01-03,0
2016-01-04,21
2016-01-05,30
2016-01-06,30
2016-01-07,35
2016-01-08,30
2016-01-09,9
2016-01-10,6
2016-01-11,26
2016-01-12,36
2016-01-13,26
2016-01-14,26
2016-01-15,36
2016-01-16,9
2016-01-17,6
2016-01-18,8
2016-01-19,31
2016-01-20,50
2016-01-21,35
2016-01-22,44
2016-01-23,6
2016-01-24,0
2016-01-25,23
2016-01-26,29
2016-01-27,39
2016-01-28,50
2016-01-29,74
2016-01-30,21
2016-01-31,6
2016-02-01,58
2016-02-02,63
2016-02-03,70
2016-02-04,53
2016-02-05,27
2016-02-06,6
2016-02-07,12
2016-02-08,29
2016-02-09,30
2016-02-10,44
2016-02-11,42
2016-02-12,46
2016-02-13,9
2016-02-14,3
2016-02-15,16
2016-02-16,18
2016-02-17,33
2016-02-18,21
2016-02-19,18
2016-02-20,3
2016-02-21,3
2016-02-22,18
2016-02-23,28
2016-02-24,21
2016-02-25,37
2016-02-26,27
2016-02-27,3
2016-02-28,9
2016-02-29,38
2016-03-01,20
2016-03-02,38
2016-03-03,31
2016-03-04,21
2016-03-05,3
2016-03-06,6
2016-03-07,26
2016-03-08,21
2016-03-09,26
2016-03-10,21
2016-03-11,43
2016-03-12,15
2016-03-13,12
2016-03-14,34
2016-03-15,23
2016-03-16,15
2016-03-17,8
2016-03-18,30
2016-03-19,9
2016-03-20,0
2016-03-21,29
2016-03-22,50
2016-03-23,29
2016-03-24,47
2016-03-25,12
2016-03-26,9
2016-03-27,6
2016-03-28,35
2016-03-29,21
2016-03-30,29
2016-03-31,21
2016-04-01,14
2016-04-02,0
2016-04-03,6
2016-04-04,28
2016-04-05,18
2016-04-06,39
2016-04-07,26
2016-04-08,33
2016-04-09,0
2016-04-10,0
2016-04-11,34
2016-04-12,18
2016-04-13,18
2016-04-14,21
2016-04-15,33
2016-04-16,3
2016-04-17,0
2016-04-18,26
2016-04-19,36
2016-04-20,31
2016-04-21,32
2016-04-22,33
2016-04-23,3
2016-04-24,0
2016-04-25,23
2016-04-26,25
2016-04-27,28
2016-04-28,69
2016-04-29,69
2016-04-30,12
2016-05-01,0
2016-05-02,43
2016-05-03,39
2016-05-04,45
2016-05-05,38
2016-05-06,22
2016-05-07,6
2016-05-08,6
2016-05-09,24
2016-05-10,18
2016-05-11,26
2016-05-12,42
2016-05-13,27
2016-05-14,0
2016-05-15,6
2016-05-16,37
2016-05-17,18
2016-05-18,18
2016-05-19,21
2016-05-20,30
2016-05-21,12
2016-05-22,3
2016-05-23,29
2016-05-24,31
2016-05-25,35
2016-05-26,38
2016-05-27,34
2016-05-28,25
2016-05-29,3
2016-05-30,0
2016-05-31,13
2016-06-01,24
2016-06-02,27
2016-06-03,36
2016-06-04,6
2016-06-05,0
2016-06-06,19
2016-06-07,42
2016-06-08,21
2016-06-09,21
2016-06-10,8
2016-06-11,9
2016-06-12,6
2016-06-13,21
2016-06-14,18
2016-06-15,26
2016-06-16,18
2016-06-17,22
2016-06-18,6
2016-06-19,3
2016-06-20,18
2016-06-21,26
2016-06-22,21
2016-06-23,33
2016-06-24,31
2016-06-25,6
2016-06-26,6
2016-06-27,48
2016-06-28,34
2016-06-29,46
2016-06-30,27
2016-07-01,26
2016-07-02,13
2016-07-03,13
2016-07-04,3
2016-07-05,28
2016-07-06,20
2016-07-07,26
2016-07-08,38
2016-07-09,13
2016-07-10,6
2016-07-11,36
2016-07-12,42
2016-07-13,25
2016-07-14,24
2016-07-15,26
2016-07-16,10
2016-07-17,0
2016-07-18,22
2016-07-19,25
2016-07-20,34
2016-07-21,43
2016-07-22,43
2016-07-23,10
2016-07-24,7
2016-07-25,100
2016-07-26,73
2016-07-27,64
2016-07-28,45
2016-07-29,50
2016-07-30,10
2016-07-31,3
2016-08-01,19
2016-08-02,30
2016-08-03,39
2016-08-04,28
2016-08-05,33
2016-08-06,3
2016-08-07,3
2016-08-08,14
2016-08-09,40
2016-08-10,26
2016-08-11,54
2016-08-12,43
2016-08-13,3
2016-08-14,10
2016-08-15,49
2016-08-16,29
2016-08-17,44
2016-08-18,30
2016-08-19,37
2016-08-20,0
2016-08-21,7
2016-08-22,38
2016-08-23,12
2016-08-24,34
2016-08-25,31
2016-08-26,32
2016-08-27,0
2016-08-28,3
2016-08-29,36
2016-08-30,54
2016-08-31,32
2016-09-01,36
2016-09-02,40
2016-09-03,0
2016-09-04,6
2016-09-05,6
2016-09-06,29
2016-09-07,33
2016-09-08,53
2016-09-09,23
2016-09-10,6
2016-09-11,3
