date,GOOGL stock
2015-08-18,16
2015-08-19,6
2015-08-20,16
2015-08-21,16
2015-08-22,5
2015-08-23,14
2015-08-24,44
2015-08-25,21
2015-08-26,37
2015-08-27,31
2015-08-28,22
2015-08-29,2
2015-08-30,5
2015-08-31,11
2015-09-01,17
2015-09-02,10
2015-09-03,6
2015-09-04,8
2015-09-05,5
2015-09-06,0
2015-09-07,4
2015-09-08,13
2015-09-09,15
2015-09-10,11
2015-09-11,12
2015-09-12,4
2015-09-13,4
2015-09-14,13
2015-09-15,19
2015-09-16,4
2015-09-17,13
2015-09-18,12
2015-09-19,4
2015-09-20,0
2015-09-21,4
2015-09-22,4
2015-09-23,15
2015-09-24,17
2015-09-25,16
2015-09-26,4
2015-09-27,2
2015-09-28,2
2015-09-29,13
2015-09-30,17
2015-10-01,21
2015-10-02,8
2015-10-03,11
2015-10-04,6
2015-10-05,13
2015-10-06,26
2015-10-07,15
2015-10-08,22
2015-10-09,15
2015-10-10,7
2015-10-11,2
2015-10-12,10
2015-10-13,13
2015-10-14,15
2015-10-15,30
2015-10-16,17
2015-10-17,4
2015-10-18,0
2015-10-19,11
2015-10-20,31
2015-10-21,9
2015-10-22,43
2015-10-23,64
2015-10-24,18
2015-10-25,4
2015-10-26,27
2015-10-27,13
2015-10-28,20
2015-10-29,19
2015-10-30,18
2015-10-31,7
2015-11-01,4
2015-11-02,15
2015-11-03,20
2015-11-04,18
2015-11-05,13
2015-11-06,25
2015-11-07,6
2015-11-08,4
2015-11-09,13
2015-11-10,5
2015-11-11,11
2015-11-12,9
2015-11-13,15
2015-11-14,9
2015-11-15,2
2015-11-16,7
2015-11-17,18
2015-11-18,11
2015-11-19,11
2015-11-20,9
2015-11-21,11
2015-11-22,2
2015-11-23,9
2015-11-24,13
2015-11-25,7
2015-11-26,4
2015-11-27,16
2015-11-28,9
2015-11-29,4
2015-11-30,11
2015-12-01,27
2015-12-02,14
2015-12-03,4
2015-12-04,19
2015-12-05,2
2015-12-06,0
2015-12-07,11
2015-12-08,11
2015-12-09,20
2015-12-10,11
2015-12-11,6
2015-12-12,4
2015-12-13,0
2015-12-14,9
2015-12-15,8
2015-12-16,10
2015-12-17,23
2015-12-18,4
2015-12-19,5
2015-12-20,4
2015-12-21,10
2015-12-22,12
2015-12-23,15
2015-12-24,12
2015-12-25,0
2015-12-26,2
2015-12-27,7
2015-12-28,16
2015-12-29,10
2015-12-30,25
2015-12-31,25
2016-01-01,0
2016-01-02,12
2016-01-03,2
2016-01-04,24
2016-01-05,16
2016-01-06,18
2016-01-07,32
2016-01-08,16
2016-01-09,9
2016-01-10,4
2016-01-11,11
2016-01-12,19
2016-01-13,13
2016-01-14,21
2016-01-15,22
2016-01-16,7
2016-01-17,4
2016-01-18,10
2016-01-19,15
2016-01-20,31
2016-01-21,22
2016-01-22,18
2016-01-23,9
2016-01-24,13
2016-01-25,25
2016-01-26,11
2016-01-27,25
2016-01-28,35
2016-01-29,14
2016-01-30,7
2016-01-31,9
2016-02-01,79
2016-02-02,100
2016-02-03,68
2016-02-04,50
2016-02-05,26
2016-02-06,16
2016-02-07,11
2016-02-08,35
2016-02-09,37
2016-02-10,32
2016-02-11,31
2016-02-12,24
2016-02-13,7
2016-02-14,0
2016-02-15,4
2016-02-16,17
2016-02-17,21
2016-02-18,23
2016-02-19,18
2016-02-20,2
2016-02-21,0
2016-02-22,13
2016-02-23,15
2016-02-24,29
2016-02-25,23
2016-02-26,14
2016-02-27,7
2016-02-28,4
2016-02-29,13
2016-03-01,17
2016-03-02,22
2016-03-03,17
2016-03-04,26
2016-03-05,6
2016-03-06,2
2016-03-07,13
2016-03-08,28
2016-03-09,17
2016-03-10,17
2016-03-11,12
2016-03-12,7
2016-03-13,6
2016-03-14,21
2016-03-15,15
2016-03-16,13
2016-03-17,25
2016-03-18,24
2016-03-19,4
2016-03-20,0
2016-03-21,11
2016-03-22,27
2016-03-23,21
2016-03-24,4
2016-03-25,13
2016-03-26,5
2016-03-27,7
2016-03-28,8
2016-03-29,27
2016-03-30,19
2016-03-31,19
2016-04-01,4
2016-04-02,11
2016-04-03,4
2016-04-04,11
2016-04-05,9
2016-04-06,11
2016-04-07,23
2016-04-08,28
2016-04-09,0
2016-04-10,0
2016-04-11,10
2016-04-12,19
2016-04-13,21
2016-04-14,29
2016-04-15,16
2016-04-16,2
2016-04-17,4
2016-04-18,27
2016-04-19,23
2016-04-20,29
2016-04-21,39
2016-04-22,76
2016-04-23,13
2016-04-24,6
2016-04-25,21
2016-04-26,34
2016-04-27,48
2016-04-28,41
2016-04-29,28
2016-04-30,9
2016-05-01,4
2016-05-02,16
2016-05-03,23
2016-05-04,23
