date,HAS stock
2012-01-26,37
2012-01-27,38
2012-01-28,35
2012-01-29,43
2012-01-30,35
2012-01-31,68
2012-02-01,50
2012-02-02,43
2012-02-03,48
2012-02-04,26
2012-02-05,34
2012-02-06,82
2012-02-07,54
2012-02-08,32
2012-02-09,47
2012-02-10,48
2012-02-11,47
2012-02-12,58
2012-02-13,46
2012-02-14,36
2012-02-15,43
2012-02-16,44
2012-02-17,60
2012-02-18,30
2012-02-19,34
2012-02-20,40
2012-02-21,29
2012-02-22,57
2012-02-23,50
2012-02-24,52
2012-02-25,21
2012-02-26,54
2012-02-27,49
2012-02-28,66
2012-02-29,53
2012-03-01,71
2012-03-02,59
2012-03-03,54
2012-03-04,48
2012-03-05,58
2012-03-06,28
2012-03-07,42
2012-03-08,54
2012-03-09,41
2012-03-10,38
2012-03-11,47
2012-03-12,31
2012-03-13,28
2012-03-14,71
2012-03-15,32
2012-03-16,60
2012-03-17,39
2012-03-18,25
2012-03-19,67
2012-03-20,60
2012-03-21,42
2012-03-22,62
2012-03-23,19
2012-03-24,30
2012-03-25,26
2012-03-26,60
2012-03-27,67
2012-03-28,57
2012-03-29,50
2012-03-30,30
2012-03-31,43
2012-04-01,44
2012-04-02,68
2012-04-03,57
2012-04-04,51
2012-04-05,42
2012-04-06,33
2012-04-07,36
2012-04-08,51
2012-04-09,68
2012-04-10,55
2012-04-11,39
2012-04-12,42
2012-04-13,26
2012-04-14,30
2012-04-15,63
2012-04-16,80
2012-04-17,77
2012-04-18,38
2012-04-19,71
2012-04-20,55
2012-04-21,34
2012-04-22,29
2012-04-23,59
2012-04-24,63
2012-04-25,70
2012-04-26,57
2012-04-27,48
2012-04-28,95
2012-04-29,61
2012-04-30,70
2012-05-01,78
2012-05-02,73
2012-05-03,71
2012-05-04,52
2012-05-05,21
2012-05-06,34
2012-05-07,59
2012-05-08,45
2012-05-09,59
2012-05-10,46
2012-05-11,48
2012-05-12,17
2012-05-13,43
2012-05-14,62
2012-05-15,38
2012-05-16,56
2012-05-17,47
2012-05-18,67
2012-05-19,31
2012-05-20,43
2012-05-21,100
2012-05-22,56
2012-05-23,60
2012-05-24,46
2012-05-25,52
2012-05-26,36
2012-05-27,27
2012-05-28,52
2012-05-29,34
2012-05-30,45
2012-05-31,38
2012-06-01,55
2012-06-02,35
2012-06-03,51
2012-06-04,41
2012-06-05,45
2012-06-06,31
2012-06-07,39
2012-06-08,18
2012-06-09,34
2012-06-10,38
2012-06-11,34
2012-06-12,37
2012-06-13,35
2012-06-14,52
2012-06-15,33
2012-06-16,26
2012-06-17,39
2012-06-18,34
2012-06-19,38
2012-06-20,24
2012-06-21,49
2012-06-22,22
2012-06-23,22
2012-06-24,47
2012-06-25,44
2012-06-26,44
2012-06-27,14
2012-06-28,25
2012-06-29,30
2012-06-30,49
2012-07-01,17
2012-07-02,56
2012-07-03,42
2012-07-04,26
2012-07-05,25
2012-07-06,34
2012-07-07,31
2012-07-08,43
2012-07-09,10
2012-07-10,48
2012-07-11,29
2012-07-12,46
2012-07-13,33
2012-07-14,22
2012-07-15,78
2012-07-16,24
2012-07-17,24
2012-07-18,35
2012-07-19,25
2012-07-20,60
2012-07-21,27
2012-07-22,53
2012-07-23,28
2012-07-24,32
2012-07-25,47
2012-07-26,46
2012-07-27,34
2012-07-28,22
2012-07-29,57
2012-07-30,53
2012-07-31,42
2012-08-01,25
2012-08-02,58
2012-08-03,82
2012-08-04,44
2012-08-05,35
2012-08-06,43
2012-08-07,46
2012-08-08,32
2012-08-09,46
2012-08-10,41
2012-08-11,22
2012-08-12,35
2012-08-13,21
2012-08-14,25
2012-08-15,44
2012-08-16,47
2012-08-17,49
2012-08-18,27
2012-08-19,18
2012-08-20,43
2012-08-21,42
2012-08-22,42
2012-08-23,39
2012-08-24,26
2012-08-25,30
2012-08-26,38
2012-08-27,28
2012-08-28,27
2012-08-29,48
2012-08-30,39
2012-08-31,36
2012-09-01,25
2012-09-02,38
2012-09-03,50
2012-09-04,27
2012-09-05,55
2012-09-06,34
2012-09-07,33
2012-09-08,33
2012-09-09,29
2012-09-10,50
2012-09-11,47
2012-09-12,64
2012-09-13,61
2012-09-14,28
2012-09-15,21
2012-09-16,66
2012-09-17,54
2012-09-18,60
2012-09-19,44
2012-09-20,62
2012-09-21,28
2012-09-22,81
2012-09-23,52
2012-09-24,79
2012-09-25,72
2012-09-26,63
2012-09-27,57
2012-09-28,91
2012-09-29,41
2012-09-30,48
2012-10-01,70
2012-10-02,100
2012-10-03,64
2012-10-04,56
2012-10-05,58
2012-10-06,64
2012-10-07,92
2012-10-08,45
2012-10-09,51
2012-10-10,68
2012-10-11,61
2012-10-12,69
