date,Henry Schein,isPartial
2013-06-29,14,False
2013-06-30,20,False
2013-07-01,61,False
2013-07-02,73,False
2013-07-03,67,False
2013-07-04,60,False
2013-07-05,38,False
2013-07-06,8,False
2013-07-07,16,False
2013-07-08,77,False
2013-07-09,73,False
2013-07-10,67,False
2013-07-11,76,False
2013-07-12,61,False
2013-07-13,27,False
2013-07-14,14,False
2013-07-15,85,False
2013-07-16,55,False
2013-07-17,55,False
2013-07-18,48,False
2013-07-19,51,False
2013-07-20,14,False
2013-07-21,12,False
2013-07-22,48,False
2013-07-23,61,False
2013-07-24,70,False
2013-07-25,71,False
2013-07-26,44,False
2013-07-27,12,False
2013-07-28,10,False
2013-07-29,61,False
2013-07-30,49,False
2013-07-31,80,False
2013-08-01,56,False
2013-08-02,53,False
2013-08-03,16,False
2013-08-04,16,False
2013-08-05,76,False
2013-08-06,51,False
2013-08-07,62,False
2013-08-08,82,False
2013-08-09,65,False
2013-08-10,14,False
2013-08-11,18,False
2013-08-12,56,False
2013-08-13,71,False
2013-08-14,59,False
2013-08-15,77,False
2013-08-16,51,False
2013-08-17,16,False
2013-08-18,18,False
2013-08-19,69,False
2013-08-20,54,False
2013-08-21,78,False
2013-08-22,57,False
2013-08-23,64,False
2013-08-24,18,False
2013-08-25,10,False
2013-08-26,64,False
2013-08-27,57,False
2013-08-28,75,False
2013-08-29,78,False
2013-08-30,17,False
2013-08-31,8,False
2013-09-01,17,False
2013-09-02,42,False
2013-09-03,70,False
2013-09-04,71,False
2013-09-05,75,False
2013-09-06,64,False
2013-09-07,13,False
2013-09-08,19,False
2013-09-09,52,False
2013-09-10,46,False
2013-09-11,88,False
2013-09-12,67,False
2013-09-13,58,False
2013-09-14,26,False
2013-09-15,22,False
2013-09-16,56,False
2013-09-17,70,False
2013-09-18,85,False
2013-09-19,75,False
2013-09-20,51,False
2013-09-21,30,False
2013-09-22,11,False
2013-09-23,77,False
2013-09-24,72,False
2013-09-25,66,False
2013-09-26,71,False
2013-09-27,64,False
2013-09-28,13,False
2013-09-29,24,False
2013-09-30,62,False
2013-10-01,69,False
2013-10-02,57,False
2013-10-03,59,False
2013-10-04,64,False
2013-10-05,20,False
2013-10-06,5,False
2013-10-07,75,False
