date,value
2010-08-24,28
2010-08-25,28
2010-08-26,28
2010-08-27,29
2010-08-28,1
2010-08-29,1
2010-08-30,53
2010-08-31,18
2010-09-01,71
2010-09-02,45
2010-09-03,20
2010-09-04,1
2010-09-05,1
2010-09-06,19
2010-09-07,27
2010-09-08,18
2010-09-09,54
2010-09-10,57
2010-09-11,24
2010-09-12,12
2010-09-13,35
2010-09-14,18
2010-09-15,10
2010-09-16,62
2010-09-17,38
2010-09-18,1
2010-09-19,12
2010-09-20,53
2010-09-21,10
2010-09-22,78
2010-09-23,60
2010-09-24,73
2010-09-25,44
2010-09-26,11
2010-09-27,92
2010-09-28,101
2010-09-29,60
2010-09-30,35
2010-10-01,54
2010-10-02,12
2010-10-03,12
2010-10-04,42
2010-10-05,51
2010-10-06,51
2010-10-07,28
2010-10-08,55
2010-10-09,12
2010-10-10,23
2010-10-11,44
2010-10-12,18
2010-10-13,26
2010-10-14,9
2010-10-15,54
2010-10-16,12
2010-10-17,1
2010-10-18,50
2010-10-19,25
2010-10-20,26
2010-10-21,34
2010-10-22,44
2010-10-23,32
2010-10-24,1
2010-10-25,58
2010-10-26,66
2010-10-27,25
2010-10-28,59
2010-10-29,36
2010-10-30,22
2010-10-31,22
2010-11-01,18
2010-11-02,25
2010-11-03,25
2010-11-04,17
2010-11-05,53
2010-11-06,1
2010-11-07,21
2010-11-08,64
2010-11-09,73
2010-11-10,33
2010-11-11,26
2010-11-12,10
2010-11-13,11
2010-11-14,11
2010-11-15,58
2010-11-16,82
2010-11-17,17
2010-11-18,42
2010-11-19,18
2010-11-20,1
2010-11-21,21
2010-11-22,56
2010-11-23,57
2010-11-24,50
2010-11-25,27
2010-11-26,10
2010-11-27,1
2010-11-28,1
2010-11-29,86
2010-11-30,56
2010-12-01,32
2010-12-02,32
2010-12-03,34
2010-12-04,11
2010-12-05,1
2010-12-06,57
2010-12-07,41
2010-12-08,34
2010-12-09,33
2010-12-10,9
2010-12-11,11
2010-12-12,11
2010-12-13,33
2010-12-14,56
2010-12-15,17
2010-12-16,42
2010-12-17,62
2010-12-18,11
2010-12-19,1
2010-12-20,50
2010-12-21,18
2010-12-22,35
2010-12-23,10
2010-12-24,12
2010-12-25,1
2010-12-26,23
2010-12-27,10
2010-12-28,19
2010-12-29,10
2010-12-30,37
2010-12-31,1
2011-01-01,1
2011-01-02,1
2011-01-03,17
2011-01-04,32
2011-01-05,80
2011-01-06,25
2011-01-07,34
2011-01-08,11
2011-01-09,20
2011-01-10,78
2011-01-11,38
2011-01-12,9
2011-01-13,32
2011-01-14,32
2011-01-15,20
2011-01-16,1
2011-01-17,31
2011-01-18,16
2011-01-19,31
2011-01-20,16
2011-01-21,56
2011-01-22,10
2011-01-23,10
2011-01-24,8
2011-01-25,75
2011-01-26,54
2011-01-27,47
2011-01-28,57
2011-01-29,28
2011-01-30,36
2011-01-31,22
2011-02-01,64
2011-02-02,30
2011-02-03,53
2011-02-04,54
2011-02-05,1
2011-02-06,1
2011-02-07,72
2011-02-08,37
2011-02-09,52
2011-02-10,54
2011-02-11,40
2011-02-12,47
2011-02-13,28
2011-02-14,16
2011-02-15,72
2011-02-16,52
2011-02-17,53
2011-02-18,32
2011-02-19,28
2011-02-20,1
2011-02-21,30
2011-02-22,30
2011-02-23,45
2011-02-24,38
2011-02-25,47
2011-02-26,19
2011-02-27,1
2011-02-28,58
2011-03-01,36
2011-03-02,52
2011-03-03,68
2011-03-04,39
2011-03-05,10
2011-03-06,1
2011-03-07,1
2011-03-08,23
2011-03-09,30
2011-03-10,59
2011-03-11,38
2011-03-12,1
2011-03-13,1
2011-03-14,23
2011-03-15,23
2011-03-16,80
2011-03-17,8
2011-03-18,39
2011-03-19,1
2011-03-20,1
2011-03-21,15
2011-03-22,51
2011-03-23,37
2011-03-24,45
2011-03-25,24
2011-03-26,10
2011-03-27,19
2011-03-28,37
2011-03-29,22
2011-03-30,45
2011-03-31,45
2011-04-01,24
2011-04-02,20
2011-04-03,10
2011-04-04,36
2011-04-05,44
2011-04-06,37
2011-04-07,53
2011-04-08,32
2011-04-09,1
2011-04-10,1
2011-04-11,65
2011-04-12,51
2011-04-13,44
2011-04-14,38
2011-04-15,32
2011-04-16,20
2011-04-17,10
2011-04-18,67
2011-04-19,75
2011-04-20,39
2011-04-21,33
2011-04-22,27
2011-04-23,11
2011-04-24,31
2011-04-25,49
2011-04-26,37
2011-04-27,65
2011-04-28,44
2011-04-29,32
2011-04-30,1
2011-05-01,47
2011-05-02,30
2011-05-03,58
2011-05-04,8
2011-05-05,38
2011-05-06,47
2011-05-07,1
2011-05-08,10
2011-05-09,44
2011-05-10,80
2011-05-11,37
