date,IDEXX,isPartial
2013-11-06,55,False
2013-11-07,69,False
2013-11-08,68,False
2013-11-09,24,False
2013-11-10,37,False
2013-11-11,48,False
2013-11-12,84,False
2013-11-13,64,False
2013-11-14,65,False
2013-11-15,51,False
2013-11-16,38,False
2013-11-17,14,False
2013-11-18,58,False
2013-11-19,59,False
2013-11-20,43,False
2013-11-21,68,False
2013-11-22,49,False
2013-11-23,28,False
2013-11-24,32,False
2013-11-25,70,False
2013-11-26,51,False
2013-11-27,67,False
2013-11-28,34,False
2013-11-29,25,False
2013-11-30,28,False
2013-12-01,22,False
2013-12-02,69,False
2013-12-03,62,False
2013-12-04,63,False
2013-12-05,68,False
2013-12-06,66,False
2013-12-07,47,False
2013-12-08,32,False
2013-12-09,90,False
2013-12-10,66,False
2013-12-11,75,False
2013-12-12,60,False
2013-12-13,25,False
2013-12-14,19,False
2013-12-15,28,False
2013-12-16,68,False
2013-12-17,85,False
2013-12-18,73,False
2013-12-19,54,False
2013-12-20,57,False
2013-12-21,39,False
2013-12-22,10,False
2013-12-23,44,False
2013-12-24,30,False
2013-12-25,11,False
2013-12-26,32,False
2013-12-27,26,False
2013-12-28,14,False
2013-12-29,24,False
2013-12-30,52,False
2013-12-31,19,False
2014-01-01,15,False
2014-01-02,94,False
2014-01-03,90,False
2014-01-04,41,False
2014-01-05,27,False
2014-01-06,32,False
2014-01-07,54,False
2014-01-08,69,False
2014-01-09,98,False
2014-01-10,67,False
2014-01-11,40,False
2014-01-12,13,False
2014-01-13,91,False
2014-01-14,65,False
2014-01-15,60,False
2014-01-16,27,False
2014-01-17,56,False
2014-01-18,36,False
2014-01-19,13,False
2014-01-20,56,False
2014-01-21,75,False
2014-01-22,98,False
2014-01-23,76,False
2014-01-24,47,False
2014-01-25,35,False
2014-01-26,22,False
2014-01-27,82,False
2014-01-28,64,False
2014-01-29,72,False
2014-01-30,66,False
2014-01-31,60,False
2014-02-01,40,False
2014-02-02,31,False
2014-02-03,49,False
2014-02-04,49,False
2014-02-05,64,False
2014-02-06,68,False
2014-02-07,85,False
2014-02-08,35,False
2014-02-09,26,False
2014-02-10,67,False
2014-02-11,78,False
2014-02-12,45,False
2014-02-13,45,False
2014-02-14,55,False
2014-02-15,18,False
2014-02-16,31,False
2014-02-17,49,False
2014-02-18,82,False
2014-02-19,34,False
2014-02-20,49,False
2014-02-21,43,False
2014-02-22,35,False
2014-02-23,44,False
2014-02-24,78,False
2014-02-25,71,False
2014-02-26,66,False
2014-02-27,45,False
2014-02-28,79,False
2014-03-01,31,False
2014-03-02,35,False
2014-03-03,80,False
2014-03-04,46,False
2014-03-05,87,False
