date,value
2018-04-09,38.0
2018-04-10,19.0
2018-04-11,19.0
2018-04-12,29.0
2018-04-13,40.0
2018-04-14,22.0
2018-04-15,0.0
2018-04-16,37.0
2018-04-17,65.0
2018-04-18,19.0
2018-04-19,58.0
2018-04-20,29.0
2018-04-21,22.0
2018-04-22,0.0
2018-04-23,19.0
2018-04-24,37.0
2018-04-25,56.0
2018-04-26,57.0
2018-04-27,20.0
2018-04-28,0.0
2018-04-29,22.0
2018-04-30,19.0
2018-05-01,82.0
2018-05-02,19.0
2018-05-03,19.0
2018-05-04,40.0
2018-05-05,22.0
2018-05-06,0.0
2018-05-07,77.0
2018-05-08,57.0
2018-05-09,57.0
2018-05-10,29.0
2018-05-11,50.0
2018-05-12,23.0
2018-05-13,22.0
2018-05-14,28.0
2018-05-15,75.0
2018-05-16,76.0
2018-05-17,19.0
2018-05-18,20.0
2018-05-19,22.0
2018-05-20,22.0
2018-05-21,19.0
2018-05-22,19.0
2018-05-23,19.0
2018-05-24,19.0
2018-05-25,0.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,39.0
2018-05-29,38.0
2018-05-30,29.0
2018-05-31,29.0
2018-06-01,0.0
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,48.0
2018-06-05,47.0
2018-06-06,38.0
2018-06-07,47.0
2018-06-08,100.0
2018-06-09,34.0
2018-06-10,0.0
2018-06-11,64.0
2018-06-12,43.0
2018-06-13,27.0
2018-06-14,38.0
2018-06-14,37.98664929990231
2018-06-15,29.23607945294692
2018-06-16,16.01823510257245
2018-06-17,8.199544122435688
