date,INCY stock
2017-01-19,35
2017-01-20,24
2017-01-21,14
2017-01-22,0
2017-01-23,0
2017-01-24,12
2017-01-25,0
2017-01-26,0
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,24
2017-02-03,0
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,12
2017-02-08,12
2017-02-09,0
2017-02-10,12
2017-02-11,0
2017-02-12,0
2017-02-13,47
2017-02-14,0
2017-02-15,24
2017-02-16,23
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,23
2017-02-22,23
2017-02-23,35
2017-02-24,37
2017-02-25,0
2017-02-26,13
2017-02-27,11
2017-02-28,11
2017-03-01,22
2017-03-02,0
2017-03-03,0
2017-03-04,0
2017-03-05,0
2017-03-06,22
2017-03-07,0
2017-03-08,23
2017-03-09,0
2017-03-10,24
2017-03-11,66
2017-03-12,0
2017-03-13,54
2017-03-14,46
2017-03-15,12
2017-03-16,12
2017-03-17,0
2017-03-18,0
2017-03-19,13
2017-03-20,35
2017-03-21,11
2017-03-22,23
2017-03-23,0
2017-03-24,12
2017-03-25,0
2017-03-26,0
2017-03-27,0
2017-03-28,23
2017-03-29,35
2017-03-30,36
2017-03-31,25
2017-04-01,14
2017-04-02,0
2017-04-03,35
2017-04-04,23
2017-04-05,12
2017-04-06,12
2017-04-07,12
2017-04-08,27
2017-04-09,14
2017-04-10,0
2017-04-11,12
2017-04-12,35
2017-04-13,37
2017-04-14,40
2017-04-15,0
2017-04-16,14
2017-04-17,49
2017-04-18,12
2017-04-19,11
2017-04-20,12
2017-04-21,37
2017-04-22,0
2017-04-23,0
2017-04-24,12
2017-04-25,35
2017-04-26,11
2017-04-27,35
2017-04-28,24
2017-04-29,0
2017-04-30,0
2017-05-01,50
2017-05-02,0
2017-05-03,35
2017-05-04,12
2017-05-05,0
2017-05-06,0
2017-05-07,0
2017-05-08,46
2017-05-09,35
2017-05-10,12
2017-05-11,12
2017-05-12,36
2017-05-13,0
2017-05-14,0
2017-05-15,25
2017-05-16,0
2017-05-17,12
2017-05-18,100
2017-05-19,0
2017-05-20,29
2017-05-21,0
2017-05-22,37
2017-05-23,24
2017-05-24,25
2017-05-25,51
2017-05-26,40
2017-05-27,0
2017-05-28,15
2017-05-29,0
2017-05-30,0
2017-05-31,37
2017-06-01,13
2017-06-02,39
2017-06-03,0
2017-06-04,29
2017-06-05,25
2017-06-06,48
2017-06-07,48
2017-06-08,12
2017-06-09,13
2017-06-10,15
2017-06-11,0
2017-06-12,48
2017-06-13,24
2017-06-14,25
2017-06-15,51
2017-06-16,13
2017-06-17,0
2017-06-18,0
2017-06-19,12
2017-06-20,12
2017-06-21,36
2017-06-22,0
2017-06-23,12
2017-06-24,0
2017-06-25,0
2017-06-26,25
2017-06-27,13
2017-06-28,25
2017-06-29,26
2017-06-30,13
2017-07-01,0
2017-07-02,0
2017-07-03,13
2017-07-04,0
2017-07-05,13
2017-07-06,0
2017-07-07,40
2017-07-08,0
2017-07-09,0
2017-07-10,38
2017-07-11,12
2017-07-12,0
2017-07-13,39
2017-07-14,26
2017-07-15,0
2017-07-16,0
2017-07-17,13
2017-07-18,0
2017-07-19,12
2017-07-20,25
2017-07-21,13
2017-07-22,15
2017-07-23,0
2017-07-24,13
2017-07-25,25
2017-07-26,12
2017-07-27,37
2017-07-28,13
2017-07-29,0
2017-07-30,0
2017-07-31,37
2017-08-01,59
2017-08-02,35
2017-08-03,12
2017-08-04,0
2017-08-05,0
2017-08-06,0
2017-08-07,12
2017-08-08,0
2017-08-09,0
2017-08-10,12
2017-08-11,0
2017-08-12,14
2017-08-13,0
2017-08-14,25
2017-08-15,0
2017-08-16,12
2017-08-17,0
2017-08-18,0
2017-08-19,14
2017-08-20,0
2017-08-21,12
2017-08-22,12
2017-08-23,12
2017-08-24,0
2017-08-25,13
2017-08-26,0
2017-08-27,0
2017-08-28,0
2017-08-29,0
2017-08-30,24
2017-08-31,36
2017-09-01,13
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,0
2017-09-06,12
2017-09-07,24
2017-09-08,37
2017-09-09,14
2017-09-10,0
2017-09-11,59
2017-09-12,12
2017-09-13,0
2017-09-14,24
2017-09-15,25
2017-09-16,28
2017-09-17,0
2017-09-18,36
2017-09-19,12
2017-09-20,71
2017-09-21,48
2017-09-22,50
2017-09-23,0
2017-09-24,0
2017-09-25,24
2017-09-26,12
2017-09-27,12
2017-09-28,48
2017-09-29,13
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,36
2017-10-04,24
2017-10-05,24
2017-10-06,0
