date,INTC stock
2016-09-11,4
2016-09-12,28
2016-09-13,9
2016-09-14,15
2016-09-15,18
2016-09-16,48
2016-09-17,17
2016-09-18,10
2016-09-19,18
2016-09-20,36
2016-09-21,36
2016-09-22,22
2016-09-23,34
2016-09-24,4
2016-09-25,7
2016-09-26,27
2016-09-27,30
2016-09-28,30
2016-09-29,42
2016-09-30,38
2016-10-01,10
2016-10-02,7
2016-10-03,23
2016-10-04,12
2016-10-05,27
2016-10-06,36
2016-10-07,15
2016-10-08,10
2016-10-09,7
2016-10-10,24
2016-10-11,21
2016-10-12,27
2016-10-13,21
2016-10-14,16
2016-10-15,10
2016-10-16,3
2016-10-17,24
2016-10-18,70
2016-10-19,82
2016-10-20,60
2016-10-21,40
2016-10-22,14
2016-10-23,7
2016-10-24,36
2016-10-25,32
2016-10-26,20
2016-10-27,21
2016-10-28,35
2016-10-29,7
2016-10-30,7
2016-10-31,27
2016-11-01,15
2016-11-02,27
2016-11-03,21
2016-11-04,22
2016-11-05,3
2016-11-06,10
2016-11-07,17
2016-11-08,32
2016-11-09,64
2016-11-10,54
2016-11-11,12
2016-11-12,17
2016-11-13,0
2016-11-14,20
2016-11-15,18
2016-11-16,24
2016-11-17,15
2016-11-18,31
2016-11-19,7
2016-11-20,7
2016-11-21,23
2016-11-22,29
2016-11-23,20
2016-11-24,12
2016-11-25,21
2016-11-26,7
2016-11-27,6
2016-11-28,8
2016-11-29,19
2016-11-30,37
2016-12-01,17
2016-12-02,21
2016-12-03,6
2016-12-04,0
2016-12-05,21
2016-12-06,25
2016-12-07,28
2016-12-08,37
2016-12-09,27
2016-12-10,13
2016-12-11,9
2016-12-12,25
2016-12-13,19
2016-12-14,23
2016-12-15,23
2016-12-16,34
2016-12-17,17
2016-12-18,7
2016-12-19,23
2016-12-20,9
2016-12-21,24
2016-12-22,31
2016-12-23,28
2016-12-24,11
2016-12-25,0
2016-12-26,3
2016-12-27,18
2016-12-28,27
2016-12-29,28
2016-12-30,26
2016-12-31,11
2017-01-01,4
2017-01-02,9
2017-01-03,32
2017-01-04,23
2017-01-05,41
2017-01-06,42
2017-01-07,10
2017-01-08,6
2017-01-09,31
2017-01-10,39
2017-01-11,27
2017-01-12,56
2017-01-13,14
2017-01-14,10
2017-01-15,3
2017-01-16,14
2017-01-17,25
2017-01-18,38
2017-01-19,30
2017-01-20,17
2017-01-21,13
2017-01-22,6
2017-01-23,24
2017-01-24,33
2017-01-25,49
2017-01-26,75
2017-01-27,75
2017-01-28,13
2017-01-29,9
2017-01-30,22
2017-01-31,38
2017-02-01,24
2017-02-02,33
2017-02-03,40
2017-02-04,15
2017-02-05,3
2017-02-06,19
2017-02-07,35
2017-02-08,35
2017-02-09,44
2017-02-10,48
2017-02-11,3
2017-02-12,9
2017-02-13,35
2017-02-14,24
2017-02-15,44
2017-02-16,46
2017-02-17,46
2017-02-18,9
2017-02-19,9
2017-02-20,5
2017-02-21,27
2017-02-22,21
2017-02-23,30
2017-02-24,42
2017-02-25,6
2017-02-26,15
2017-02-27,37
2017-02-28,24
2017-03-01,39
2017-03-02,55
2017-03-03,33
2017-03-04,9
2017-03-05,0
2017-03-06,28
2017-03-07,30
2017-03-08,34
2017-03-09,27
2017-03-10,17
2017-03-11,12
2017-03-12,6
2017-03-13,57
2017-03-14,40
2017-03-15,40
2017-03-16,32
2017-03-17,26
2017-03-18,9
2017-03-19,3
2017-03-20,32
2017-03-21,35
2017-03-22,27
2017-03-23,33
2017-03-24,37
2017-03-25,3
2017-03-26,6
2017-03-27,27
2017-03-28,57
2017-03-29,27
2017-03-30,44
2017-03-31,68
2017-04-01,12
2017-04-02,3
2017-04-03,46
2017-04-04,35
2017-04-05,46
2017-04-06,44
2017-04-07,25
2017-04-08,3
2017-04-09,6
2017-04-10,5
2017-04-11,50
2017-04-12,42
2017-04-13,17
2017-04-14,28
2017-04-15,3
2017-04-16,3
2017-04-17,14
2017-04-18,11
2017-04-19,29
2017-04-20,43
2017-04-21,34
2017-04-22,9
2017-04-23,6
2017-04-24,48
2017-04-25,34
2017-04-26,48
2017-04-27,100
2017-04-28,70
2017-04-29,13
2017-04-30,10
2017-05-01,58
2017-05-02,35
2017-05-03,56
2017-05-04,63
2017-05-05,25
2017-05-06,25
2017-05-07,3
2017-05-08,32
2017-05-09,43
2017-05-10,40
2017-05-11,25
2017-05-12,40
2017-05-13,16
2017-05-14,6
2017-05-15,28
2017-05-16,43
2017-05-17,37
2017-05-18,32
2017-05-19,24
2017-05-20,31
2017-05-21,3
2017-05-22,49
2017-05-23,20
2017-05-24,29
2017-05-25,33
2017-05-26,50
2017-05-27,10
2017-05-28,11
2017-05-29,6
