date,value
2017-09-30,0.0
2017-10-01,0.0
2017-10-02,13.0
2017-10-03,0.0
2017-10-04,13.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,13.0
2017-10-10,0.0
2017-10-11,13.0
2017-10-12,0.0
2017-10-13,28.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,13.0
2017-10-20,14.0
2017-10-21,31.0
2017-10-22,0.0
2017-10-23,13.0
2017-10-24,26.0
2017-10-25,13.0
2017-10-26,13.0
2017-10-27,27.0
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,13.0
2017-10-31,27.0
2017-11-01,14.0
2017-11-02,13.0
2017-11-03,0.0
2017-11-04,0.0
2017-11-05,14.0
2017-11-06,0.0
2017-11-07,0.0
2017-11-08,0.0
2017-11-09,26.0
2017-11-10,13.0
2017-11-11,30.0
2017-11-12,0.0
2017-11-13,0.0
2017-11-14,13.0
2017-11-15,13.0
2017-11-16,0.0
2017-11-17,40.0
2017-11-18,0.0
2017-11-19,29.0
2017-11-20,51.0
2017-11-21,76.0
2017-11-22,0.0
2017-11-23,13.0
2017-11-24,27.0
2017-11-25,0.0
2017-11-26,0.0
2017-11-27,0.0
2017-11-28,13.0
2017-11-29,38.0
2017-11-30,0.0
2017-12-01,54.0
2017-12-02,0.0
2017-12-03,0.0
2017-12-04,38.0
2017-12-05,0.0
2017-12-06,38.0
2017-12-07,13.0
2017-12-08,13.0
2017-12-09,15.0
2017-12-10,0.0
2017-12-11,12.0
2017-12-12,0.0
2017-12-13,26.0
2017-12-14,26.0
2017-12-15,0.0
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,0.0
2017-12-19,0.0
2017-12-20,0.0
2017-12-21,28.0
2017-12-22,15.0
2017-12-23,16.0
2017-12-24,16.0
2017-12-25,0.0
2017-12-26,0.0
2017-12-27,14.0
2017-12-28,14.0
2017-12-29,0.0
2017-12-30,0.0
2017-12-31,16.0
2018-01-01,0.0
2018-01-02,13.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,14.0
2018-01-08,38.0
2018-01-09,0.0
2018-01-10,13.0
2018-01-11,26.0
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,13.0
2018-01-16,12.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,13.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,24.0
2018-01-23,12.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-27,0.0
2018-01-28,14.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,12.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-03,0.0
2018-02-04,28.0
2018-02-05,50.0
2018-02-06,12.0
2018-02-07,37.0
2018-02-08,12.0
2018-02-09,13.0
2018-02-10,14.0
2018-02-11,0.0
2018-02-12,13.0
2018-02-13,25.0
2018-02-14,38.0
2018-02-15,38.0
2018-02-16,13.0
2018-02-17,0.0
2018-02-18,28.0
2018-02-19,13.0
2018-02-20,0.0
2018-02-21,49.0
2018-02-22,100.0
2018-02-23,13.0
2018-02-24,28.0
2018-02-25,14.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,24.0
2018-03-01,36.0
2018-03-02,0.0
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,0.0
2018-03-06,61.0
2018-03-07,12.0
2018-03-08,0.0
2018-03-09,13.0
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,36.0
2018-03-13,12.0
2018-03-14,0.0
2018-03-15,0.0
2018-03-16,13.0
2018-03-17,14.0
2018-03-18,14.0
2018-03-19,12.0
2018-03-20,24.0
2018-03-21,25.0
2018-03-22,25.0
2018-03-23,26.0
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,0.0
