date,value
2017-10-01,9.0
2017-10-02,20.0
2017-10-03,28.0
2017-10-04,24.0
2017-10-05,24.0
2017-10-06,100.0
2017-10-07,9.0
2017-10-08,5.0
2017-10-09,28.0
2017-10-10,20.0
2017-10-11,4.0
2017-10-12,28.0
2017-10-13,38.0
2017-10-14,9.0
2017-10-15,9.0
2017-10-16,28.0
2017-10-17,20.0
2017-10-18,20.0
2017-10-19,49.0
2017-10-20,51.0
2017-10-21,5.0
2017-10-22,0.0
2017-10-23,8.0
2017-10-24,20.0
2017-10-25,24.0
2017-10-26,4.0
2017-10-27,8.0
2017-10-28,14.0
2017-10-29,0.0
2017-10-30,0.0
2017-10-31,16.0
2017-11-01,20.0
2017-11-02,12.0
2017-11-03,16.0
2017-11-04,9.0
2017-11-05,4.0
2017-11-06,15.0
2017-11-07,19.0
2017-11-08,8.0
2017-11-09,27.0
2017-11-10,16.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,8.0
2017-11-14,16.0
2017-11-15,19.0
2017-11-16,19.0
2017-11-17,16.0
2017-11-18,0.0
2017-11-19,9.0
2017-11-20,15.0
2017-11-21,23.0
2017-11-22,23.0
2017-11-23,8.0
2017-11-24,4.0
2017-11-25,4.0
2017-11-26,4.0
2017-11-27,8.0
2017-11-28,15.0
2017-11-29,20.0
2017-11-30,0.0
2017-12-01,28.0
2017-12-02,13.0
2017-12-03,0.0
2017-12-04,19.0
2017-12-05,19.0
2017-12-06,27.0
2017-12-07,12.0
2017-12-08,12.0
2017-12-09,9.0
2017-12-10,0.0
2017-12-11,19.0
2017-12-12,19.0
2017-12-13,8.0
2017-12-14,12.0
2017-12-15,20.0
2017-12-16,9.0
2017-12-17,0.0
2017-12-18,12.0
2017-12-19,8.0
2017-12-20,16.0
2017-12-21,17.0
2017-12-22,27.0
2017-12-23,14.0
2017-12-24,0.0
2017-12-25,10.0
2017-12-26,17.0
2017-12-27,17.0
2017-12-28,13.0
2017-12-29,0.0
2017-12-30,5.0
2017-12-31,0.0
2018-01-01,5.0
2018-01-02,4.0
2018-01-03,23.0
2018-01-04,12.0
2018-01-05,16.0
2018-01-06,0.0
2018-01-07,13.0
2018-01-08,27.0
2018-01-09,26.0
2018-01-10,42.0
2018-01-11,54.0
2018-01-12,16.0
2018-01-13,4.0
2018-01-14,9.0
2018-01-15,4.0
2018-01-16,7.0
2018-01-17,15.0
2018-01-18,15.0
2018-01-19,16.0
2018-01-20,22.0
2018-01-21,4.0
2018-01-22,11.0
2018-01-23,37.0
2018-01-24,33.0
2018-01-25,83.0
2018-01-26,48.0
2018-01-27,4.0
2018-01-28,4.0
2018-01-29,15.0
2018-01-30,19.0
