date,Illumina,isPartial
2013-11-06,71,False
2013-11-07,66,False
2013-11-08,78,False
2013-11-09,30,False
2013-11-10,48,False
2013-11-11,43,False
2013-11-12,79,False
2013-11-13,76,False
2013-11-14,70,False
2013-11-15,49,False
2013-11-16,23,False
2013-11-17,29,False
2013-11-18,69,False
2013-11-19,52,False
2013-11-20,61,False
2013-11-21,81,False
2013-11-22,56,False
2013-11-23,34,False
2013-11-24,31,False
2013-11-25,48,False
2013-11-26,56,False
2013-11-27,41,False
2013-11-28,36,False
2013-11-29,43,False
2013-11-30,30,False
2013-12-01,26,False
2013-12-02,55,False
2013-12-03,43,False
2013-12-04,64,False
2013-12-05,69,False
2013-12-06,61,False
2013-12-07,30,False
2013-12-08,49,False
2013-12-09,55,False
2013-12-10,51,False
2013-12-11,56,False
2013-12-12,63,False
2013-12-13,46,False
2013-12-14,33,False
2013-12-15,21,False
2013-12-16,46,False
2013-12-17,52,False
2013-12-18,40,False
2013-12-19,58,False
2013-12-20,51,False
2013-12-21,24,False
2013-12-22,35,False
2013-12-23,40,False
2013-12-24,24,False
2013-12-25,30,False
2013-12-26,42,False
2013-12-27,25,False
2013-12-28,40,False
2013-12-29,25,False
2013-12-30,47,False
2013-12-31,36,False
2014-01-01,19,False
2014-01-02,45,False
2014-01-03,54,False
2014-01-04,37,False
2014-01-05,32,False
2014-01-06,56,False
2014-01-07,62,False
2014-01-08,56,False
2014-01-09,53,False
2014-01-10,73,False
2014-01-11,22,False
2014-01-12,20,False
2014-01-13,54,False
2014-01-14,72,False
2014-01-15,99,False
2014-01-16,100,False
2014-01-17,91,False
2014-01-18,58,False
2014-01-19,41,False
2014-01-20,60,False
2014-01-21,56,False
2014-01-22,80,False
2014-01-23,74,False
2014-01-24,65,False
2014-01-25,35,False
2014-01-26,33,False
2014-01-27,65,False
2014-01-28,60,False
2014-01-29,76,False
2014-01-30,72,False
2014-01-31,61,False
2014-02-01,40,False
2014-02-02,44,False
2014-02-03,57,False
2014-02-04,54,False
2014-02-05,82,False
2014-02-06,39,False
2014-02-07,71,False
2014-02-08,43,False
2014-02-09,31,False
2014-02-10,57,False
2014-02-11,45,False
2014-02-12,86,False
2014-02-13,67,False
2014-02-14,73,False
2014-02-15,40,False
2014-02-16,47,False
2014-02-17,41,False
2014-02-18,69,False
2014-02-19,99,False
2014-02-20,82,False
2014-02-21,96,False
2014-02-22,54,False
2014-02-23,41,False
2014-02-24,66,False
2014-02-25,65,False
2014-02-26,58,False
2014-02-27,84,False
2014-02-28,72,False
2014-03-01,42,False
2014-03-02,36,False
2014-03-03,61,False
2014-03-04,67,False
2014-03-05,62,False
2014-03-06,67,False
2014-03-07,72,False
2014-03-08,35,False
2014-03-09,35,False
2014-03-10,61,False
2014-03-11,76,False
2014-03-12,46,False
2014-03-13,77,False
2014-03-14,53,False
2014-03-15,18,False
2014-03-16,29,False
2014-03-17,61,False
2014-03-18,69,False
2014-03-19,71,False
2014-03-20,56,False
2014-03-21,58,False
2014-03-22,38,False
2014-03-23,40,False
2014-03-24,74,False
2014-03-25,74,False
2014-03-26,60,False
2014-03-27,78,False
2014-03-28,62,False
2014-03-29,32,False
2014-03-30,30,False
2014-03-31,71,False
2014-04-01,63,False
2014-04-02,51,False
2014-04-03,48,False
2014-04-04,77,False
2014-04-05,44,False
2014-04-06,46,False
2014-04-07,54,False
2014-04-08,65,False
2014-04-09,65,False
2014-04-10,68,False
2014-04-11,69,False
2014-04-12,39,False
2014-04-13,30,False
2014-04-14,52,False
2014-04-15,81,False
2014-04-16,63,False
2014-04-17,61,False
2014-04-18,34,False
2014-04-19,34,False
2014-04-20,43,False
2014-04-21,52,False
2014-04-22,65,False
2014-04-23,67,False
2014-04-24,50,False
2014-04-25,52,False
2014-04-26,23,False
2014-04-27,34,False
2014-04-28,65,False
2014-04-29,66,False
2014-04-30,76,False
2014-05-01,65,False
2014-05-02,64,False
2014-05-03,44,False
2014-05-04,42,False
2014-05-05,56,False
2014-05-06,55,False
2014-05-07,81,False
2014-05-08,62,False
2014-05-09,59,False
2014-05-10,34,False
2014-05-11,31,False
2014-05-12,65,False
2014-05-13,65,False
2014-05-14,57,False
2014-05-15,70,False
2014-05-16,43,False
2014-05-17,27,False
2014-05-18,24,False
2014-05-19,38,False
2014-05-20,54,False
2014-05-21,55,False
2014-05-22,71,False
2014-05-23,54,False
2014-05-24,34,False
2014-05-25,34,False
2014-05-26,31,False
2014-05-27,72,False
2014-05-28,65,False
2014-05-29,63,False
2014-05-30,76,False
2014-05-31,23,False
2014-06-01,32,False
2014-06-02,71,False
2014-06-03,69,False
2014-06-04,57,False
2014-06-05,60,False
2014-06-06,60,False
2014-06-07,43,False
2014-06-08,27,False
2014-06-09,64,False
2014-06-10,70,False
2014-06-11,47,False
2014-06-12,74,False
2014-06-13,47,False
2014-06-14,29,False
2014-06-15,38,False
2014-06-16,48,False
2014-06-17,71,False
2014-06-18,72,False
2014-06-19,61,False
2014-06-20,61,False
2014-06-21,41,False
2014-06-22,33,False
2014-06-23,63,False
2014-06-24,50,False
2014-06-25,80,False
2014-06-26,67,False
2014-06-27,57,False
2014-06-28,23,False
2014-06-29,33,False
2014-06-30,49,False
2014-07-01,51,False
2014-07-02,63,False
2014-07-03,57,False
2014-07-04,35,False
2014-07-05,19,False
2014-07-06,31,False
2014-07-07,50,False
2014-07-08,53,False
2014-07-09,63,False
2014-07-10,42,False
2014-07-11,55,False
2014-07-12,52,False
2014-07-13,34,False
2014-07-14,79,False
2014-07-15,72,False
2014-07-16,91,False
2014-07-17,60,False
2014-07-18,60,False
2014-07-19,23,False
2014-07-20,35,False
2014-07-21,70,False
2014-07-22,80,False
2014-07-23,87,False
2014-07-24,53,False
