date,JB Hunt,isPartial
2018-02-13,55,False
2018-02-14,52,False
2018-02-15,53,False
2018-02-16,60,False
2018-02-17,16,False
2018-02-18,33,False
2018-02-19,40,False
2018-02-20,93,False
2018-02-21,70,False
2018-02-22,95,False
2018-02-23,73,False
2018-02-24,39,False
2018-02-25,25,False
2018-02-26,58,False
2018-02-27,57,False
2018-02-28,62,False
2018-03-01,75,False
2018-03-02,50,False
2018-03-03,36,False
2018-03-04,41,False
2018-03-05,52,False
2018-03-06,87,False
2018-03-07,77,False
2018-03-08,60,False
2018-03-09,56,False
2018-03-10,42,False
2018-03-11,42,False
2018-03-12,42,False
2018-03-13,53,False
2018-03-14,28,False
2018-03-15,82,False
2018-03-16,50,False
2018-03-17,29,False
2018-03-18,13,False
2018-03-19,54,False
2018-03-20,42,False
2018-03-21,42,False
2018-03-22,57,False
2018-03-23,54,False
2018-03-24,20,False
2018-03-25,42,False
2018-03-26,77,False
2018-03-27,63,False
2018-03-28,55,False
2018-03-29,64,False
2018-03-30,32,False
2018-03-31,34,False
2018-04-01,34,False
2018-04-02,79,False
2018-04-03,60,False
2018-04-04,71,False
2018-04-05,96,False
2018-04-06,42,False
2018-04-07,20,False
2018-04-08,29,False
2018-04-09,54,False
2018-04-10,64,False
2018-04-11,65,False
2018-04-12,69,False
2018-04-13,56,False
2018-04-14,37,False
2018-04-15,26,False
2018-04-16,67,False
2018-04-17,85,False
2018-04-18,72,False
2018-04-19,84,False
2018-04-20,45,False
2018-04-21,27,False
2018-04-22,46,False
2018-04-23,67,False
2018-04-24,62,False
2018-04-25,37,False
2018-04-26,54,False
2018-04-27,52,False
2018-04-28,27,False
2018-04-29,46,False
2018-04-30,65,False
2018-05-01,52,False
2018-05-02,74,False
2018-05-03,100,False
2018-05-04,68,False
2018-05-05,34,False
2018-05-06,29,False
2018-05-07,69,False
2018-05-08,59,False
2018-05-09,60,False
2018-05-10,75,False
2018-05-11,66,False
2018-05-12,47,False
2018-05-13,40,False
2018-05-14,57,False
2018-05-15,93,False
2018-05-16,46,False
2018-05-17,75,False
2018-05-18,69,False
2018-05-19,30,False
2018-05-20,31,False
2018-05-21,68,False
2018-05-22,57,False
2018-05-23,52,False
2018-05-24,75,False
2018-05-25,61,False
2018-05-26,23,False
2018-05-27,20,False
2018-05-28,23,False
2018-05-29,72,False
2018-05-30,89,False
2018-05-31,85,False
2018-06-01,18,False
2018-06-02,34,False
2018-06-03,44,False
2018-06-04,72,False
2018-06-05,59,False
2018-06-06,61,False
2018-06-07,80,False
2018-06-08,63,False
2018-06-09,34,False
2018-06-10,33,False
2018-06-11,67,False
2018-06-12,69,False
2018-06-13,62,False
2018-06-14,84,False
2018-06-15,51,False
2018-06-16,51,False
2018-06-17,26,False
2018-06-18,71,False
2018-06-19,65,False
2018-06-20,54,False
2018-06-21,66,False
2018-06-22,62,False
2018-06-23,43,False
2018-06-24,39,False
2018-06-25,67,False
2018-06-26,67,False
2018-06-27,54,False
2018-06-28,78,False
