date,MAR stock
2014-03-16,18
2014-03-17,0
2014-03-18,16
2014-03-19,47
2014-03-20,16
2014-03-21,100
2014-03-22,37
2014-03-23,0
2014-03-24,31
2014-03-25,46
2014-03-26,32
2014-03-27,80
2014-03-28,0
2014-03-29,0
2014-03-30,37
2014-03-31,16
2014-04-01,32
2014-04-02,16
2014-04-03,32
2014-04-04,0
2014-04-05,0
2014-04-06,19
2014-04-07,62
2014-04-08,16
2014-04-09,32
2014-04-10,48
2014-04-11,0
2014-04-12,19
2014-04-13,0
2014-04-14,32
2014-04-15,32
2014-04-16,33
2014-04-17,34
2014-04-18,19
2014-04-19,40
2014-04-20,20
2014-04-21,0
2014-04-22,0
2014-04-23,16
2014-04-24,48
2014-04-25,0
2014-04-26,19
2014-04-27,18
2014-04-28,0
2014-04-29,31
2014-04-30,16
2014-05-01,35
2014-05-02,34
2014-05-03,0
2014-05-04,19
2014-05-05,32
2014-05-06,47
2014-05-07,16
2014-05-08,16
2014-05-09,0
2014-05-10,0
2014-05-11,0
2014-05-12,16
2014-05-13,31
2014-05-14,16
2014-05-15,0
2014-05-16,16
2014-05-17,0
2014-05-18,0
2014-05-19,32
2014-05-20,16
2014-05-21,0
2014-05-22,18
2014-05-23,0
2014-05-24,43
2014-05-25,21
2014-05-26,54
2014-05-27,0
2014-05-28,0
2014-05-29,89
2014-05-30,18
2014-05-31,21
2014-06-01,0
2014-06-02,53
2014-06-03,69
2014-06-04,17
2014-06-05,35
2014-06-06,37
2014-06-07,44
2014-06-08,22
2014-06-09,36
2014-06-10,0
2014-06-11,35
2014-06-12,36
2014-06-13,18
2014-06-14,0
2014-06-15,0
2014-06-16,35
2014-06-17,17
2014-06-18,18
2014-06-19,18
2014-06-20,19
2014-06-21,0
2014-06-22,0
2014-06-23,18
2014-06-24,0
2014-06-25,18
2014-06-26,36
2014-06-27,19
2014-06-28,0
2014-06-29,21
2014-06-30,0
2014-07-01,71
2014-07-02,18
2014-07-03,0
2014-07-04,39
2014-07-05,0
2014-07-06,0
2014-07-07,18
2014-07-08,35
2014-07-09,72
2014-07-10,18
2014-07-11,0
2014-07-12,21
2014-07-13,21
2014-07-14,54
2014-07-15,18
2014-07-16,18
2014-07-17,18
2014-07-18,38
2014-07-19,0
2014-07-20,0
2014-07-21,18
2014-07-22,18
2014-07-23,0
2014-07-24,73
2014-07-25,0
2014-07-26,44
2014-07-27,0
2014-07-28,91
2014-07-29,0
2014-07-30,90
2014-07-31,18
2014-08-01,19
2014-08-02,0
2014-08-03,0
2014-08-04,18
2014-08-05,0
2014-08-06,18
2014-08-07,0
2014-08-08,19
2014-08-09,22
2014-08-10,21
2014-08-11,18
2014-08-12,0
2014-08-13,52
2014-08-14,72
2014-08-15,0
2014-08-16,21
2014-08-17,21
2014-08-18,18
2014-08-19,35
2014-08-20,35
2014-08-21,18
2014-08-22,0
2014-08-23,0
2014-08-24,21
2014-08-25,17
2014-08-26,34
2014-08-27,34
2014-08-28,18
2014-08-29,36
2014-08-30,21
2014-08-31,0
2014-09-01,34
2014-09-02,17
2014-09-03,0
2014-09-04,34
2014-09-05,53
2014-09-06,20
2014-09-07,40
2014-09-08,34
2014-09-09,17
2014-09-10,17
2014-09-11,17
2014-09-12,0
2014-09-13,20
2014-09-14,20
2014-09-15,34
2014-09-16,17
2014-09-17,34
2014-09-18,0
2014-09-19,17
2014-09-20,0
2014-09-21,0
2014-09-22,66
2014-09-23,33
2014-09-24,17
2014-09-25,34
2014-09-26,35
2014-09-27,20
2014-09-28,0
2014-09-29,0
2014-09-30,16
2014-10-01,33
2014-10-02,34
2014-10-03,0
2014-10-04,0
2014-10-05,59
2014-10-06,17
2014-10-07,17
2014-10-08,17
2014-10-09,34
2014-10-10,0
2014-10-11,20
2014-10-12,0
2014-10-13,33
2014-10-14,0
2014-10-15,16
2014-10-16,0
2014-10-17,17
2014-10-18,40
2014-10-19,39
2014-10-20,49
2014-10-21,48
2014-10-22,16
2014-10-23,0
2014-10-24,51
2014-10-25,0
2014-10-26,0
2014-10-27,49
2014-10-28,16
2014-10-29,16
2014-10-30,17
2014-10-31,35
2014-11-01,59
2014-11-02,19
2014-11-03,49
2014-11-04,0
2014-11-05,0
2014-11-06,32
2014-11-07,17
2014-11-08,0
2014-11-09,0
2014-11-10,65
2014-11-11,32
2014-11-12,0
2014-11-13,0
2014-11-14,33
2014-11-15,0
2014-11-16,19
2014-11-17,32
2014-11-18,69
2014-11-19,33
2014-11-20,16
2014-11-21,0
2014-11-22,0
2014-11-23,0
2014-11-24,32
2014-11-25,16
2014-11-26,48
2014-11-27,50
2014-11-28,68
2014-11-29,0
2014-11-30,37
2014-12-01,31
