date,MELI stock
2018-02-13,63
2018-02-14,38
2018-02-15,25
2018-02-16,53
2018-02-17,29
2018-02-18,0
2018-02-19,0
2018-02-20,12
2018-02-21,62
2018-02-22,100
2018-02-23,91
2018-02-24,0
2018-02-25,0
2018-02-26,36
2018-02-27,24
2018-02-28,49
2018-03-01,0
2018-03-02,13
2018-03-03,29
2018-03-04,14
2018-03-05,36
2018-03-06,49
2018-03-07,50
2018-03-08,38
2018-03-09,26
2018-03-10,0
2018-03-11,0
2018-03-12,12
2018-03-13,49
2018-03-14,37
2018-03-15,38
2018-03-16,26
2018-03-17,14
2018-03-18,14
2018-03-19,62
2018-03-20,25
2018-03-21,49
2018-03-22,38
2018-03-23,26
2018-03-24,0
2018-03-25,14
2018-03-26,25
2018-03-27,38
2018-03-28,52
2018-03-29,13
2018-03-30,42
2018-03-31,0
2018-04-01,0
2018-04-02,13
2018-04-03,50
2018-04-04,0
2018-04-05,51
2018-04-06,13
2018-04-07,0
2018-04-08,0
2018-04-09,12
