date,value
2018-04-15,0.0
2018-04-16,48.0
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,0.0
2018-04-20,34.0
2018-04-21,0.0
2018-04-22,0.0
2018-04-23,32.0
2018-04-24,0.0
2018-04-25,0.0
2018-04-26,0.0
2018-04-27,17.0
2018-04-28,19.0
2018-04-29,0.0
2018-04-30,17.0
2018-05-01,17.0
2018-05-02,32.0
2018-05-03,64.0
2018-05-04,17.0
2018-05-05,0.0
2018-05-06,37.0
2018-05-07,0.0
2018-05-08,48.0
2018-05-09,97.0
2018-05-10,16.0
2018-05-11,100.0
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,65.0
2018-05-15,0.0
2018-05-16,65.0
2018-05-17,33.0
2018-05-18,17.0
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,83.0
2018-05-22,48.0
2018-05-23,33.0
2018-05-24,17.0
2018-05-25,17.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,32.0
2018-05-30,16.0
2018-05-31,17.0
2018-06-01,17.0
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,0.0
2018-06-05,16.0
2018-06-06,16.0
2018-06-07,49.0
2018-06-08,17.0
2018-06-09,0.0
2018-06-10,19.0
2018-06-11,78.0
2018-06-12,0.0
2018-06-13,15.0
2018-06-14,16.0
2018-06-14,18.386821232458814
2018-06-15,25.147040878584498
2018-06-16,11.284929835265403
2018-06-17,7.965832824893226
