date,MSFT stock
2017-10-06,23
2017-10-07,5
2017-10-08,2
2017-10-09,19
2017-10-10,19
2017-10-11,23
2017-10-12,26
2017-10-13,18
2017-10-14,7
2017-10-15,8
2017-10-16,15
2017-10-17,19
2017-10-18,19
2017-10-19,20
2017-10-20,19
2017-10-21,5
2017-10-22,4
2017-10-23,17
2017-10-24,27
2017-10-25,19
2017-10-26,56
2017-10-27,79
2017-10-28,19
2017-10-29,12
2017-10-30,27
2017-10-31,31
2017-11-01,34
2017-11-02,30
2017-11-03,28
2017-11-04,6
2017-11-05,3
2017-11-06,23
2017-11-07,20
2017-11-08,21
2017-11-09,18
2017-11-10,22
2017-11-11,3
2017-11-12,1
2017-11-13,19
2017-11-14,19
2017-11-15,20
2017-11-16,16
2017-11-17,17
2017-11-18,6
2017-11-19,4
2017-11-20,16
2017-11-21,14
2017-11-22,17
2017-11-23,8
2017-11-24,11
2017-11-25,8
2017-11-26,4
2017-11-27,18
2017-11-28,18
2017-11-29,28
2017-11-30,23
2017-12-01,23
2017-12-02,9
2017-12-03,4
2017-12-04,34
2017-12-05,25
2017-12-06,19
2017-12-07,26
2017-12-08,21
2017-12-09,6
2017-12-10,1
2017-12-11,23
2017-12-12,29
2017-12-13,24
2017-12-14,23
2017-12-15,23
2017-12-16,12
2017-12-17,5
2017-12-18,22
2017-12-19,20
2017-12-20,20
2017-12-21,25
2017-12-22,23
2017-12-23,9
2017-12-24,6
2017-12-25,4
2017-12-26,20
2017-12-27,18
2017-12-28,22
2017-12-29,18
2017-12-30,8
2017-12-31,7
2018-01-01,9
2018-01-02,28
2018-01-03,24
2018-01-04,27
2018-01-05,34
2018-01-06,15
2018-01-07,5
2018-01-08,18
2018-01-09,21
2018-01-10,23
2018-01-11,27
2018-01-12,39
2018-01-13,10
2018-01-14,5
2018-01-15,12
2018-01-16,33
2018-01-17,26
2018-01-18,34
2018-01-19,31
2018-01-20,11
2018-01-21,6
2018-01-22,31
2018-01-23,39
2018-01-24,34
2018-01-25,37
2018-01-26,43
2018-01-27,19
2018-01-28,10
2018-01-29,38
2018-01-30,39
2018-01-31,100
2018-02-01,95
2018-02-02,57
2018-02-03,17
2018-02-04,5
2018-02-05,44
2018-02-06,68
2018-02-07,51
2018-02-08,39
2018-02-09,54
2018-02-10,18
2018-02-11,9
2018-02-12,39
2018-02-13,39
2018-02-14,39
2018-02-15,31
2018-02-16,35
2018-02-17,11
2018-02-18,3
2018-02-19,11
2018-02-20,33
2018-02-21,24
2018-02-22,29
2018-02-23,37
2018-02-24,9
2018-02-25,5
2018-02-26,32
2018-02-27,29
2018-02-28,32
2018-03-01,32
2018-03-02,24
2018-03-03,7
2018-03-04,7
2018-03-05,29
2018-03-06,37
2018-03-07,28
2018-03-08,32
2018-03-09,34
2018-03-10,9
2018-03-11,4
2018-03-12,25
2018-03-13,35
2018-03-14,29
2018-03-15,26
2018-03-16,34
2018-03-17,12
2018-03-18,3
2018-03-19,28
2018-03-20,30
2018-03-21,30
2018-03-22,35
2018-03-23,36
2018-03-24,7
2018-03-25,7
2018-03-26,53
2018-03-27,63
2018-03-28,54
2018-03-29,50
2018-03-30,22
2018-03-31,8
2018-04-01,6
2018-04-02,36
2018-04-03,39
2018-04-04,38
2018-04-05,39
2018-04-06,40
2018-04-07,11
2018-04-08,4
2018-04-09,32
