date,value
2017-10-03,27.0
2017-10-04,27.0
2017-10-05,22.0
2017-10-06,20.0
2017-10-07,4.0
2017-10-08,2.0
2017-10-09,23.0
2017-10-10,31.0
2017-10-11,34.0
2017-10-12,24.0
2017-10-13,21.0
2017-10-14,8.0
2017-10-15,2.0
2017-10-16,23.0
2017-10-17,22.0
2017-10-18,22.0
2017-10-19,22.0
2017-10-20,22.0
2017-10-21,7.0
2017-10-22,5.0
2017-10-23,25.0
2017-10-24,20.0
2017-10-25,21.0
2017-10-26,17.0
2017-10-27,21.0
2017-10-28,7.0
2017-10-29,2.0
2017-10-30,16.0
2017-10-31,33.0
2017-11-01,28.0
2017-11-02,25.0
2017-11-03,24.0
2017-11-04,6.0
2017-11-05,3.0
2017-11-06,20.0
2017-11-07,24.0
2017-11-08,17.0
2017-11-09,19.0
2017-11-10,17.0
2017-11-11,6.0
2017-11-12,5.0
2017-11-13,21.0
2017-11-14,23.0
2017-11-15,20.0
2017-11-16,19.0
2017-11-17,19.0
2017-11-18,6.0
2017-11-19,4.0
2017-11-20,25.0
2017-11-21,26.0
2017-11-22,27.0
2017-11-23,7.0
2017-11-24,15.0
2017-11-25,3.0
2017-11-26,4.0
2017-11-27,21.0
2017-11-28,26.0
2017-11-29,46.0
2017-11-30,42.0
2017-12-01,40.0
2017-12-02,12.0
2017-12-03,3.0
2017-12-04,37.0
2017-12-05,35.0
2017-12-06,38.0
2017-12-07,34.0
2017-12-08,34.0
2017-12-09,9.0
2017-12-10,5.0
2017-12-11,26.0
2017-12-12,32.0
2017-12-13,24.0
2017-12-14,23.0
2017-12-15,26.0
2017-12-16,8.0
2017-12-17,4.0
2017-12-18,36.0
2017-12-19,60.0
2017-12-20,72.0
2017-12-21,45.0
2017-12-22,42.0
2017-12-23,10.0
2017-12-24,4.0
2017-12-25,7.0
2017-12-26,27.0
2017-12-27,28.0
2017-12-28,29.0
2017-12-29,38.0
2017-12-30,9.0
2017-12-31,5.0
2018-01-01,7.0
2018-01-02,32.0
2018-01-03,44.0
2018-01-04,43.0
2018-01-05,41.0
2018-01-06,9.0
2018-01-07,5.0
2018-01-08,28.0
2018-01-09,39.0
2018-01-10,41.0
2018-01-11,36.0
2018-01-12,33.0
2018-01-13,11.0
2018-01-14,6.0
2018-01-15,16.0
2018-01-16,28.0
2018-01-17,32.0
2018-01-18,26.0
2018-01-19,30.0
2018-01-20,8.0
2018-01-21,5.0
2018-01-22,25.0
2018-01-23,29.0
2018-01-24,29.0
2018-01-25,32.0
2018-01-26,34.0
2018-01-27,9.0
2018-01-28,5.0
2018-01-29,22.0
2018-01-30,27.0
2018-01-31,34.0
2018-02-01,30.0
2018-02-02,34.0
2018-02-03,7.0
2018-02-04,4.0
2018-02-05,27.0
2018-02-06,46.0
2018-02-07,36.0
2018-02-08,36.0
2018-02-09,35.0
2018-02-10,11.0
2018-02-11,5.0
2018-02-12,27.0
2018-02-13,26.0
2018-02-14,31.0
2018-02-15,29.0
2018-02-16,24.0
2018-02-17,10.0
2018-02-18,4.0
2018-02-19,8.0
2018-02-20,30.0
2018-02-21,24.0
2018-02-22,27.0
2018-02-23,33.0
2018-02-24,9.0
2018-02-25,4.0
2018-02-26,32.0
2018-02-27,33.0
2018-02-28,38.0
2018-03-01,31.0
2018-03-02,29.0
2018-03-03,7.0
2018-03-04,5.0
2018-03-05,36.0
2018-03-06,52.0
2018-03-07,51.0
2018-03-08,43.0
2018-03-09,50.0
2018-03-10,11.0
2018-03-11,6.0
2018-03-12,72.0
2018-03-13,79.0
2018-03-14,69.0
2018-03-15,57.0
2018-03-16,53.0
2018-03-17,15.0
2018-03-18,10.0
2018-03-19,53.0
2018-03-20,58.0
2018-03-21,53.0
2018-03-22,94.0
2018-03-23,100.0
2018-03-24,21.0
2018-03-25,11.0
2018-03-26,58.0
2018-03-27,53.0
2018-03-28,52.0
2018-03-29,47.0
2018-03-30,27.0
2018-03-31,6.0
2018-04-01,4.0
2018-04-02,43.0
2018-04-03,50.0
2018-04-04,43.0
2018-04-05,68.0
2018-04-06,55.0
2018-04-07,13.0
2018-04-08,6.0
2018-04-09,39.0
2018-04-10,41.0
2018-04-11,41.0
2018-04-12,42.0
2018-04-13,40.0
2018-04-14,8.0
2018-04-15,3.0
2018-04-16,30.0
2018-04-17,38.0
2018-04-18,40.0
2018-04-19,39.0
2018-04-20,38.0
2018-04-21,8.0
2018-04-22,5.0
2018-04-23,31.0
2018-04-24,34.0
2018-04-25,38.0
2018-04-26,42.0
2018-04-27,38.0
2018-04-28,13.0
2018-04-29,7.0
2018-04-30,41.0
2018-05-01,43.0
2018-05-02,39.0
2018-05-03,37.0
2018-05-04,35.0
2018-05-05,8.0
2018-05-06,5.0
2018-05-07,32.0
2018-05-08,32.0
2018-05-09,35.0
2018-05-10,44.0
2018-05-11,40.0
2018-05-12,8.0
2018-05-13,4.0
2018-05-14,34.0
2018-05-15,42.0
2018-05-16,51.0
2018-05-17,53.0
2018-05-18,47.0
2018-05-19,8.0
2018-05-20,6.0
2018-05-21,50.0
2018-05-22,93.0
2018-05-23,63.0
2018-05-24,65.0
2018-05-25,61.0
2018-05-26,12.0
2018-05-27,7.0
2018-05-28,14.0
2018-05-29,63.0
2018-05-30,65.0
2018-05-31,82.0
2018-06-01,76.0
2018-06-02,16.0
2018-06-03,10.0
2018-06-04,58.0
2018-06-05,53.0
2018-06-06,49.0
2018-06-07,51.0
2018-06-08,57.0
2018-06-09,11.0
2018-06-10,9.0
2018-06-11,47.0
2018-06-12,59.0
2018-06-13,39.0
2018-06-14,42.0
2018-06-15,49.0
2018-06-16,12.0
2018-06-17,9.0
2018-06-18,45.0
2018-06-18,44.174752999294284
2018-06-19,56.78369795342272
2018-06-20,96.25529287226534
2018-06-21,127.14008468595624
