date,value
2017-10-01,11.0
2017-10-02,10.0
2017-10-03,10.0
2017-10-04,100.0
2017-10-05,41.0
2017-10-06,31.0
2017-10-07,17.0
2017-10-08,0.0
2017-10-09,10.0
2017-10-10,20.0
2017-10-11,10.0
2017-10-12,20.0
2017-10-13,21.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,15.0
2017-10-17,10.0
2017-10-18,25.0
2017-10-19,20.0
2017-10-20,16.0
2017-10-21,23.0
2017-10-22,11.0
2017-10-23,20.0
2017-10-24,10.0
2017-10-25,15.0
2017-10-26,20.0
2017-10-27,10.0
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,25.0
2017-10-31,20.0
2017-11-01,20.0
2017-11-02,15.0
2017-11-03,0.0
2017-11-04,0.0
2017-11-05,22.0
2017-11-06,34.0
2017-11-07,39.0
2017-11-08,19.0
2017-11-09,10.0
2017-11-10,10.0
2017-11-11,0.0
2017-11-12,11.0
2017-11-13,0.0
2017-11-14,19.0
2017-11-15,10.0
2017-11-16,10.0
2017-11-17,15.0
2017-11-18,11.0
2017-11-19,11.0
2017-11-20,0.0
2017-11-21,15.0
2017-11-22,10.0
2017-11-23,10.0
2017-11-24,10.0
2017-11-25,11.0
2017-11-26,0.0
2017-11-27,14.0
2017-11-28,10.0
2017-11-29,39.0
2017-11-30,10.0
2017-12-01,31.0
2017-12-02,11.0
2017-12-03,11.0
2017-12-04,24.0
2017-12-05,9.0
2017-12-06,15.0
2017-12-07,20.0
2017-12-08,21.0
2017-12-09,0.0
2017-12-10,11.0
2017-12-11,24.0
2017-12-12,10.0
2017-12-13,15.0
2017-12-14,20.0
2017-12-15,15.0
2017-12-16,0.0
2017-12-17,11.0
2017-12-18,20.0
2017-12-19,15.0
2017-12-20,20.0
2017-12-21,0.0
2017-12-22,11.0
2017-12-23,24.0
2017-12-24,13.0
2017-12-25,0.0
2017-12-26,11.0
2017-12-27,10.0
2017-12-28,10.0
2017-12-29,11.0
2017-12-30,0.0
2017-12-31,0.0
2018-01-01,24.0
2018-01-02,10.0
2018-01-03,15.0
2018-01-04,39.0
2018-01-05,10.0
2018-01-06,11.0
2018-01-07,32.0
2018-01-08,14.0
2018-01-09,19.0
2018-01-10,19.0
2018-01-11,34.0
2018-01-12,30.0
2018-01-13,11.0
2018-01-14,0.0
2018-01-15,9.0
2018-01-16,24.0
2018-01-17,19.0
2018-01-18,38.0
2018-01-19,10.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,9.0
2018-01-23,9.0
2018-01-24,0.0
2018-01-25,9.0
2018-01-26,0.0
2018-01-27,16.0
2018-01-28,11.0
2018-01-29,14.0
2018-01-30,19.0
2018-01-31,19.0
2018-02-01,0.0
2018-02-02,20.0
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,19.0
2018-02-06,19.0
2018-02-07,9.0
2018-02-08,9.0
2018-02-09,10.0
2018-02-10,0.0
2018-02-11,11.0
2018-02-12,14.0
2018-02-13,19.0
2018-02-14,10.0
2018-02-15,10.0
2018-02-16,10.0
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,9.0
2018-02-20,9.0
2018-02-21,19.0
2018-02-22,9.0
2018-02-23,0.0
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,9.0
2018-02-27,19.0
2018-02-28,28.0
2018-03-01,18.0
2018-03-02,15.0
2018-03-03,0.0
2018-03-04,21.0
2018-03-05,9.0
2018-03-06,28.0
2018-03-07,0.0
2018-03-08,9.0
2018-03-09,10.0
2018-03-10,11.0
2018-03-11,11.0
2018-03-12,0.0
2018-03-13,19.0
2018-03-14,9.0
2018-03-15,9.0
2018-03-16,15.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,0.0
2018-03-20,9.0
2018-03-21,19.0
2018-03-22,0.0
2018-03-23,10.0
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,0.0
2018-03-27,0.0
2018-03-28,10.0
2018-03-29,15.0
2018-03-30,0.0
2018-03-31,0.0
2018-04-01,0.0
2018-04-02,20.0
2018-04-03,9.0
2018-04-04,0.0
2018-04-05,0.0
2018-04-06,10.0
2018-04-07,0.0
2018-04-08,0.0
2018-04-09,0.0
2018-04-10,0.0
2018-04-11,9.0
2018-04-12,10.0
2018-04-13,15.0
2018-04-14,0.0
2018-04-15,11.0
2018-04-16,14.0
2018-04-17,19.0
2018-04-18,0.0
2018-04-19,38.0
2018-04-20,10.0
2018-04-21,0.0
2018-04-22,0.0
2018-04-23,0.0
2018-04-24,9.0
2018-04-25,9.0
2018-04-26,9.0
2018-04-27,20.0
2018-04-28,0.0
2018-04-29,0.0
2018-04-30,10.0
2018-05-01,10.0
2018-05-02,19.0
2018-05-03,19.0
2018-05-04,10.0
2018-05-05,0.0
2018-05-06,0.0
2018-05-07,47.0
2018-05-08,19.0
2018-05-09,9.0
2018-05-10,10.0
2018-05-11,15.0
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,9.0
2018-05-15,14.0
2018-05-16,0.0
2018-05-17,10.0
2018-05-18,15.0
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,0.0
2018-05-23,19.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,9.0
2018-05-30,9.0
2018-05-31,10.0
2018-06-01,10.0
2018-06-02,0.0
2018-06-03,0.0
2018-06-04,9.0
2018-06-05,24.0
2018-06-06,19.0
2018-06-07,19.0
2018-06-08,20.0
2018-06-09,0.0
2018-06-10,11.0
2018-06-11,14.0
2018-06-12,17.0
2018-06-13,27.0
2018-06-14,18.0
2018-06-14,24.569361575179
2018-06-15,23.49970167064439
2018-06-16,3.884248210023866
2018-06-17,3.916616945107399
2018-06-18,12.656175417661096
2018-06-19,12.429594272076372
