date,Maxim Integrated Products,isPartial
2010-08-24,19,False
2010-08-25,38,False
2010-08-26,38,False
2010-08-27,20,False
2010-08-28,24,False
2010-08-29,24,False
2010-08-30,18,False
2010-08-31,54,False
2010-09-01,0,False
2010-09-02,19,False
2010-09-03,39,False
2010-09-04,0,False
2010-09-05,0,False
2010-09-06,0,False
2010-09-07,18,False
2010-09-08,18,False
2010-09-09,75,False
2010-09-10,19,False
2010-09-11,47,False
2010-09-12,0,False
2010-09-13,18,False
2010-09-14,18,False
2010-09-15,18,False
2010-09-16,18,False
2010-09-17,0,False
2010-09-18,47,False
2010-09-19,0,False
2010-09-20,73,False
2010-09-21,54,False
2010-09-22,36,False
2010-09-23,18,False
2010-09-24,38,False
2010-09-25,23,False
2010-09-26,0,False
2010-09-27,17,False
2010-09-28,0,False
2010-09-29,18,False
2010-09-30,0,False
2010-10-01,19,False
2010-10-02,0,False
2010-10-03,0,False
2010-10-04,52,False
2010-10-05,35,False
2010-10-06,36,False
2010-10-07,56,False
2010-10-08,19,False
2010-10-09,23,False
2010-10-10,0,False
2010-10-11,0,False
2010-10-12,0,False
2010-10-13,53,False
2010-10-14,35,False
2010-10-15,18,False
2010-10-16,0,False
2010-10-17,0,False
2010-10-18,52,False
2010-10-19,52,False
2010-10-20,52,False
2010-10-21,53,False
2010-10-22,37,False
2010-10-23,22,False
2010-10-24,0,False
2010-10-25,0,False
2010-10-26,34,False
2010-10-27,17,False
2010-10-28,0,False
2010-10-29,37,False
2010-10-30,0,False
2010-10-31,0,False
2010-11-01,35,False
2010-11-02,34,False
2010-11-03,17,False
2010-11-04,17,False
2010-11-05,0,False
2010-11-06,22,False
2010-11-07,21,False
2010-11-08,84,False
2010-11-09,34,False
2010-11-10,0,False
2010-11-11,35,False
2010-11-12,18,False
2010-11-13,22,False
2010-11-14,0,False
2010-11-15,0,False
2010-11-16,17,False
2010-11-17,68,False
2010-11-18,17,False
2010-11-19,18,False
2010-11-20,0,False
2010-11-21,0,False
2010-11-22,49,False
2010-11-23,34,False
2010-11-24,0,False
2010-11-25,18,False
2010-11-26,0,False
2010-11-27,0,False
2010-11-28,21,False
2010-11-29,16,False
2010-11-30,17,False
2010-12-01,50,False
2010-12-02,17,False
2010-12-03,18,False
2010-12-04,0,False
2010-12-05,0,False
2010-12-06,17,False
2010-12-07,100,False
2010-12-08,0,False
2010-12-09,17,False
2010-12-10,18,False
2010-12-11,21,False
2010-12-12,0,False
2010-12-13,0,False
2010-12-14,34,False
2010-12-15,34,False
2010-12-16,17,False
2010-12-17,36,False
2010-12-18,0,False
2010-12-19,0,False
2010-12-20,35,False
2010-12-21,35,False
2010-12-22,73,False
2010-12-23,0,False
2010-12-24,0,False
2010-12-25,0,False
2010-12-26,0,False
2010-12-27,0,False
2010-12-28,0,False
2010-12-29,19,False
2010-12-30,0,False
2010-12-31,0,False
2011-01-01,0,False
2011-01-02,0,False
2011-01-03,17,False
2011-01-04,33,False
2011-01-05,50,False
2011-01-06,34,False
2011-01-07,0,False
2011-01-08,0,False
2011-01-09,0,False
2011-01-10,16,False
2011-01-11,47,False
2011-01-12,16,False
2011-01-13,16,False
2011-01-14,33,False
2011-01-15,40,False
2011-01-16,0,False
2011-01-17,16,False
2011-01-18,16,False
2011-01-19,63,False
2011-01-20,16,False
2011-01-21,17,False
2011-01-22,20,False
2011-01-23,0,False
2011-01-24,31,False
2011-01-25,47,False
2011-01-26,32,False
2011-01-27,32,False
2011-01-28,33,False
2011-01-29,0,False
2011-01-30,0,False
2011-01-31,0,False
2011-02-01,30,False
2011-02-02,45,False
2011-02-03,62,False
2011-02-04,0,False
2011-02-05,0,False
2011-02-06,0,False
2011-02-07,30,False
2011-02-08,31,False
2011-02-09,0,False
2011-02-10,16,False
2011-02-11,16,False
2011-02-12,0,False
2011-02-13,0,False
2011-02-14,46,False
2011-02-15,45,False
2011-02-16,31,False
2011-02-17,47,False
2011-02-18,16,False
2011-02-19,0,False
2011-02-20,19,False
2011-02-21,31,False
2011-02-22,31,False
2011-02-23,46,False
2011-02-24,63,False
2011-02-25,16,False
2011-02-26,0,False
2011-02-27,0,False
2011-02-28,30,False
2011-03-01,15,False
2011-03-02,46,False
2011-03-03,63,False
2011-03-04,49,False
2011-03-05,19,False
2011-03-06,0,False
2011-03-07,47,False
2011-03-08,47,False
2011-03-09,15,False
2011-03-10,0,False
2011-03-11,47,False
2011-03-12,0,False
2011-03-13,19,False
2011-03-14,0,False
2011-03-15,0,False
2011-03-16,30,False
2011-03-17,16,False
2011-03-18,16,False
2011-03-19,19,False
2011-03-20,0,False
2011-03-21,15,False
2011-03-22,15,False
2011-03-23,0,False
2011-03-24,31,False
2011-03-25,16,False
2011-03-26,0,False
2011-03-27,0,False
2011-03-28,15,False
2011-03-29,15,False
2011-03-30,0,False
2011-03-31,15,False
2011-04-01,16,False
2011-04-02,0,False
2011-04-03,19,False
2011-04-04,30,False
2011-04-05,0,False
2011-04-06,62,False
2011-04-07,16,False
2011-04-08,65,False
2011-04-09,20,False
2011-04-10,0,False
2011-04-11,46,False
2011-04-12,30,False
2011-04-13,77,False
2011-04-14,31,False
2011-04-15,17,False
2011-04-16,19,False
2011-04-17,19,False
2011-04-18,31,False
2011-04-19,16,False
2011-04-20,0,False
2011-04-21,17,False
2011-04-22,0,False
2011-04-23,21,False
2011-04-24,21,False
2011-04-25,0,False
2011-04-26,31,False
2011-04-27,15,False
2011-04-28,0,False
2011-04-29,0,False
2011-04-30,0,False
2011-05-01,59,False
2011-05-02,76,False
2011-05-03,15,False
2011-05-04,31,False
2011-05-05,16,False
2011-05-06,16,False
2011-05-07,0,False
2011-05-08,0,False
2011-05-09,15,False
2011-05-10,15,False
2011-05-11,30,False
