date,MercadoLibre,isPartial
2011-05-11,47,False
2011-05-12,48,False
2011-05-13,47,False
2011-05-14,51,False
2011-05-15,45,False
2011-05-16,46,False
2011-05-17,47,False
2011-05-18,48,False
2011-05-19,49,False
2011-05-20,52,False
2011-05-21,51,False
2011-05-22,46,False
2011-05-23,48,False
2011-05-24,55,False
2011-05-25,52,False
2011-05-26,55,False
2011-05-27,54,False
2011-05-28,54,False
2011-05-29,53,False
2011-05-30,55,False
2011-05-31,57,False
2011-06-01,54,False
2011-06-02,57,False
2011-06-03,57,False
2011-06-04,60,False
2011-06-05,53,False
2011-06-06,53,False
2011-06-07,52,False
2011-06-08,54,False
2011-06-09,53,False
2011-06-10,54,False
2011-06-11,57,False
2011-06-12,55,False
2011-06-13,55,False
2011-06-14,57,False
2011-06-15,57,False
2011-06-16,54,False
2011-06-17,57,False
2011-06-18,55,False
2011-06-19,49,False
2011-06-20,51,False
2011-06-21,56,False
2011-06-22,57,False
2011-06-23,55,False
2011-06-24,52,False
2011-06-25,58,False
2011-06-26,54,False
2011-06-27,52,False
2011-06-28,53,False
2011-06-29,58,False
2011-06-30,53,False
2011-07-01,53,False
2011-07-02,51,False
2011-07-03,50,False
2011-07-04,50,False
2011-07-05,49,False
2011-07-06,51,False
2011-07-07,48,False
2011-07-08,48,False
2011-07-09,51,False
2011-07-10,51,False
2011-07-11,50,False
2011-07-12,50,False
2011-07-13,52,False
2011-07-14,52,False
2011-07-15,56,False
2011-07-16,52,False
2011-07-17,46,False
2011-07-18,50,False
2011-07-19,51,False
2011-07-20,49,False
2011-07-21,49,False
2011-07-22,51,False
2011-07-23,49,False
2011-07-24,45,False
2011-07-25,51,False
2011-07-26,50,False
2011-07-27,52,False
2011-07-28,52,False
2011-07-29,53,False
2011-07-30,51,False
2011-07-31,51,False
2011-08-01,51,False
2011-08-02,54,False
2011-08-03,54,False
2011-08-04,53,False
2011-08-05,54,False
2011-08-06,55,False
2011-08-07,48,False
2011-08-08,53,False
2011-08-09,52,False
2011-08-10,57,False
2011-08-11,54,False
2011-08-12,56,False
2011-08-13,58,False
2011-08-14,53,False
2011-08-15,57,False
2011-08-16,62,False
2011-08-17,58,False
2011-08-18,60,False
2011-08-19,58,False
2011-08-20,58,False
2011-08-21,52,False
2011-08-22,55,False
2011-08-23,55,False
2011-08-24,56,False
2011-08-25,58,False
2011-08-26,52,False
2011-08-27,56,False
2011-08-28,52,False
2011-08-29,58,False
2011-08-30,57,False
2011-08-31,59,False
2011-09-01,54,False
2011-09-02,58,False
2011-09-03,54,False
2011-09-04,51,False
2011-09-05,53,False
2011-09-06,54,False
2011-09-07,57,False
2011-09-08,55,False
2011-09-09,53,False
2011-09-10,52,False
2011-09-11,48,False
2011-09-12,53,False
2011-09-13,55,False
2011-09-14,58,False
2011-09-15,62,False
2011-09-16,59,False
2011-09-17,60,False
2011-09-18,54,False
2011-09-19,61,False
2011-09-20,64,False
2011-09-21,62,False
2011-09-22,64,False
2011-09-23,63,False
2011-09-24,63,False
2011-09-25,58,False
2011-09-26,64,False
2011-09-27,63,False
