date,Mondelez,isPartial
2016-05-04,22,False
2016-05-05,20,False
2016-05-06,19,False
2016-05-07,9,False
2016-05-08,8,False
2016-05-09,18,False
2016-05-10,17,False
2016-05-11,22,False
2016-05-12,20,False
2016-05-13,14,False
2016-05-14,9,False
2016-05-15,8,False
2016-05-16,18,False
2016-05-17,20,False
2016-05-18,18,False
2016-05-19,19,False
2016-05-20,19,False
2016-05-21,9,False
2016-05-22,9,False
2016-05-23,21,False
2016-05-24,22,False
2016-05-25,18,False
2016-05-26,22,False
2016-05-27,13,False
2016-05-28,10,False
2016-05-29,10,False
2016-05-30,17,False
2016-05-31,18,False
2016-06-01,19,False
2016-06-02,17,False
2016-06-03,16,False
2016-06-04,10,False
2016-06-05,12,False
2016-06-06,19,False
2016-06-07,20,False
2016-06-08,26,False
2016-06-09,18,False
2016-06-10,21,False
2016-06-11,8,False
2016-06-12,8,False
2016-06-13,16,False
2016-06-14,21,False
2016-06-15,19,False
2016-06-16,17,False
2016-06-17,18,False
2016-06-18,7,False
2016-06-19,9,False
2016-06-20,17,False
2016-06-21,19,False
2016-06-22,17,False
2016-06-23,22,False
2016-06-24,14,False
2016-06-25,8,False
2016-06-26,8,False
2016-06-27,16,False
2016-06-28,21,False
2016-06-29,22,False
2016-06-30,100,False
2016-07-01,63,False
2016-07-02,18,False
2016-07-03,14,False
2016-07-04,19,False
2016-07-05,26,False
2016-07-06,20,False
2016-07-07,21,False
2016-07-08,19,False
2016-07-09,9,False
2016-07-10,11,False
2016-07-11,20,False
2016-07-12,19,False
2016-07-13,19,False
2016-07-14,18,False
2016-07-15,17,False
2016-07-16,11,False
2016-07-17,9,False
2016-07-18,22,False
2016-07-19,20,False
2016-07-20,19,False
2016-07-21,22,False
2016-07-22,15,False
2016-07-23,11,False
2016-07-24,13,False
2016-07-25,19,False
2016-07-26,23,False
2016-07-27,23,False
2016-07-28,20,False
2016-07-29,18,False
2016-07-30,10,False
2016-07-31,18,False
2016-08-01,21,False
2016-08-02,22,False
2016-08-03,18,False
2016-08-04,18,False
2016-08-05,17,False
2016-08-06,9,False
2016-08-07,7,False
2016-08-08,18,False
2016-08-09,18,False
2016-08-10,19,False
2016-08-11,13,False
2016-08-12,17,False
2016-08-13,8,False
2016-08-14,8,False
2016-08-15,19,False
2016-08-16,17,False
2016-08-17,18,False
2016-08-18,15,False
2016-08-19,15,False
2016-08-20,10,False
2016-08-21,7,False
2016-08-22,20,False
2016-08-23,21,False
2016-08-24,21,False
2016-08-25,21,False
2016-08-26,20,False
2016-08-27,11,False
2016-08-28,9,False
2016-08-29,18,False
2016-08-30,33,False
2016-08-31,21,False
2016-09-01,21,False
2016-09-02,16,False
2016-09-03,7,False
2016-09-04,8,False
2016-09-05,18,False
2016-09-06,21,False
2016-09-07,20,False
2016-09-08,20,False
2016-09-09,21,False
2016-09-10,10,False
2016-09-11,10,False
2016-09-12,20,False
2016-09-13,18,False
2016-09-14,18,False
2016-09-15,24,False
2016-09-16,20,False
2016-09-17,8,False
2016-09-18,8,False
2016-09-19,20,False
2016-09-20,19,False
2016-09-21,20,False
2016-09-22,20,False
2016-09-23,17,False
2016-09-24,11,False
2016-09-25,13,False
2016-09-26,21,False
2016-09-27,19,False
2016-09-28,20,False
2016-09-29,18,False
2016-09-30,17,False
2016-10-01,10,False
2016-10-02,11,False
2016-10-03,18,False
2016-10-04,18,False
2016-10-05,19,False
2016-10-06,19,False
2016-10-07,18,False
2016-10-08,11,False
2016-10-09,11,False
2016-10-10,21,False
2016-10-11,20,False
2016-10-12,19,False
2016-10-13,19,False
2016-10-14,20,False
2016-10-15,9,False
2016-10-16,12,False
2016-10-17,21,False
2016-10-18,19,False
2016-10-19,22,False
2016-10-20,18,False
2016-10-21,18,False
2016-10-22,9,False
2016-10-23,11,False
2016-10-24,20,False
2016-10-25,22,False
2016-10-26,25,False
2016-10-27,20,False
2016-10-28,20,False
2016-10-29,11,False
2016-10-30,12,False
2016-10-31,21,False
2016-11-01,18,False
2016-11-02,17,False
2016-11-03,18,False
2016-11-04,19,False
2016-11-05,8,False
2016-11-06,11,False
2016-11-07,21,False
2016-11-08,30,False
2016-11-09,22,False
2016-11-10,25,False
2016-11-11,21,False
